,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,17.3,17.3,16.42,16.51,16.51,7483610,0.0,1.0
1,2020-09-18,17.56,17.715,17.03,17.36,17.36,11194182,0.0,1.0
2,2020-09-17,17.86,18.0,17.275,17.6,17.6,6578604,0.0,1.0
3,2020-09-16,17.78,18.6,17.71,18.1,18.1,10394270,0.0,1.0
4,2020-09-15,17.59,17.59,16.71,16.84,16.84,7037137,0.0,1.0
5,2020-09-14,16.34,17.79,16.22,17.52,17.52,13348502,0.0,1.0
6,2020-09-11,15.9135,16.505,15.71,16.15,16.15,10565355,0.0,1.0
7,2020-09-10,14.71,15.945,14.71,15.8,15.8,9977000,0.0,1.0
8,2020-09-09,14.86,14.94,14.33,14.58,14.58,3873091,0.0,1.0
9,2020-09-08,14.41,15.175,14.275,15.0,15.0,5786734,0.0,1.0
10,2020-09-04,14.94,14.95,14.1355,14.56,14.56,5284592,0.0,1.0
11,2020-09-03,14.79,15.265,14.62,14.71,14.71,5228101,0.0,1.0
12,2020-09-02,14.92,15.0,14.54,14.73,14.73,5499626,0.0,1.0
13,2020-09-01,14.54,14.79,14.305,14.75,14.75,3704776,0.0,1.0
14,2020-08-31,14.83,14.89,14.505,14.73,14.73,5364970,0.0,1.0
15,2020-08-28,15.0,15.03,14.59,14.88,14.88,5969471,0.0,1.0
16,2020-08-27,14.98,15.285,14.88,14.89,14.89,6034131,0.0,1.0
17,2020-08-26,14.96,15.11,14.77,14.85,14.85,4043554,0.0,1.0
18,2020-08-25,15.54,15.66,14.94,14.94,14.94,4589059,0.0,1.0
19,2020-08-24,14.66,15.38,14.66,15.33,15.33,6315334,0.0,1.0
20,2020-08-21,14.54,14.75,14.41,14.54,14.54,5557425,0.0,1.0
21,2020-08-20,14.89,15.06,14.36,14.36,14.36,4407515,0.0,1.0
22,2020-08-19,15.18,15.62,15.02,15.08,15.08,4931032,0.0,1.0
23,2020-08-18,15.63,15.76,15.1024,15.33,15.33,4410673,0.0,1.0
24,2020-08-17,15.91,15.95,15.6,15.83,15.83,5944583,0.0,1.0
25,2020-08-14,15.55,16.065,15.255,15.93,15.93,9453897,0.0,1.0
26,2020-08-13,16.12,16.12,15.041,15.43,15.43,7275898,0.0,1.0
27,2020-08-12,15.7,15.82,15.01,15.6,15.6,6216896,0.0,1.0
28,2020-08-11,15.82,16.03,15.48,15.53,15.53,7407710,0.0,1.0
29,2020-08-10,14.77,15.48,14.75,15.43,15.43,7308617,0.0,1.0
