,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,126.5,127.78,122.79,124.74,124.74,1649924,0.0,1.0
1,2020-09-18,127.01,128.98,127.01,127.97,127.97,1638501,0.0,1.0
2,2020-09-17,127.99,129.5,126.05,127.46,127.46,1654712,0.0,1.0
3,2020-09-16,127.25,129.1573,126.58,128.18,128.18,1392384,0.0,1.0
4,2020-09-15,127.76,128.8,126.5,126.74,126.74,1018055,0.0,1.0
5,2020-09-14,125.8,127.78,125.8,127.41,127.41,1083257,0.9,1.0
6,2020-09-11,125.65,126.8,124.81,125.74,124.858,911119,0.0,1.0
7,2020-09-10,129.11,129.41,125.32,125.64,124.7587,915833,0.0,1.0
8,2020-09-09,129.09,130.06,128.0,129.24,128.3335,925916,0.0,1.0
9,2020-09-08,131.57,132.26,127.46,127.96,127.0625,1268296,0.0,1.0
10,2020-09-04,136.72,137.305,131.0674,132.27,131.3422,1114472,0.0,1.0
11,2020-09-03,141.32,141.64,134.34,135.08,134.1325,976540,0.0,1.0
12,2020-09-02,139.27,141.66,138.65,141.14,140.15,754240,0.0,1.0
13,2020-09-01,139.18,139.57,137.8,139.18,138.2038,765568,0.0,1.0
14,2020-08-31,138.95,139.78,137.24,139.21,138.2335,1332194,0.0,1.0
15,2020-08-28,138.5,139.12,137.17,139.11,138.1342,738552,0.0,1.0
16,2020-08-27,135.89,139.48,135.46,138.14,137.171,1119405,0.0,1.0
17,2020-08-26,135.95,137.025,134.76,136.19,135.2347,642666,0.0,1.0
18,2020-08-25,136.19,136.99,135.34,135.75,134.7978,586138,0.0,1.0
19,2020-08-24,135.96,136.22,135.01,135.93,134.9766,629798,0.0,1.0
20,2020-08-21,135.41,136.11,134.14,134.82,133.8743,763672,0.0,1.0
21,2020-08-20,136.39,137.48,136.16,136.3,135.344,607169,0.0,1.0
22,2020-08-19,137.33,138.46,136.78,137.14,136.1781,665067,0.0,1.0
23,2020-08-18,137.77,138.38,137.05,137.24,136.2774,541531,0.0,1.0
24,2020-08-17,137.07,138.16,136.7,137.98,137.0122,1136640,0.0,1.0
25,2020-08-14,136.41,137.82,136.08,136.94,135.9795,698123,0.0,1.0
26,2020-08-13,137.21,138.25,136.76,137.26,136.2972,817431,0.0,1.0
27,2020-08-12,140.1764,142.51,137.67,138.45,137.4789,1116555,0.0,1.0
28,2020-08-11,139.9,140.67,138.4,138.96,137.9853,782428,0.0,1.0
29,2020-08-10,139.85,139.85,137.95,138.66,137.6874,759069,0.0,1.0
30,2020-08-07,138.54,140.45,137.88,139.63,138.6506,1108804,0.0,1.0
31,2020-08-06,139.05,139.05,136.39,138.16,137.1909,1028881,0.0,1.0
32,2020-08-05,136.49,139.96,136.49,138.97,137.9952,1006485,0.0,1.0
33,2020-08-04,137.53,137.94,136.4,137.09,136.1284,940378,0.0,1.0
34,2020-08-03,138.34,139.04,136.89,137.4,136.4362,990296,0.0,1.0
35,2020-07-31,134.18,138.32,133.2,138.1,137.1313,2523958,0.0,1.0
36,2020-07-30,133.84,135.17,132.68,134.47,133.5268,984282,0.0,1.0
37,2020-07-29,135.0,138.1672,134.71,135.82,134.8673,1262565,0.0,1.0
38,2020-07-28,134.76,134.87,132.86,133.93,132.9906,1011386,0.0,1.0
39,2020-07-27,131.86,134.93,131.301,134.2,133.2587,1072005,0.0,1.0
40,2020-07-24,135.18,135.49,133.2506,133.97,133.0303,999287,0.0,1.0
41,2020-07-23,136.26,137.26,133.76,134.07,133.1296,1208298,0.0,1.0
42,2020-07-22,134.82,136.37,134.52,136.2,135.2447,850045,0.0,1.0
43,2020-07-21,133.85,136.36,133.61,134.95,134.0034,1008799,0.0,1.0
44,2020-07-20,132.8,134.46,132.52,134.22,133.2785,794231,0.0,1.0
45,2020-07-17,131.99,134.27,131.12,133.77,132.8317,984524,0.0,1.0
46,2020-07-16,130.93,133.21,130.93,132.07,131.1436,986658,0.0,1.0
47,2020-07-15,133.83,133.83,130.92,132.06,131.1337,898643,0.0,1.0
48,2020-07-14,128.75,130.9,127.84,130.64,129.7237,1139617,0.0,1.0
49,2020-07-13,128.73,129.74,127.66,128.13,127.2313,1497969,0.0,1.0
50,2020-07-10,123.25,127.38,123.19,127.27,126.3773,922269,0.0,1.0
51,2020-07-09,124.27,124.42,120.65,122.83,121.9684,1057192,0.0,1.0
52,2020-07-08,123.5,125.1,123.29,124.22,123.3487,1200748,0.0,1.0
53,2020-07-07,123.62,124.91,122.36,122.96,122.0975,1372649,0.0,1.0
54,2020-07-06,125.94,126.59,124.89,125.26,124.3814,735109,0.0,1.0
55,2020-07-02,124.85,125.68,122.37,122.73,121.8691,1066375,0.0,1.0
56,2020-07-01,123.67,124.15,121.9,122.51,121.6507,832542,0.0,1.0
57,2020-06-30,120.94,124.47,120.17,123.5,122.6337,1485890,0.0,1.0
58,2020-06-29,120.19,120.92,118.82,120.82,119.9725,967526,0.0,1.0
59,2020-06-26,121.51,121.68,118.63,118.94,118.1057,1879608,0.0,1.0
60,2020-06-25,120.77,122.93,119.92,122.53,121.6705,1038286,0.0,1.0
61,2020-06-24,125.42,125.42,120.93,121.04,120.191,1402832,0.0,1.0
62,2020-06-23,127.75,127.75,125.51,125.61,124.7289,1086982,0.0,1.0
63,2020-06-22,128.36,128.42,125.3,125.41,124.5303,1305788,0.0,1.0
64,2020-06-19,126.29,129.61,124.0,128.61,127.7079,3489653,0.0,1.0
65,2020-06-18,124.13,126.78,124.0,125.58,124.6991,885838,0.0,1.0
66,2020-06-17,124.24,127.19,124.24,125.32,124.441,1019511,0.0,1.0
67,2020-06-16,127.63,127.75,122.93,124.87,123.9941,946480,0.0,1.0
68,2020-06-15,117.74,124.67,117.13,123.56,122.6933,1288066,0.0,1.0
69,2020-06-12,122.25,122.74,118.88,120.93,120.0818,1053970,0.9,1.0
70,2020-06-11,125.04,125.5,118.96,119.12,117.4107,1471397,0.0,1.0
71,2020-06-10,128.48,129.5,126.93,127.85,126.0154,1085468,0.0,1.0
72,2020-06-09,128.09,129.69,127.91,128.64,126.794,837306,0.0,1.0
73,2020-06-08,129.0,130.92,128.68,130.77,128.8935,1089818,0.0,1.0
74,2020-06-05,130.2,132.0,127.85,128.28,126.4392,1559985,0.0,1.0
75,2020-06-04,126.29,127.35,124.78,126.35,124.5369,1241564,0.0,1.0
76,2020-06-03,124.27,127.83,123.44,127.51,125.6803,1195081,0.0,1.0
77,2020-06-02,122.76,123.99,121.71,122.96,121.1955,1109403,0.0,1.0
78,2020-06-01,122.04,122.94,120.42,121.87,120.1212,801976,0.0,1.0
79,2020-05-29,120.2,121.1,118.59,120.9,119.1651,2246853,0.0,1.0
80,2020-05-28,122.97,123.67,120.38,120.66,118.9286,1088114,0.0,1.0
81,2020-05-27,123.97,123.97,120.65,122.46,120.7027,1085969,0.0,1.0
82,2020-05-26,119.07,121.33,119.07,120.05,118.3273,1642353,0.0,1.0
83,2020-05-22,115.06,115.55,113.38,115.09,113.4385,851942,0.0,1.0
84,2020-05-21,114.03,116.35,113.76,114.65,113.0048,834578,0.0,1.0
85,2020-05-20,115.12,116.49,114.28,114.84,113.1921,1172996,0.0,1.0
86,2020-05-19,116.57,118.35,114.11,114.19,112.5514,1024296,0.0,1.0
87,2020-05-18,117.0,118.46,115.38,117.22,115.5379,1348226,0.0,1.0
88,2020-05-15,111.32,113.63,110.69,113.51,111.8812,1798817,0.0,1.0
89,2020-05-14,106.53,112.68,105.56,112.57,110.9546,1741236,0.0,1.0
90,2020-05-13,113.28,114.03,106.78,107.94,106.3911,2819710,0.0,1.0
91,2020-05-12,114.63,117.93,112.3,112.75,111.1321,2219581,0.0,1.0
92,2020-05-11,112.11,114.34,111.34,112.67,111.0532,889450,0.0,1.0
93,2020-05-08,114.01,114.5,112.53,114.06,112.4233,666791,0.0,1.0
94,2020-05-07,109.67,112.06,109.41,111.34,109.7423,993027,0.0,1.0
95,2020-05-06,108.89,110.32,107.79,108.2,106.6474,843979,0.0,1.0
96,2020-05-05,109.6,111.51,109.54,109.67,108.0963,909466,0.0,1.0
97,2020-05-04,110.1,110.73,108.67,109.49,107.9188,972096,0.0,1.0
98,2020-05-01,113.03,113.03,110.0,110.44,108.8552,1110430,0.0,1.0
99,2020-04-30,114.34,117.5,114.34,115.63,113.9707,1543326,0.0,1.0
100,2020-04-29,116.68,119.5,115.3,116.92,115.2422,1531388,0.0,1.0
101,2020-04-28,110.0,115.05,109.23,113.89,112.2557,2025363,0.0,1.0
102,2020-04-27,101.95,106.76,101.36,106.5,104.9717,1436684,0.0,1.0
103,2020-04-24,99.9,100.92,98.52,100.34,98.9001,756056,0.0,1.0
104,2020-04-23,100.79,101.91,99.02,99.16,97.7371,792315,0.0,1.0
105,2020-04-22,101.11,101.44,99.1,100.63,99.186,746963,0.0,1.0
106,2020-04-21,99.22,100.51,98.3,98.85,97.4315,909920,0.0,1.0
107,2020-04-20,101.29,102.67,99.8,101.15,99.6985,1199962,0.0,1.0
108,2020-04-17,103.19,104.3,102.02,103.49,102.0049,2300100,0.0,1.0
109,2020-04-16,98.84,99.94,96.42,99.54,98.1116,1904959,0.0,1.0
110,2020-04-15,100.9,100.9,97.99,98.98,97.5597,1228756,0.0,1.0
111,2020-04-14,105.97,106.4,101.76,101.93,100.4673,2505915,0.0,1.0
112,2020-04-13,106.9,106.9,100.15,102.24,100.7729,1191989,0.0,1.0
113,2020-04-09,106.47,108.72,104.31,105.16,103.651,1772829,0.0,1.0
114,2020-04-08,102.07,106.0,100.57,105.51,103.996,1277996,0.0,1.0
