,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,109.24,110.38,107.2,109.45,109.45,1884072,0.0,1.0
1,2020-09-18,112.0,113.19,111.34,111.61,111.61,2294668,0.0,1.0
2,2020-09-17,112.41,113.42,111.06,112.6,112.6,1196917,0.0,1.0
3,2020-09-16,112.35,114.95,112.11,113.17,113.17,1048858,0.0,1.0
4,2020-09-15,114.47,114.68,112.06,112.15,112.15,1041991,0.0,1.0
5,2020-09-14,114.17,115.23,113.76,114.46,114.46,977298,0.0,1.0
6,2020-09-11,112.52,114.07,111.65,113.4,113.4,1040132,0.0,1.0
7,2020-09-10,113.73,114.95,111.77,111.8,111.8,950213,0.0,1.0
8,2020-09-09,114.21,115.4,112.93,113.63,113.63,957586,0.85,1.0
9,2020-09-08,116.31,116.44,112.66,113.74,112.8955,1686804,0.0,1.0
10,2020-09-04,117.2,119.0,114.88,116.57,115.7045,1460665,0.0,1.0
11,2020-09-03,118.31,120.88,114.44,115.35,114.4935,1299448,0.0,1.0
12,2020-09-02,114.53,117.72,114.02,117.48,116.6077,1391371,0.0,1.0
13,2020-09-01,115.16,115.34,113.58,114.69,113.8384,969904,0.0,1.0
14,2020-08-31,116.68,116.97,114.85,116.04,115.1784,2298071,0.0,1.0
15,2020-08-28,118.1,118.1,114.73,115.89,115.0295,1725755,0.0,1.0
16,2020-08-27,113.69,118.82,113.67,117.18,116.31,1543854,0.0,1.0
17,2020-08-26,114.73,114.73,113.42,113.54,112.697,1200054,0.0,1.0
18,2020-08-25,116.27,116.43,114.7501,115.62,114.7615,1356515,0.0,1.0
19,2020-08-24,112.17,114.96,111.52,114.9,114.0469,1361948,0.0,1.0
20,2020-08-21,112.04,112.92,111.51,111.83,110.9997,1082618,0.0,1.0
21,2020-08-20,112.0,113.44,111.87,112.53,111.6945,895140,0.0,1.0
22,2020-08-19,115.26,116.03,112.78,113.2,112.3595,1200734,0.0,1.0
23,2020-08-18,116.22,116.25,114.75,114.93,114.0767,768509,0.0,1.0
24,2020-08-17,118.09,118.09,114.92,115.91,115.0494,902706,0.0,1.0
25,2020-08-14,118.52,119.93,118.01,118.6,117.7194,625074,0.0,1.0
26,2020-08-13,118.28,119.51,117.54,119.27,118.3844,930304,0.0,1.0
27,2020-08-12,121.56,121.56,118.265,118.86,117.9775,1144562,0.0,1.0
28,2020-08-11,121.4,123.3,119.62,119.92,119.0296,1609417,0.0,1.0
29,2020-08-10,118.0,119.38,116.97,119.12,118.2355,1063551,0.0,1.0
30,2020-08-07,113.1,117.59,113.02,117.36,116.4886,2062872,0.0,1.0
31,2020-08-06,114.36,115.495,113.34,113.74,112.8955,1632334,0.0,1.0
32,2020-08-05,114.36,115.78,114.17,115.08,114.2255,1002029,0.0,1.0
33,2020-08-04,113.46,114.07,112.3,113.1,112.2602,1434444,0.0,1.0
34,2020-08-03,114.36,115.54,112.73,114.4,113.5506,1266646,0.0,1.0
35,2020-07-31,115.23,115.78,112.58,114.42,113.5704,1377096,0.0,1.0
36,2020-07-30,114.5,116.7,113.27,115.93,115.0692,1133662,0.0,1.0
37,2020-07-29,114.89,117.25,114.31,116.85,115.9824,1033551,0.0,1.0
38,2020-07-28,116.39,117.23,114.9,115.03,114.1759,1350277,0.0,1.0
39,2020-07-27,117.59,117.84,115.84,116.63,115.764,1249361,0.0,1.0
40,2020-07-24,119.41,120.47,117.545,118.28,117.4018,1542839,0.0,1.0
41,2020-07-23,121.68,122.3,117.501,118.61,117.7293,2127284,0.0,1.0
42,2020-07-22,119.41,122.555,119.03,122.24,121.3324,1317905,0.0,1.0
43,2020-07-21,119.45,121.7,119.23,120.42,119.5259,1330200,0.0,1.0
44,2020-07-20,118.89,120.4,118.18,118.77,117.8881,1174100,0.0,1.0
45,2020-07-17,120.83,120.83,118.59,119.16,118.2753,1301500,0.0,1.0
46,2020-07-16,119.03,122.69,118.81,120.5,119.6053,1367400,0.0,1.0
47,2020-07-15,121.38,121.56,118.0,119.14,118.2554,1487400,0.0,1.0
48,2020-07-14,114.27,118.97,113.37,118.55,117.6698,2289800,0.0,1.0
49,2020-07-13,114.61,116.42,112.86,114.24,113.3918,1239700,0.0,1.0
50,2020-07-10,110.24,114.24,110.21,113.84,112.9948,1073600,0.0,1.0
51,2020-07-09,113.38,113.38,109.09,110.04,109.223,1506400,0.0,1.0
52,2020-07-08,111.92,113.78,111.5,113.18,112.3397,1591200,0.0,1.0
53,2020-07-07,113.59,113.82,111.98,112.48,111.6448,1222600,0.0,1.0
54,2020-07-06,115.26,116.38,113.33,114.57,113.7193,1329600,0.0,1.0
55,2020-07-02,115.04,116.0,112.18,112.46,111.625,1040300,0.0,1.0
56,2020-07-01,113.96,114.79,112.2,112.5,111.6647,930500,0.0,1.0
57,2020-06-30,112.47,114.49,112.1,114.05,113.2032,1464500,0.0,1.0
58,2020-06-29,112.39,113.4215,110.885,112.9,112.0617,1161628,0.0,1.0
59,2020-06-26,113.26,114.42,110.55,111.0,110.1758,2515200,0.0,1.0
60,2020-06-25,112.55,114.83,111.53,114.62,113.769,1212800,0.0,1.0
61,2020-06-24,114.59,114.69,111.4,112.86,112.022,3024400,0.0,1.0
62,2020-06-23,117.87,118.46,115.99,116.19,115.3273,1723900,0.0,1.0
63,2020-06-22,115.26,116.77,114.28,116.23,115.367,1967800,0.0,1.0
64,2020-06-19,117.75,117.75,115.25,116.56,115.6946,4756900,0.0,1.0
65,2020-06-18,113.87,116.6,113.5,116.05,115.1883,1111100,0.0,1.0
66,2020-06-17,116.81,116.81,114.54,114.82,113.9675,1328300,0.0,1.0
67,2020-06-16,119.45,119.45,114.17,116.15,115.2876,1545000,0.0,1.0
68,2020-06-15,109.5,115.87,108.16,114.85,113.9973,1942100,0.0,1.0
69,2020-06-12,114.72,115.55,110.56,113.33,112.4885,1885100,0.0,1.0
70,2020-06-11,116.41,117.39,110.37,110.55,109.7292,3541000,0.0,1.0
71,2020-06-10,123.75,124.66,120.97,120.98,120.0817,3377200,0.0,1.0
72,2020-06-09,124.29,126.99,123.92,125.42,124.4888,2875400,0.85,1.0
73,2020-06-08,125.0,128.13,124.62,128.0,126.1944,3168200,0.0,1.0
74,2020-06-05,121.27,125.28,120.18,124.36,122.6057,3129600,0.0,1.0
75,2020-06-04,113.98,118.01,112.95,118.0,116.3354,1695300,0.0,1.0
76,2020-06-03,113.03,115.0,112.52,114.47,112.8552,1774200,0.0,1.0
77,2020-06-02,110.07,111.46,108.55,111.0,109.4342,1795800,0.0,1.0
78,2020-06-01,106.79,109.3,105.42,109.15,107.6103,1726700,0.0,1.0
79,2020-05-29,106.33,108.73,105.68,106.98,105.4709,2973600,0.0,1.0
80,2020-05-28,108.49,108.76,106.58,107.59,106.0723,2028300,0.0,1.0
81,2020-05-27,106.98,107.36,105.03,106.82,105.3131,1738200,0.0,1.0
82,2020-05-26,103.72,104.57,102.73,103.36,101.902,2840500,0.0,1.0
83,2020-05-22,99.29,100.22,98.2,100.1,98.6879,1705400,0.0,1.0
84,2020-05-21,95.0,100.8,94.93,99.17,97.7711,2993500,0.0,1.0
85,2020-05-20,94.58,96.15,93.77,95.54,94.1923,1835600,0.0,1.0
86,2020-05-19,94.79,95.07,92.93,93.27,91.9543,1598500,0.0,1.0
87,2020-05-18,93.99,96.1,93.5,95.3,93.9557,1706100,0.0,1.0
88,2020-05-15,89.23,90.42,87.73,90.31,89.036,3352700,0.0,1.0
89,2020-05-14,88.2,90.96,85.1,90.22,88.9473,2651300,0.0,1.0
90,2020-05-13,92.87,93.1,89.53,89.86,88.5924,1964900,0.0,1.0
91,2020-05-12,95.71,96.73,93.89,93.96,92.6346,1913100,0.0,1.0
92,2020-05-11,96.63,96.71,94.46,95.51,94.1627,1016200,0.0,1.0
93,2020-05-08,97.5,97.62,95.51,97.34,95.9669,1125200,0.0,1.0
94,2020-05-07,94.2,97.9,94.2,95.8,94.4486,1333100,0.0,1.0
95,2020-05-06,97.62,97.82,93.23,93.29,91.974,1309000,0.0,1.0
96,2020-05-05,97.62,99.63,96.76,96.85,95.4838,1798700,0.0,1.0
97,2020-05-04,95.22,97.06,93.45,96.91,95.5429,1657700,0.0,1.0
98,2020-05-01,99.48,99.82,95.64,96.05,94.6951,2580200,0.0,1.0
99,2020-04-30,104.27,104.59,100.91,101.21,99.7823,1908800,0.0,1.0
100,2020-04-29,105.89,106.89,103.91,106.0,104.5047,1420200,0.0,1.0
101,2020-04-28,104.97,105.65,102.89,104.29,102.8188,1907100,0.0,1.0
102,2020-04-27,101.7,103.66,101.43,102.89,101.4386,1405200,0.0,1.0
103,2020-04-24,100.89,101.08,98.64,100.82,99.3978,2130000,0.0,1.0
104,2020-04-23,101.75,102.97,100.25,100.45,99.033,1832100,0.0,1.0
105,2020-04-22,103.51,104.41,100.44,101.79,100.3541,2274100,0.0,1.0
106,2020-04-21,98.49,106.55,96.55,101.78,100.3442,3049200,0.0,1.0
107,2020-04-20,103.29,103.82,100.1,101.78,100.3442,2204500,0.0,1.0
108,2020-04-17,103.3,105.34,102.15,105.07,103.5878,2038500,0.0,1.0
109,2020-04-16,101.96,102.22,98.97,99.81,98.402,1721100,0.0,1.0
110,2020-04-15,103.02,105.23,101.97,102.17,100.7287,1994700,0.0,1.0
111,2020-04-14,107.23,109.51,106.34,108.02,106.4962,2122800,0.0,1.0
112,2020-04-13,109.61,109.88,105.83,106.42,104.9188,1241500,0.0,1.0
113,2020-04-09,106.34,111.7,105.75,109.74,108.192,1693400,0.0,1.0
114,2020-04-08,101.6,105.48,100.12,104.94,103.4597,1482100,0.0,1.0
115,2020-04-07,102.47,104.2,100.67,100.78,99.3583,1944000,0.0,1.0
116,2020-04-06,98.0,99.49,96.78,98.98,97.5837,3042500,0.0,1.0
117,2020-04-03,96.09,97.32,92.94,93.89,92.5655,1784100,0.0,1.0
118,2020-04-02,94.55,98.93,93.9,97.19,95.819,1852300,0.0,1.0
119,2020-04-01,94.76,98.07,94.4,95.2,93.8571,3182600,0.0,1.0
120,2020-03-31,100.74,101.72,99.01,99.35,97.9485,2919500,0.0,1.0
121,2020-03-30,99.85,102.99,96.2,102.59,101.1428,2733700,0.0,1.0
