,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,61.11,61.55,59.4103,59.85,59.85,3029868,0.0,1.0
1,2020-09-18,63.66,64.01,61.82,62.03,62.03,3826925,0.0,1.0
2,2020-09-17,64.81,64.99,63.38,63.75,63.75,2916021,0.0,1.0
3,2020-09-16,65.39,66.49,65.09,65.21,65.21,2847631,0.0,1.0
4,2020-09-15,65.31,65.69,64.8,65.25,65.25,2965779,0.0,1.0
5,2020-09-14,63.92,65.44,63.92,65.31,65.31,2195759,0.0,1.0
6,2020-09-11,63.61,64.16,62.92,63.72,63.72,5104836,0.0,1.0
7,2020-09-10,62.06,64.68,61.81,63.45,63.45,4495582,0.0,1.0
8,2020-09-09,61.82,62.17,60.53,61.24,61.24,4607145,0.0,1.0
9,2020-09-08,62.36,62.45,61.0341,61.57,61.57,2825430,0.0,1.0
10,2020-09-04,61.88,62.68,61.4,62.42,62.42,3191061,0.0,1.0
11,2020-09-03,63.93,64.66,61.205,61.64,61.64,3188212,0.0,1.0
12,2020-09-02,62.16,63.58,61.65,63.39,63.39,4824536,0.0,1.0
13,2020-09-01,62.87,62.87,61.5175,62.64,62.64,1730863,0.0,1.0
14,2020-08-31,63.31,63.46,62.54,62.8,62.8,2049106,0.42,1.0
15,2020-08-28,64.06,64.4,63.15,63.91,63.4854,1753494,0.0,1.0
16,2020-08-27,63.72,64.79,63.53,63.96,63.5351,2123673,0.0,1.0
17,2020-08-26,63.67,63.84,62.92,63.45,63.0285,1767207,0.0,1.0
18,2020-08-25,64.14,64.14,62.84,63.54,63.1179,1666849,0.0,1.0
19,2020-08-24,63.05,63.92,62.6,63.55,63.1278,2522083,0.0,1.0
20,2020-08-21,62.9,63.3,62.61,62.92,62.502,1586389,0.0,1.0
21,2020-08-20,63.14,63.55,62.72,62.9,62.4821,1712415,0.0,1.0
22,2020-08-19,63.56,63.955,63.22,63.48,63.0583,1039179,0.0,1.0
23,2020-08-18,63.69,64.09,62.7862,63.67,63.247,1388105,0.0,1.0
24,2020-08-17,63.8,64.06,63.08,63.68,63.2569,1516343,0.0,1.0
25,2020-08-14,64.3,64.97,63.91,63.94,63.5152,2907974,0.0,1.0
26,2020-08-13,65.26,65.58,64.59,64.6,64.1708,1871516,0.0,1.0
27,2020-08-12,66.38,66.52,65.29,65.71,65.2735,1462951,0.0,1.0
28,2020-08-11,65.33,66.11,65.01,65.21,64.7768,2494471,0.0,1.0
29,2020-08-10,63.34,65.03,63.12,64.56,64.1311,2644880,0.0,1.0
30,2020-08-07,62.2,63.4,62.08,62.8,62.3828,2653968,0.0,1.0
31,2020-08-06,62.55,63.21,62.11,62.46,62.045,3140477,0.0,1.0
32,2020-08-05,64.45,64.835,62.7,62.93,62.5119,4045921,0.0,1.0
33,2020-08-04,63.1,65.13,62.52,65.12,64.6874,5641165,0.0,1.0
34,2020-08-03,62.9,63.47,61.34,62.43,62.0152,5173724,0.0,1.0
35,2020-07-31,61.39,61.79,60.61,61.45,61.0418,2040654,0.0,1.0
36,2020-07-30,61.33,61.64,60.3,61.57,61.161,1493069,0.0,1.0
37,2020-07-29,61.12,62.0,60.34,62.0,61.5881,1554863,0.0,1.0
38,2020-07-28,60.55,61.32,60.37,60.74,60.3365,1255446,0.0,1.0
39,2020-07-27,60.56,61.06,59.96,60.98,60.5749,1108204,0.0,1.0
40,2020-07-24,60.93,61.53,60.36,60.82,60.4159,1194455,0.0,1.0
41,2020-07-23,60.35,61.66,60.31,60.91,60.5053,1476770,0.0,1.0
42,2020-07-22,60.42,60.5,59.63,60.35,59.9491,1462524,0.0,1.0
43,2020-07-21,60.65,61.45,60.44,60.58,60.1775,1459300,0.0,1.0
44,2020-07-20,60.47,60.55,59.89,60.16,59.7603,1041700,0.0,1.0
45,2020-07-17,60.48,61.4,60.28,60.82,60.4159,1371900,0.0,1.0
46,2020-07-16,60.0,61.1,59.75,60.37,59.9689,1467200,0.0,1.0
47,2020-07-15,59.98,61.34,59.44,60.52,60.1179,2077900,0.0,1.0
48,2020-07-14,57.65,59.09,57.26,58.81,58.4193,2673000,0.0,1.0
49,2020-07-13,59.13,59.45,57.77,58.02,57.6345,2288200,0.0,1.0
50,2020-07-10,55.69,58.6,55.61,58.52,58.1312,2522100,0.0,1.0
51,2020-07-09,57.74,57.74,55.28,55.58,55.2108,3927200,0.0,1.0
52,2020-07-08,58.72,58.76,57.45,57.93,57.5451,2505200,0.0,1.0
53,2020-07-07,59.04,59.64,57.76,58.69,58.3001,2644500,0.0,1.0
54,2020-07-06,59.51,59.77,58.83,59.45,59.055,1664600,0.0,1.0
55,2020-07-02,59.32,60.29,58.26,58.45,58.0617,2422700,0.0,1.0
56,2020-07-01,59.68,60.55,58.49,58.57,58.1809,2139200,0.0,1.0
57,2020-06-30,59.16,60.35,58.79,59.71,59.3133,2132800,0.0,1.0
58,2020-06-29,58.78,59.46,57.98,59.26,58.8663,1698758,0.0,1.0
59,2020-06-26,59.78,59.88,57.97,58.28,57.8928,3445600,0.0,1.0
60,2020-06-25,59.0,60.34,58.15,59.87,59.4723,2177200,0.0,1.0
61,2020-06-24,60.52,60.58,58.42,59.44,59.0451,3444100,0.0,1.0
62,2020-06-23,62.15,62.95,61.11,61.16,60.7537,2558600,0.0,1.0
63,2020-06-22,62.03,62.17,60.89,61.42,61.012,3058600,0.0,1.0
64,2020-06-19,64.83,64.83,62.83,63.22,62.8,3908600,0.0,1.0
65,2020-06-18,62.45,64.75,62.13,64.02,63.5947,1564200,0.0,1.0
66,2020-06-17,65.35,65.65,63.2,63.49,63.0682,2393800,0.0,1.0
67,2020-06-16,64.36,65.38,62.92,64.85,64.4192,4551200,0.0,1.0
68,2020-06-15,60.65,62.78,59.53,62.76,62.3431,3009700,0.0,1.0
69,2020-06-12,61.5,62.59,60.22,62.2,61.7868,2918800,0.0,1.0
70,2020-06-11,62.68,62.88,59.49,59.85,59.4524,3842400,0.0,1.0
71,2020-06-10,66.97,67.41,64.53,64.54,64.1112,3598700,0.0,1.0
72,2020-06-09,68.06,68.13,65.41,66.77,66.3264,4056700,0.0,1.0
73,2020-06-08,66.23,68.71,65.21,68.67,68.2138,5001900,0.0,1.0
74,2020-06-05,66.64,66.77,64.22,64.92,64.4887,6777200,0.0,1.0
75,2020-06-04,61.78,64.19,60.89,64.07,63.6444,6634500,0.0,1.0
76,2020-06-03,63.01,63.74,57.75,60.1,59.7007,10554800,0.0,1.0
77,2020-06-02,62.61,62.93,61.77,62.5,62.0848,2437500,0.0,1.0
78,2020-06-01,61.55,63.1,60.72,62.61,62.1941,2183900,0.0,1.0
79,2020-05-29,61.6,61.9,59.75,61.44,61.0318,3934300,0.42,1.0
80,2020-05-28,62.74,63.6,61.63,62.66,61.8211,3091400,0.0,1.0
81,2020-05-27,62.96,63.24,61.02,62.75,61.9099,3844200,0.0,1.0
82,2020-05-26,60.46,62.47,60.23,61.64,60.8148,3193500,0.0,1.0
83,2020-05-22,59.71,59.75,58.74,59.19,58.3976,1390500,0.0,1.0
84,2020-05-21,60.59,60.59,58.42,59.25,58.4568,3178800,0.0,1.0
85,2020-05-20,59.1,60.98,58.79,60.65,59.838,2764800,0.0,1.0
86,2020-05-19,60.7,60.77,58.36,58.36,57.5787,2121200,0.0,1.0
87,2020-05-18,59.5,61.28,59.4,60.83,60.0156,2691500,0.0,1.0
88,2020-05-15,58.74,59.61,57.96,58.21,57.4307,2438000,0.0,1.0
89,2020-05-14,57.3,59.22,56.6,59.16,58.368,2968600,0.0,1.0
90,2020-05-13,60.0,60.15,57.5,58.12,57.3419,3783400,0.0,1.0
91,2020-05-12,61.26,61.87,59.96,60.08,59.2757,3008200,0.0,1.0
92,2020-05-11,59.83,61.18,59.55,60.76,59.9466,3789900,0.0,1.0
93,2020-05-08,57.96,61.1,57.82,60.39,59.5815,5191800,0.0,1.0
94,2020-05-07,55.66,57.91,55.55,57.26,56.4934,5000600,0.0,1.0
95,2020-05-06,57.49,57.49,54.77,54.78,54.0466,5470900,0.0,1.0
96,2020-05-05,55.3,57.79,54.91,56.99,56.227,5994300,0.0,1.0
97,2020-05-04,58.25,58.37,54.28,55.32,54.5794,11134500,0.0,1.0
98,2020-05-01,61.22,61.67,59.26,60.01,59.2066,2774800,0.0,1.0
99,2020-04-30,63.0,63.14,60.88,62.19,61.3574,2816900,0.0,1.0
100,2020-04-29,62.8,63.9,62.25,63.3,62.4525,3267400,0.0,1.0
101,2020-04-28,60.96,63.71,60.12,62.8,61.9592,3887900,0.0,1.0
102,2020-04-27,59.57,60.2,58.96,59.68,58.881,3546700,0.0,1.0
103,2020-04-24,60.92,60.96,58.65,58.98,58.1904,4385800,0.0,1.0
104,2020-04-23,59.0,61.45,58.94,60.9,60.0847,2910300,0.0,1.0
105,2020-04-22,62.19,62.9,59.6,59.92,59.1178,3988800,0.0,1.0
106,2020-04-21,62.79,63.28,61.48,61.91,61.0812,2811600,0.0,1.0
107,2020-04-20,61.88,64.97,61.58,63.86,63.005,3442500,0.0,1.0
108,2020-04-17,62.14,62.96,61.43,62.34,61.5054,2884600,0.0,1.0
109,2020-04-16,60.15,61.03,58.87,60.88,60.0649,3110800,0.0,1.0
110,2020-04-15,60.65,60.77,58.79,60.15,59.3447,3050900,0.0,1.0
111,2020-04-14,62.96,63.48,61.16,61.41,60.5878,3332300,0.0,1.0
112,2020-04-13,61.67,62.69,61.02,62.18,61.3475,3072200,0.0,1.0
113,2020-04-09,59.0,61.64,59.0,60.94,60.1241,2866000,0.0,1.0
114,2020-04-08,57.68,59.25,57.11,58.41,57.628,3366700,0.0,1.0
115,2020-04-07,58.44,59.61,56.7,57.37,56.6019,2889000,0.0,1.0
116,2020-04-06,56.25,56.91,54.96,56.45,55.6943,2765600,0.0,1.0
117,2020-04-03,53.09,54.12,52.33,53.82,53.0995,2874700,0.0,1.0
118,2020-04-02,54.66,55.97,52.67,54.15,53.425,2875700,0.0,1.0
119,2020-04-01,56.4,57.58,55.05,55.34,54.5991,2965500,0.0,1.0
120,2020-03-31,59.34,59.34,57.36,57.87,57.0952,3815700,0.0,1.0
