,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,35.8,36.38,35.28,35.6,35.6,1079669,0.0,1.0
1,2020-09-21,36.56,36.74,35.23,35.67,35.67,1530734,0.0,1.0
2,2020-09-18,38.78,39.28,37.48,37.65,37.65,2979943,0.0,1.0
3,2020-09-17,39.05,39.5,38.6,39.11,39.11,1599755,0.0,1.0
4,2020-09-16,39.1,40.12,38.83,39.61,39.61,1498673,0.0,1.0
5,2020-09-15,39.39,39.59,38.77,39.07,39.07,922876,0.0,1.0
6,2020-09-14,39.0,39.51,38.655,39.33,39.33,1112636,0.0,1.0
7,2020-09-11,38.63,39.16,38.4,38.74,38.74,1214157,0.0,1.0
8,2020-09-10,38.55,39.2,38.48,38.52,38.52,1100972,0.02,1.0
9,2020-09-09,38.57,38.935,38.19,38.53,38.51,1028960,0.0,1.0
10,2020-09-08,38.59,38.755,37.625,38.27,38.2501,1643406,0.0,1.0
11,2020-09-04,39.79,40.05,38.69,38.94,38.9198,1417523,0.0,1.0
12,2020-09-03,40.82,41.08,38.7,39.01,38.9898,1089607,0.0,1.0
13,2020-09-02,39.5,40.67,39.41,40.61,40.5889,1611071,0.0,1.0
14,2020-09-01,38.94,39.54,38.76,39.4,39.3796,1767465,0.0,1.0
15,2020-08-31,40.0,40.0,39.25,39.43,39.4095,1364351,0.0,1.0
16,2020-08-28,39.38,39.99,39.34,39.97,39.9493,626914,0.0,1.0
17,2020-08-27,38.84,39.9,38.84,39.32,39.2996,850852,0.0,1.0
18,2020-08-26,38.38,38.915,38.03,38.83,38.8098,868396,0.0,1.0
19,2020-08-25,39.63,39.7151,38.46,38.66,38.6399,706877,0.0,1.0
20,2020-08-24,37.74,39.3,37.74,39.29,39.2696,1105519,0.0,1.0
21,2020-08-21,37.28,37.73,37.26,37.6,37.5805,1070391,0.0,1.0
22,2020-08-20,37.14,37.54,37.12,37.42,37.4006,859788,0.0,1.0
23,2020-08-19,37.29,38.16,37.07,37.71,37.6904,1071049,0.0,1.0
24,2020-08-18,37.63,37.85,37.18,37.24,37.2207,1204682,0.0,1.0
25,2020-08-17,38.73,38.885,37.714,37.84,37.8204,1607934,0.0,1.0
26,2020-08-14,37.03,38.83,37.01,38.49,38.47,1938794,0.0,1.0
27,2020-08-13,37.69,38.28,37.22,37.39,37.3706,727719,0.0,1.0
28,2020-08-12,39.29,39.39,37.64,38.19,38.1702,1607630,0.0,1.0
29,2020-08-11,39.95,40.35,38.54,38.68,38.6599,1627547,0.0,1.0
30,2020-08-10,37.68,38.93,37.68,38.86,38.8398,1045390,0.0,1.0
31,2020-08-07,36.98,37.61,36.78,37.58,37.5605,990292,0.0,1.0
32,2020-08-06,36.41,37.34,36.32,37.03,37.0108,1593396,0.0,1.0
33,2020-08-05,36.4,36.92,35.96,36.5,36.4811,1298332,0.0,1.0
34,2020-08-04,35.8,36.3,35.59,35.91,35.8914,1223001,0.0,1.0
35,2020-08-03,34.97,36.0,34.0,35.9,35.8814,1410027,0.0,1.0
36,2020-07-31,35.71,35.71,34.18,34.94,34.9219,1696018,0.0,1.0
37,2020-07-30,34.47,37.09,34.3,35.14,35.1218,2209933,0.0,1.0
38,2020-07-29,34.27,34.46,34.06,34.27,34.2522,1043187,0.0,1.0
39,2020-07-28,34.09,34.52,33.96,34.2,34.1823,907062,0.0,1.0
40,2020-07-27,34.18,34.52,33.665,34.18,34.1623,737524,0.0,1.0
41,2020-07-24,34.73,34.99,34.28,34.35,34.3322,1251853,0.0,1.0
42,2020-07-23,34.0,35.0,33.9225,34.61,34.592,1010193,0.0,1.0
43,2020-07-22,33.69,34.54,33.35,34.35,34.3322,730043,0.0,1.0
44,2020-07-21,33.33,34.47,33.15,34.01,33.9924,1913100,0.0,1.0
45,2020-07-20,33.5,33.5,32.45,32.99,32.9729,1228300,0.0,1.0
46,2020-07-17,33.6,33.8,33.05,33.44,33.4226,971400,0.0,1.0
47,2020-07-16,33.21,34.01,32.6,33.51,33.4926,782300,0.0,1.0
48,2020-07-15,33.48,33.91,33.07,33.66,33.6425,1282400,0.0,1.0
49,2020-07-14,31.8,32.89,31.54,32.61,32.5931,951900,0.0,1.0
50,2020-07-13,31.56,32.64,30.9,32.03,32.0134,1501700,0.0,1.0
51,2020-07-10,30.34,31.33,30.15,31.06,31.0439,1778500,0.0,1.0
52,2020-07-09,31.37,31.69,30.06,30.13,30.1144,1708100,0.0,1.0
53,2020-07-08,31.42,31.99,31.13,31.71,31.6935,1085900,0.0,1.0
54,2020-07-07,32.74,32.9,31.45,31.49,31.4737,1034200,0.0,1.0
55,2020-07-06,33.36,33.75,32.65,33.22,33.2028,971300,0.0,1.0
56,2020-07-02,32.83,33.7,32.36,32.45,32.4332,1007100,0.0,1.0
57,2020-07-01,33.05,33.75,31.85,31.92,31.9034,1491900,0.0,1.0
58,2020-06-30,33.01,33.41,32.54,32.91,32.8929,1513900,0.0,1.0
59,2020-06-29,32.78,33.61,32.19,33.37,33.3527,1322106,0.0,1.0
60,2020-06-26,32.61,32.73,31.29,31.86,31.8435,2849000,0.0,1.0
61,2020-06-25,32.02,33.09,31.71,33.0,32.9829,1273600,0.0,1.0
62,2020-06-24,33.09,33.33,32.13,32.43,32.4132,1653900,0.0,1.0
63,2020-06-23,34.37,34.61,33.85,33.98,33.9624,1464400,0.0,1.0
64,2020-06-22,34.13,34.39,33.4,34.09,34.0723,1753500,0.0,1.0
65,2020-06-19,35.87,35.96,33.92,34.51,34.4921,4112800,0.0,1.0
66,2020-06-18,34.0,35.56,33.83,35.01,34.9918,1288200,0.0,1.0
67,2020-06-17,34.8,35.13,34.34,34.59,34.572,1096700,0.0,1.0
68,2020-06-16,35.98,36.24,33.99,34.98,34.9618,1348900,0.0,1.0
69,2020-06-15,32.1,34.41,32.03,33.84,33.8224,1804500,0.0,1.0
70,2020-06-12,33.75,34.25,32.51,34.15,34.1323,3202100,0.0,1.0
71,2020-06-11,32.5,33.08,31.56,31.63,31.6136,2528100,0.02,1.0
72,2020-06-10,37.88,38.0,35.34,35.36,35.3193,2114900,0.0,1.0
73,2020-06-09,38.38,39.23,37.78,38.51,38.4657,1584200,0.0,1.0
74,2020-06-08,41.09,41.38,40.09,40.55,40.5033,2392100,0.0,1.0
75,2020-06-05,39.29,40.42,38.39,39.12,39.075,2882800,0.0,1.0
76,2020-06-04,34.77,36.99,34.04,36.97,36.9275,2247300,0.0,1.0
77,2020-06-03,32.96,34.91,32.79,34.74,34.7,1820100,0.0,1.0
78,2020-06-02,31.83,32.65,31.55,31.9,31.8633,1734000,0.0,1.0
79,2020-06-01,30.88,31.71,30.73,31.55,31.5137,1239700,0.0,1.0
80,2020-05-29,30.42,31.34,29.77,30.97,30.9344,2788200,0.0,1.0
81,2020-05-28,32.04,32.13,30.65,31.02,30.9843,2147300,0.0,1.0
82,2020-05-27,31.19,31.92,30.18,31.45,31.4138,2211300,0.0,1.0
83,2020-05-26,28.5,30.64,28.44,30.02,29.9855,2080500,0.0,1.0
84,2020-05-22,27.35,27.35,26.42,26.91,26.879,936700,0.0,1.0
85,2020-05-21,27.31,27.75,26.91,26.95,26.919,1228400,0.0,1.0
86,2020-05-20,26.88,27.67,26.88,27.33,27.2986,1032500,0.0,1.0
87,2020-05-19,27.14,27.54,26.33,26.49,26.4595,975000,0.0,1.0
88,2020-05-18,25.73,27.54,25.47,27.19,27.1587,2208700,0.0,1.0
