,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,32.19,33.1,32.162,32.85,32.85,2247698,0.0,1.0
1,2020-09-21,33.33,33.46,32.01,32.15,32.15,2959377,0.0,1.0
2,2020-09-18,34.52,34.75,33.86,33.9,33.9,3526057,0.0,1.0
3,2020-09-17,34.77,35.12,34.47,34.76,34.76,2004547,0.0,1.0
4,2020-09-16,34.94,35.37,34.73,34.96,34.96,1811947,0.0,1.0
5,2020-09-15,35.0,35.39,34.655,34.8,34.8,1779858,0.0,1.0
6,2020-09-14,33.9,35.43,33.9,35.19,35.19,2750013,0.0,1.0
7,2020-09-11,34.08,34.225,33.45,33.66,33.66,2490928,0.0,1.0
8,2020-09-10,34.57,34.75,33.89,34.2,34.2,2459899,0.0,1.0
9,2020-09-09,34.72,35.16,34.15,34.45,34.45,1896556,0.0,1.0
10,2020-09-08,35.15,35.385,34.2,34.62,34.62,2105107,0.0,1.0
11,2020-09-04,35.28,35.74,34.62,35.31,35.31,2098835,0.0,1.0
12,2020-09-03,35.55,36.07,34.96,35.14,35.14,2948592,0.0,1.0
13,2020-09-02,34.55,35.21,34.24,35.17,35.17,2377242,0.0,1.0
14,2020-09-01,34.56,34.71,34.16,34.6,34.6,1740380,0.0,1.0
15,2020-08-31,34.94,34.94,34.44,34.81,34.81,1944915,0.0,1.0
16,2020-08-28,35.0,35.11,34.38,35.09,35.09,1292735,0.0,1.0
17,2020-08-27,34.0,35.09,33.75,34.93,34.93,1763879,0.0,1.0
18,2020-08-26,34.52,34.55,33.65,33.79,33.79,1398850,0.0,1.0
19,2020-08-25,34.53,34.8,34.15,34.62,34.62,1255331,0.0,1.0
20,2020-08-24,34.08,34.53,33.5,34.53,34.53,1227713,0.0,1.0
21,2020-08-21,34.52,34.62,33.63,34.08,34.08,1362861,0.0,1.0
22,2020-08-20,34.03,34.73,33.95,34.4,34.4,1002606,0.0,1.0
23,2020-08-19,35.18,35.4,33.87,34.18,34.18,1857840,0.0,1.0
24,2020-08-18,35.28,35.28,34.51,35.18,35.18,1336165,0.0,1.0
25,2020-08-17,35.01,35.18,34.66,35.05,35.05,1666469,0.0,1.0
26,2020-08-14,34.64,35.4795,34.52,35.02,35.02,2593573,0.0,1.0
27,2020-08-13,35.68,36.01,34.59,34.71,34.71,1816972,0.0,1.0
28,2020-08-12,35.97,36.06,35.54,35.89,35.89,902712,0.0,1.0
29,2020-08-11,36.33,36.51,35.6018,35.79,35.79,1400815,0.0,1.0
30,2020-08-10,35.94,36.26,35.64,35.97,35.97,754351,0.0,1.0
31,2020-08-07,35.28,35.89,35.19,35.89,35.89,892466,0.0,1.0
32,2020-08-06,35.24,35.74,34.99,35.49,35.49,911502,0.0,1.0
33,2020-08-05,35.4,35.63,34.99,35.52,35.52,1215248,0.0,1.0
34,2020-08-04,34.79,35.48,34.585,35.18,35.18,1374695,0.0,1.0
35,2020-08-03,35.73,35.77,34.94,35.12,35.12,1530604,0.0,1.0
36,2020-07-31,35.93,36.26,35.285,36.2,36.2,1639008,0.0,1.0
37,2020-07-30,34.77,36.17,34.69,36.1,36.1,2204052,0.0,1.0
38,2020-07-29,35.97,36.22,35.0,35.25,35.25,2848112,0.0,1.0
39,2020-07-28,35.22,36.215,35.0,35.88,35.88,1530514,0.0,1.0
40,2020-07-27,35.02,35.33,34.48,35.3,35.3,1849280,0.0,1.0
41,2020-07-24,35.78,35.87,35.25,35.49,35.49,1529152,0.0,1.0
42,2020-07-23,36.27,36.63,35.27,35.65,35.65,1635629,0.0,1.0
