,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,107.58,107.7,103.985,106.43,106.43,805495,0.0,1.0
1,2020-09-21,107.11,108.71,101.05,107.84,107.84,1924809,0.0,1.0
2,2020-09-18,121.31,121.95,117.8,117.93,117.93,1270554,0.0,1.0
3,2020-09-17,119.93,122.41,117.385,122.03,122.03,698417,0.0,1.0
4,2020-09-16,118.58,122.99,118.195,121.49,121.49,941824,0.0,1.0
5,2020-09-15,117.45,118.92,116.895,117.7,117.7,842000,0.0,1.0
6,2020-09-14,114.0,117.3,113.74,116.88,116.88,547617,0.0,1.0
7,2020-09-11,112.91,114.0,112.26,113.2,113.2,956154,0.0,1.0
8,2020-09-10,112.08,114.165,111.69,112.88,112.88,672293,0.0,1.0
9,2020-09-09,110.17,112.58,109.77,111.22,111.22,552892,0.0,1.0
10,2020-09-08,113.75,113.75,109.06,109.32,109.32,656949,0.0,1.0
11,2020-09-04,113.35,114.85,111.48,113.57,113.57,618987,0.0,1.0
12,2020-09-03,113.5,114.6,111.06,112.1,112.1,576103,0.0,1.0
13,2020-09-02,110.45,112.875,108.9,112.34,112.34,505731,0.0,1.0
14,2020-09-01,109.45,110.7,108.57,110.57,110.57,458400,0.0,1.0
15,2020-08-31,111.97,112.68,110.21,110.35,110.35,562098,0.0,1.0
16,2020-08-28,112.09,112.69,110.96,112.62,112.62,202388,0.0,1.0
17,2020-08-27,109.39,113.365,108.8,111.94,111.94,359726,0.0,1.0
18,2020-08-26,109.48,109.59,106.73,108.3,108.3,541024,0.0,1.0
19,2020-08-25,111.6,111.6,108.14,109.7,109.7,406756,0.0,1.0
20,2020-08-24,109.8,112.68,108.21,111.08,111.08,457746,0.0,1.0
21,2020-08-21,110.05,111.33,108.17,108.7,108.7,778358,0.0,1.0
22,2020-08-20,110.75,112.39,109.16,110.22,110.22,332117,0.0,1.0
23,2020-08-19,112.35,113.75,111.7,111.88,111.88,463245,0.0,1.0
24,2020-08-18,114.71,114.75,111.38,112.11,112.11,515885,0.0,1.0
25,2020-08-17,114.6,115.28,113.46,114.39,114.39,449571,0.0,1.0
26,2020-08-14,111.49,114.445,111.36,114.16,114.16,426282,0.0,1.0
27,2020-08-13,112.5,113.0,110.88,111.93,111.93,414393,0.0,1.0
28,2020-08-12,113.84,114.195,112.335,113.46,113.46,449351,0.0,1.0
29,2020-08-11,114.1,115.44,112.68,112.96,112.96,558960,0.0,1.0
30,2020-08-10,109.62,114.1,109.5,112.62,112.62,642607,0.0,1.0
31,2020-08-07,107.21,110.11,107.21,109.44,109.44,770073,0.0,1.0
32,2020-08-06,108.28,109.16,106.78,107.82,107.82,535567,0.0,1.0
33,2020-08-05,107.93,109.8,107.225,108.14,108.14,650409,0.0,1.0
34,2020-08-04,106.99,109.06,106.45,106.71,106.71,684481,0.0,1.0
35,2020-08-03,110.3,110.86,107.11,107.75,107.75,945474,0.0,1.0
36,2020-07-31,111.27,111.57,108.38,109.9,109.9,652599,0.0,1.0
37,2020-07-30,111.51,113.06,108.56,112.07,112.07,588264,0.0,1.0
38,2020-07-29,110.16,114.83,110.16,113.12,113.12,743155,0.0,1.0
39,2020-07-28,112.0,114.41,108.09,109.07,109.07,1014464,0.0,1.0
40,2020-07-27,107.1,110.27,105.78,109.37,109.37,980656,0.0,1.0
41,2020-07-24,108.21,108.78,106.69,108.08,108.08,656988,0.0,1.0
42,2020-07-23,105.76,107.91,105.75,107.5,107.5,862142,0.0,1.0
43,2020-07-22,102.12,106.9572,101.55,106.01,106.01,1096505,0.0,1.0
44,2020-07-21,96.69,101.47,96.69,100.2,100.2,1180322,0.0,1.0
45,2020-07-20,97.6,97.64,95.03,96.03,96.03,595871,0.0,1.0
46,2020-07-17,99.03,99.2,96.62,97.6,97.6,612500,0.0,1.0
47,2020-07-16,97.39,99.45,95.54,98.4,98.4,503200,0.0,1.0
48,2020-07-15,94.9,98.6,94.85,97.95,97.95,564400,0.0,1.0
49,2020-07-14,89.69,92.94,88.81,92.68,92.68,624200,0.0,1.0
50,2020-07-13,89.9,92.0,89.09,90.08,90.08,614100,0.0,1.0
51,2020-07-10,88.18,89.92,87.0,89.76,89.76,457300,0.0,1.0
52,2020-07-09,89.75,90.34,86.67,88.61,88.61,563400,0.0,1.0
53,2020-07-08,91.74,91.88,88.99,90.7,90.7,480500,0.0,1.0
54,2020-07-07,93.48,94.0,90.74,91.17,91.17,476300,0.0,1.0
55,2020-07-06,95.46,96.87,93.0,94.82,94.82,967800,0.0,1.0
56,2020-07-02,95.03,98.39,93.34,93.61,93.61,1077700,0.0,1.0
57,2020-07-01,93.31,96.0,92.26,93.18,93.18,669200,0.0,1.0
58,2020-06-30,91.57,93.42,89.23,92.89,92.89,635800,0.0,1.0
59,2020-06-29,90.57,93.33,89.03,92.27,92.27,512300,0.0,1.0
60,2020-06-26,90.41,92.92,88.47,89.34,89.34,1187293,0.0,1.0
61,2020-06-25,88.74,92.07,87.86,90.44,90.44,1021117,0.0,1.0
62,2020-06-24,93.67,93.7,89.06,89.3,89.3,1294029,0.0,1.0
63,2020-06-23,97.31,97.54,94.39,95.54,95.54,936118,0.0,1.0
64,2020-06-22,96.32,96.63,93.7,96.11,96.11,979769,0.0,1.0
65,2020-06-19,99.79,101.87,95.84,96.7,96.7,1468921,0.0,1.0
66,2020-06-18,96.01,98.49,93.44,97.77,97.77,688645,0.0,1.0
67,2020-06-17,102.37,102.37,96.44,96.86,96.86,855907,0.0,1.0
68,2020-06-16,103.89,105.17,98.93,102.0,102.0,861100,0.0,1.0
69,2020-06-15,92.51,100.75,91.22,100.53,100.53,1102614,0.0,1.0
70,2020-06-12,98.8,99.44,92.84,95.58,95.58,886726,0.0,1.0
71,2020-06-11,98.34,99.82,92.22,94.9,94.9,1330169,0.0,1.0
72,2020-06-10,108.73,108.85,102.4,102.45,102.45,649849,0.0,1.0
73,2020-06-09,113.17,113.81,107.18,109.22,109.22,919963,0.0,1.0
74,2020-06-08,110.53,114.54,110.01,111.21,111.21,791128,0.0,1.0
75,2020-06-05,105.48,112.97,105.48,109.16,109.16,924257,0.0,1.0
76,2020-06-04,102.83,105.09,101.61,102.91,102.91,676033,0.0,1.0
77,2020-06-03,105.27,107.9,104.32,104.43,104.43,475001,0.0,1.0
78,2020-06-02,104.69,105.45,103.12,104.03,104.03,422872,0.0,1.0
79,2020-06-01,105.0,107.66,103.15,104.59,104.59,692874,0.0,1.0
80,2020-05-29,106.59,106.95,103.19,105.45,105.45,903559,0.0,1.0
81,2020-05-28,111.88,111.88,106.37,107.25,107.25,470629,0.0,1.0
82,2020-05-27,108.42,111.11,106.99,110.43,110.43,573911,0.0,1.0
83,2020-05-26,107.73,109.72,105.87,106.38,106.38,770353,0.0,1.0
84,2020-05-22,105.9,106.1,101.2,104.17,104.17,571560,0.0,1.0
85,2020-05-21,102.8,106.15,101.93,105.57,105.57,714824,0.0,1.0
86,2020-05-20,101.51,103.94,100.28,103.28,103.28,721238,0.0,1.0
87,2020-05-19,99.4,102.39,97.38,100.51,100.51,590740,0.0,1.0
88,2020-05-18,96.22,101.224,96.22,100.13,100.13,903660,0.0,1.0
89,2020-05-15,91.14,93.59,90.51,92.63,92.63,443154,0.0,1.0
