,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,17.2,17.47,16.73,16.84,16.84,1965989,0.0,1.0
1,2020-09-21,17.76,17.93,16.83,17.12,17.12,3521014,0.0,1.0
2,2020-09-18,18.46,18.53,18.09,18.26,18.26,6118628,0.0,1.0
3,2020-09-17,18.38,18.7,18.14,18.61,18.61,1732976,0.0,1.0
4,2020-09-16,18.26,19.05,18.15,18.65,18.65,2122877,0.0,1.0
5,2020-09-15,18.86,19.07,18.0728,18.19,18.19,2352135,0.0,1.0
6,2020-09-14,18.7,18.97,18.5,18.83,18.83,1858160,0.0,1.0
7,2020-09-11,18.41,18.55,18.08,18.44,18.44,2229369,0.0,1.0
8,2020-09-10,18.81,19.29,18.32,18.34,18.34,3729368,0.0,1.0
9,2020-09-09,18.99,19.07,18.41,18.7,18.7,2117061,0.0,1.0
10,2020-09-08,19.6,19.67,18.66,18.77,18.77,2965674,0.0,1.0
11,2020-09-04,18.92,19.99,18.71,19.9,19.9,4620875,0.0,1.0
12,2020-09-03,18.88,19.425,18.18,18.39,18.39,2825617,0.0,1.0
13,2020-09-02,18.57,18.745,18.25,18.68,18.68,1362789,0.0,1.0
14,2020-09-01,18.3,18.96,18.19,18.54,18.54,1512854,0.0,1.0
15,2020-08-31,19.0,19.0,18.46,18.48,18.48,1772565,0.0,1.0
16,2020-08-28,19.05,19.11,18.72,19.01,19.01,1318312,0.0,1.0
17,2020-08-27,18.45,19.01,18.45,18.84,18.84,1723303,0.0,1.0
18,2020-08-26,18.6,18.72,18.3399,18.37,18.37,1263624,0.0,1.0
19,2020-08-25,19.0,19.14,18.525,18.65,18.65,1498141,0.0,1.0
20,2020-08-24,17.75,18.79,17.62,18.78,18.78,2317895,0.0,1.0
21,2020-08-21,17.93,18.22,17.525,17.64,17.64,1531274,0.0,1.0
22,2020-08-20,18.0,18.21,17.83,18.0,18.0,1469231,0.0,1.0
23,2020-08-19,18.18,18.59,18.04,18.22,18.22,1241147,0.0,1.0
24,2020-08-18,18.55,18.7,18.19,18.22,18.22,1273320,0.0,1.0
25,2020-08-17,18.95,19.04,18.4,18.53,18.53,1677152,0.0,1.0
26,2020-08-14,18.65,19.23,18.5351,19.05,19.05,1344686,0.0,1.0
27,2020-08-13,18.92,19.23,18.645,18.87,18.87,1740566,0.0,1.0
28,2020-08-12,19.8,19.84,18.97,19.22,19.22,3130383,0.0,1.0
29,2020-08-11,19.38,19.73,19.24,19.34,19.34,3972465,0.0,1.0
30,2020-08-10,18.1,18.8,18.08,18.76,18.76,2412177,0.0,1.0
31,2020-08-07,17.02,17.935,16.935,17.93,17.93,2128399,0.0,1.0
32,2020-08-06,17.62,17.77,17.12,17.17,17.17,1875400,0.0,1.0
33,2020-08-05,17.17,17.895,17.17,17.89,17.89,1899282,0.0,1.0
34,2020-08-04,17.0,17.17,16.88,16.93,16.93,1966583,0.0,1.0
35,2020-08-03,17.23,17.39,16.99,17.07,17.07,3498940,0.0,1.0
36,2020-07-31,17.14,17.26,16.9,17.23,17.23,3084194,0.0,1.0
37,2020-07-30,17.41,17.55,16.95,17.16,17.16,2969976,0.285,1.0
38,2020-07-29,18.5,18.75,17.65,18.19,17.8928,3927394,0.0,1.0
39,2020-07-28,18.0,18.3,17.7399,17.83,17.5387,2016442,0.0,1.0
40,2020-07-27,18.0,18.31,17.68,18.1,17.8043,2204036,0.0,1.0
41,2020-07-24,18.32,18.43,18.05,18.13,17.8338,2131245,0.0,1.0
42,2020-07-23,17.72,18.39,17.69,18.28,17.9814,2765529,0.0,1.0
43,2020-07-22,17.54,17.95,17.4299,17.87,17.5781,1800288,0.0,1.0
44,2020-07-21,17.25,18.03,17.25,17.79,17.4994,2593600,0.0,1.0
45,2020-07-20,17.35,17.42,16.96,17.09,16.8108,2052800,0.0,1.0
46,2020-07-17,17.57,17.68,17.17,17.49,17.2043,3333700,0.0,1.0
47,2020-07-16,17.4,17.98,17.07,17.58,17.2928,2145600,0.0,1.0
48,2020-07-15,17.31,17.63,16.88,17.56,17.2731,2458600,0.0,1.0
49,2020-07-14,16.74,17.0,16.51,16.89,16.6141,2865200,0.0,1.0
50,2020-07-13,16.69,17.02,16.36,16.73,16.4567,2487300,0.0,1.0
51,2020-07-10,15.59,16.5,15.48,16.45,16.1813,2400800,0.0,1.0
52,2020-07-09,16.39,16.41,15.44,15.48,15.2271,3119300,0.0,1.0
53,2020-07-08,16.1,16.53,15.96,16.45,16.1813,1981200,0.0,1.0
54,2020-07-07,16.59,16.74,16.1,16.14,15.8763,3218600,0.0,1.0
55,2020-07-06,16.69,16.97,16.46,16.88,16.6042,2360100,0.0,1.0
56,2020-07-02,16.52,16.85,16.06,16.1,15.837,2185100,0.0,1.0
57,2020-07-01,16.6,16.71,15.87,15.9,15.6402,3731400,0.0,1.0
58,2020-06-30,15.84,16.7,15.8,16.59,16.319,3108100,0.0,1.0
59,2020-06-29,15.84,16.1,15.51,16.09,15.8271,2893247,0.0,1.0
60,2020-06-26,15.99,16.1,15.33,15.52,15.2664,4018400,0.0,1.0
61,2020-06-25,15.33,16.37,15.21,16.35,16.0829,3315500,0.0,1.0
62,2020-06-24,16.07,16.14,15.47,15.51,15.2566,3954900,0.0,1.0
63,2020-06-23,16.76,17.04,16.41,16.42,16.1517,1991000,0.0,1.0
64,2020-06-22,16.42,16.7,16.07,16.41,16.1419,2438400,0.0,1.0
65,2020-06-19,17.6,17.72,16.47,16.48,16.2108,13603300,0.0,1.0
66,2020-06-18,16.87,17.49,16.71,17.14,16.86,3117300,0.0,1.0
67,2020-06-17,17.47,17.62,17.0,17.02,16.7419,3373500,0.0,1.0
68,2020-06-16,18.32,18.46,17.27,17.56,17.2731,3490100,0.0,1.0
69,2020-06-15,16.29,17.46,15.91,17.2,16.919,4577700,0.0,1.0
70,2020-06-12,17.07,17.18,16.3,17.08,16.801,2751500,0.0,1.0
71,2020-06-11,16.62,17.09,16.07,16.07,15.8075,4361500,0.0,1.0
72,2020-06-10,19.31,19.32,18.14,18.17,17.8732,4586100,0.0,1.0
73,2020-06-09,19.19,19.68,19.0,19.44,19.1224,2794100,0.0,1.0
74,2020-06-08,19.53,20.25,19.18,20.22,19.8897,4386300,0.0,1.0
75,2020-06-05,19.1,19.45,18.27,18.57,18.2666,3781800,0.0,1.0
76,2020-06-04,16.79,17.51,16.36,17.46,17.1748,3413000,0.0,1.0
77,2020-06-03,16.18,17.16,16.06,16.86,16.5846,4393300,0.0,1.0
78,2020-06-02,16.24,16.58,15.61,15.65,15.3943,3964300,0.0,1.0
79,2020-06-01,15.12,16.13,14.96,16.06,15.7976,3796600,0.0,1.0
80,2020-05-29,15.63,15.71,15.04,15.15,14.9025,13932800,0.0,1.0
81,2020-05-28,16.74,16.82,15.67,15.92,15.6599,3708300,0.0,1.0
82,2020-05-27,16.85,17.05,16.18,16.56,16.2895,3232100,0.0,1.0
83,2020-05-26,15.62,16.25,15.38,15.88,15.6206,4522700,0.0,1.0
84,2020-05-22,15.03,15.1,14.61,14.71,14.4697,2223400,0.0,1.0
85,2020-05-21,14.5,15.08,14.45,15.06,14.814,2490200,0.0,1.0
86,2020-05-20,14.72,14.94,14.53,14.63,14.391,2541400,0.0,1.0
87,2020-05-19,15.0,15.09,14.39,14.47,14.2336,2406500,0.0,1.0
88,2020-05-18,14.87,15.38,14.74,15.11,14.8631,3324000,0.0,1.0
89,2020-05-15,13.53,14.27,13.29,13.98,13.7516,4378400,0.0,1.0
90,2020-05-14,13.12,13.9,12.8,13.82,13.5942,4252200,0.0,1.0
91,2020-05-13,14.31,14.36,13.36,13.54,13.3188,3213600,0.0,1.0
92,2020-05-12,15.03,15.25,14.55,14.56,14.3221,2797600,0.0,1.0
93,2020-05-11,15.19,15.24,14.55,14.82,14.5779,2719000,0.0,1.0
94,2020-05-08,14.92,15.55,14.54,15.52,15.2664,2923300,0.0,1.0
95,2020-05-07,14.53,15.51,14.53,14.76,14.5189,2839300,0.0,1.0
96,2020-05-06,15.34,15.62,14.16,14.2,13.968,3387700,0.0,1.0
97,2020-05-05,15.3,15.95,15.1,15.18,14.932,5902900,0.0,1.0
98,2020-05-04,16.14,17.06,15.79,17.0,16.7223,3831600,0.0,1.0
99,2020-05-01,16.72,16.78,16.23,16.5,16.2304,3006800,0.0,1.0
100,2020-04-30,17.5,17.89,16.92,17.45,17.1649,4047100,0.0,1.0
101,2020-04-29,17.95,18.39,17.72,18.04,17.7453,5826400,0.0,1.0
102,2020-04-28,17.12,17.66,16.79,17.04,16.7616,3816600,0.0,1.0
103,2020-04-27,15.49,16.39,15.49,16.22,15.955,2356900,0.0,1.0
104,2020-04-24,14.8,15.57,14.62,15.35,15.0992,4519800,0.285,1.0
105,2020-04-23,14.85,15.39,14.76,14.83,14.3218,2893700,0.0,1.0
106,2020-04-22,14.83,15.17,14.48,14.63,14.1287,2564300,0.0,1.0
107,2020-04-21,14.47,14.96,14.2,14.39,13.8969,2154100,0.0,1.0
108,2020-04-20,14.97,15.46,14.71,15.15,14.6308,2630800,0.0,1.0
109,2020-04-17,15.29,15.84,15.17,15.51,14.9785,2470200,0.0,1.0
110,2020-04-16,14.76,15.04,14.3,14.52,14.0224,2488400,0.0,1.0
111,2020-04-15,15.29,15.54,14.72,14.96,14.4474,2902400,0.0,1.0
112,2020-04-14,16.16,16.86,15.73,16.36,15.7994,3509900,0.0,1.0
113,2020-04-13,15.5,15.88,14.59,15.75,15.2103,3213500,0.0,1.0
114,2020-04-09,15.87,16.93,15.34,15.58,15.0461,5661800,0.0,1.0
115,2020-04-08,14.46,15.4,14.3,15.21,14.6888,3981100,0.0,1.0
116,2020-04-07,15.56,16.15,14.13,14.22,13.7327,4506600,0.0,1.0
117,2020-04-06,14.8,15.0,13.86,14.23,13.7424,2464400,0.0,1.0
118,2020-04-03,12.95,13.69,12.95,13.46,12.9988,3381100,0.0,1.0
119,2020-04-02,12.89,14.11,12.6,12.96,12.5159,3040900,0.0,1.0
120,2020-04-01,13.98,14.0,13.06,13.1,12.6511,2347800,0.0,1.0
121,2020-03-31,15.76,16.19,14.8,15.01,14.4956,2383700,0.0,1.0
122,2020-03-30,16.01,16.19,14.79,15.94,15.3938,2780200,0.0,1.0
123,2020-03-27,14.89,17.06,14.2,15.97,15.4227,4305600,0.0,1.0
124,2020-03-26,14.94,16.48,14.59,15.88,15.3358,3682500,0.0,1.0
125,2020-03-25,13.66,15.88,13.07,14.63,14.1287,4395300,0.0,1.0
126,2020-03-24,11.71,13.48,11.34,13.1,12.6511,5285400,0.0,1.0
127,2020-03-23,10.62,10.7,9.58,10.38,10.0243,3879600,0.0,1.0
128,2020-03-20,11.0,11.99,10.34,10.56,10.1981,4658600,0.0,1.0
129,2020-03-19,11.51,12.26,10.5,10.82,10.4492,4401300,0.0,1.0
130,2020-03-18,12.31,12.81,11.43,11.8,11.3956,4323100,0.0,1.0
131,2020-03-17,12.78,13.5,11.57,13.44,12.9794,4339400,0.0,1.0
132,2020-03-16,13.1,13.37,12.38,12.45,12.0234,4504800,0.0,1.0
133,2020-03-13,15.09,15.51,13.84,15.51,14.9785,6192700,0.0,1.0
134,2020-03-12,15.8,16.4,13.56,13.57,13.105,4955700,0.0,1.0
135,2020-03-11,17.81,18.24,16.77,17.48,16.881,4419400,0.0,1.0
136,2020-03-10,18.3,18.45,16.69,18.43,17.7984,3900600,0.0,1.0
137,2020-03-09,18.51,19.24,16.55,17.14,16.5527,3980900,0.0,1.0
138,2020-03-06,20.29,21.38,20.2,20.65,19.9424,3461700,0.0,1.0
139,2020-03-05,22.12,22.12,21.25,21.53,20.7922,2596900,0.0,1.0
140,2020-03-04,23.36,23.39,22.25,23.11,22.3181,3054300,0.0,1.0
141,2020-03-03,24.91,25.6,22.76,22.79,22.009,3632700,0.0,1.0
142,2020-03-02,23.51,25.08,23.04,25.04,24.1819,3963100,0.0,1.0
143,2020-02-28,23.0,23.56,22.61,23.31,22.5112,4507700,0.0,1.0
144,2020-02-27,24.52,24.97,23.55,23.92,23.1003,3479200,0.0,1.0
145,2020-02-26,25.86,25.94,25.24,25.26,24.3944,2873200,0.0,1.0
146,2020-02-25,27.65,27.69,25.51,25.6,24.7227,2596500,0.0,1.0
147,2020-02-24,28.97,28.99,27.58,27.59,26.6446,2355300,0.0,1.0
148,2020-02-21,29.83,30.06,29.36,29.97,28.943,1328500,0.0,1.0
149,2020-02-20,29.55,30.39,29.55,30.12,29.0879,1702400,0.0,1.0
150,2020-02-19,29.7,29.86,29.56,29.7,28.6823,1592700,0.0,1.0
151,2020-02-18,29.83,30.19,29.44,29.63,28.6147,1482600,0.0,1.0
152,2020-02-14,30.14,30.18,29.84,30.01,28.9816,1438600,0.0,1.0
153,2020-02-13,30.05,30.23,29.88,30.18,29.1458,1935900,0.0,1.0
154,2020-02-12,30.0,30.42,29.9,30.19,29.1555,2564800,0.0,1.0
155,2020-02-11,29.49,29.95,29.45,29.65,28.634,1524600,0.0,1.0
156,2020-02-10,29.33,29.43,29.0,29.35,28.3442,1634300,0.0,1.0
157,2020-02-07,29.02,29.54,28.99,29.46,28.4505,2025100,0.0,1.0
158,2020-02-06,30.52,30.57,29.24,29.45,28.4408,2227600,0.0,1.0
159,2020-02-05,29.49,30.21,28.5,30.21,29.1748,3238792,0.0,1.0
160,2020-02-04,27.65,27.85,27.38,27.65,26.7025,2891300,0.0,1.0
161,2020-02-03,26.84,27.33,26.78,27.03,26.1037,1848200,0.0,1.0
162,2020-01-31,27.06,27.21,26.42,26.69,25.7754,3409100,0.0,1.0
163,2020-01-30,27.0,27.48,26.72,27.46,26.519,2547397,0.285,1.0
164,2020-01-29,27.45,27.95,27.4,27.54,26.3231,1639400,0.0,1.0
165,2020-01-28,27.34,27.81,27.19,27.34,26.1319,1542000,0.0,1.0
166,2020-01-27,27.38,27.57,26.97,27.05,25.8547,1821400,0.0,1.0
167,2020-01-24,28.7,28.7,27.76,28.1,26.8583,1609300,0.0,1.0
168,2020-01-23,28.5,28.78,27.8,28.67,27.4031,1732400,0.0,1.0
169,2020-01-22,28.91,29.02,28.53,28.67,27.4031,1101700,0.0,1.0
170,2020-01-21,29.16,29.16,28.58,28.83,27.5561,3084000,0.0,1.0
171,2020-01-17,29.23,29.63,29.21,29.37,28.0722,1457600,0.0,1.0
172,2020-01-16,28.82,29.18,28.78,29.14,27.8524,1477300,0.0,1.0
173,2020-01-15,28.51,28.77,28.4,28.57,27.3076,1126600,0.0,1.0
174,2020-01-14,29.09,29.11,28.78,28.85,27.5752,1602300,0.0,1.0
175,2020-01-13,28.81,29.09,28.64,29.03,27.7472,1398800,0.0,1.0
176,2020-01-10,28.87,29.21,28.63,28.72,27.4509,1480600,0.0,1.0
177,2020-01-09,29.18,29.18,28.74,28.87,27.5943,1426400,0.0,1.0
178,2020-01-08,28.72,29.12,28.69,28.91,27.6325,1689100,0.0,1.0
179,2020-01-07,28.56,28.89,28.38,28.66,27.3936,1767900,0.0,1.0
180,2020-01-06,28.75,28.88,28.53,28.69,27.4223,2358000,0.0,1.0
181,2020-01-03,29.18,29.28,28.74,29.06,27.7759,1862600,0.0,1.0
182,2020-01-02,29.37,29.67,29.14,29.64,28.3303,2168600,0.0,1.0
183,2019-12-31,28.7,29.25,28.7,29.16,27.8715,1331000,0.0,1.0
184,2019-12-30,28.96,29.03,28.7,28.75,27.4796,1047200,0.0,1.0
185,2019-12-27,29.2,29.2,28.8,28.84,27.5656,1452100,0.0,1.0
186,2019-12-26,29.16,29.36,29.01,29.09,27.8046,852300,0.0,1.0
187,2019-12-24,29.46,29.5,29.07,29.18,27.8906,461600,0.0,1.0
188,2019-12-23,29.43,29.6,29.24,29.42,28.12,1309100,0.0,1.0
189,2019-12-20,29.5,29.8,29.32,29.41,28.1104,4345200,0.0,1.0
190,2019-12-19,29.62,29.63,29.12,29.34,28.0435,3184700,0.0,1.0
191,2019-12-18,30.5,30.55,29.56,29.62,28.3112,3454600,0.0,1.0
192,2019-12-17,30.3,30.78,30.11,30.51,29.1618,2766700,0.0,1.0
193,2019-12-16,30.7,30.9,30.32,30.39,29.0471,2524800,0.0,1.0
194,2019-12-13,31.1,31.32,30.31,30.34,28.9993,1687200,0.0,1.0
195,2019-12-12,30.43,31.25,30.25,31.01,29.6397,2610100,0.0,1.0
196,2019-12-11,29.94,30.31,29.77,30.19,28.856,2788700,0.0,1.0
197,2019-12-10,29.54,30.06,29.43,29.95,28.6266,3201800,0.0,1.0
198,2019-12-09,29.28,29.73,29.08,29.61,28.3016,1902700,0.0,1.0
199,2019-12-06,29.41,29.54,28.97,29.27,27.9766,4271400,0.0,1.0
200,2019-12-05,29.23,29.33,28.77,28.88,27.6039,1918400,0.0,1.0
201,2019-12-04,28.84,29.35,28.81,29.0,27.7186,2185000,0.0,1.0
202,2019-12-03,29.9,29.9,28.92,28.94,27.6612,2315600,0.0,1.0
203,2019-12-02,30.87,31.23,30.46,30.48,29.1332,1455300,0.0,1.0
204,2019-11-29,30.65,31.11,30.54,30.74,29.3817,946900,0.0,1.0
205,2019-11-27,30.5,30.9,30.34,30.65,29.2956,1739300,0.0,1.0
206,2019-11-26,30.22,30.22,29.84,30.14,28.8082,1798900,0.0,1.0
207,2019-11-25,30.16,30.45,29.96,30.28,28.942,1435700,0.0,1.0
208,2019-11-22,30.0,30.5,29.94,30.21,28.8751,1661000,0.0,1.0
209,2019-11-21,29.79,30.12,29.59,29.96,28.6361,1584000,0.0,1.0
210,2019-11-20,29.04,29.66,28.79,29.57,28.2634,1956600,0.0,1.0
211,2019-11-19,29.38,29.78,29.24,29.27,27.9766,1871600,0.0,1.0
212,2019-11-18,29.51,29.7,28.88,29.24,27.948,3046900,0.0,1.0
213,2019-11-15,29.81,29.91,29.53,29.7,28.3876,1599400,0.0,1.0
214,2019-11-14,29.53,29.79,29.41,29.62,28.3112,1220800,0.0,1.0
215,2019-11-13,29.82,29.84,29.53,29.6,28.292,2027400,0.0,1.0
216,2019-11-12,29.82,30.25,29.58,30.16,28.8273,1340400,0.0,1.0
217,2019-11-11,29.58,29.91,29.49,29.84,28.5214,826500,0.0,1.0
218,2019-11-08,29.75,30.01,29.16,30.0,28.6744,1210500,0.0,1.0
219,2019-11-07,29.82,30.33,29.69,29.76,28.445,1109200,0.0,1.0
220,2019-11-06,29.87,30.0,29.44,29.49,28.1869,2206700,0.0,1.0
221,2019-11-05,29.52,30.38,29.45,29.93,28.6075,1643400,0.0,1.0
222,2019-11-04,28.98,29.38,28.84,29.33,28.034,1469000,0.0,1.0
223,2019-11-01,27.88,28.64,27.85,28.64,27.3745,2540900,0.0,1.0
224,2019-10-31,27.35,28.0,27.0,27.54,26.3231,1756100,0.0,1.0
225,2019-10-30,28.27,28.49,27.09,27.46,26.2466,2008000,0.0,1.0
226,2019-10-29,28.42,28.88,28.41,28.7,27.4318,1182400,0.0,1.0
227,2019-10-28,28.63,29.0,28.55,28.6,27.3362,1251100,0.0,1.0
228,2019-10-25,28.36,28.64,28.34,28.49,27.2311,1198200,0.285,1.0
229,2019-10-24,29.29,29.46,28.42,28.75,27.2074,1240900,0.0,1.0
230,2019-10-23,28.8,29.32,28.65,29.27,27.6995,1106100,0.0,1.0
231,2019-10-22,28.8,29.1,28.5,28.96,27.4062,1002800,0.0,1.0
232,2019-10-21,28.66,28.98,28.6,28.89,27.3399,1194200,0.0,1.0
233,2019-10-18,28.12,28.47,28.12,28.27,26.7532,1534800,0.0,1.0
234,2019-10-17,28.41,28.5,27.91,28.05,26.545,1128300,0.0,1.0
235,2019-10-16,28.72,28.92,28.12,28.13,26.6207,1688300,0.0,1.0
236,2019-10-15,28.42,28.93,28.23,28.56,27.0276,1153000,0.0,1.0
237,2019-10-14,27.96,28.41,27.81,28.31,26.791,664000,0.0,1.0
238,2019-10-11,28.19,28.76,28.19,28.29,26.7721,1697100,0.0,1.0
239,2019-10-10,27.45,28.0,27.37,27.54,26.0624,1512100,0.0,1.0
240,2019-10-09,27.03,27.37,26.88,27.13,25.6744,1370900,0.0,1.0
241,2019-10-08,26.8,26.82,26.42,26.64,25.2106,1998700,0.0,1.0
242,2019-10-07,27.14,27.52,27.02,27.29,25.8258,2825900,0.0,1.0
243,2019-10-04,26.58,27.25,26.48,27.25,25.7879,1464000,0.0,1.0
244,2019-10-03,26.77,26.88,26.13,26.61,25.1823,2476400,0.0,1.0
245,2019-10-02,27.81,28.01,26.89,26.96,25.5135,1529700,0.0,1.0
246,2019-10-01,30.0,30.03,28.2,28.21,26.6964,1348300,0.0,1.0
247,2019-09-30,29.73,29.76,29.41,29.72,28.1254,1762600,0.0,1.0
248,2019-09-27,29.62,29.94,29.37,29.6,28.0118,1009700,0.0,1.0
249,2019-09-26,29.26,29.4,28.94,29.31,27.7374,1588000,0.0,1.0
250,2019-09-25,29.45,29.76,29.29,29.29,27.7185,1903300,0.0,1.0
251,2019-09-24,29.65,29.88,29.23,29.48,27.8983,2139400,0.0,1.0
252,2019-09-23,29.13,29.86,29.04,29.62,28.0308,1193300,0.0,1.0
253,2019-09-20,29.65,30.18,29.43,29.45,27.8699,2933900,0.0,1.0
254,2019-09-19,29.65,29.97,29.52,29.56,27.974,1647600,0.0,1.0
255,2019-09-18,29.32,29.82,29.14,29.66,28.0686,1504700,0.0,1.0
256,2019-09-17,29.44,29.61,29.19,29.54,27.955,1264300,0.0,1.0
257,2019-09-16,29.42,29.83,29.34,29.73,28.1349,1651300,0.0,1.0
258,2019-09-13,29.74,30.21,29.47,29.77,28.1727,2808800,0.0,1.0
259,2019-09-12,28.9,29.48,28.33,29.32,27.7469,2292000,0.0,1.0
260,2019-09-11,28.54,29.29,28.07,29.29,27.7185,2326200,0.0,1.0
261,2019-09-10,27.87,28.67,27.87,28.61,27.0749,3295400,0.0,1.0
262,2019-09-09,26.75,27.74,26.68,27.67,26.1854,3203000,0.0,1.0
263,2019-09-06,26.27,26.82,26.04,26.48,25.0592,2582600,0.0,1.0
264,2019-09-05,25.77,26.55,25.77,26.28,24.87,2176900,0.0,1.0
265,2019-09-04,25.63,25.68,25.22,25.33,23.9709,2291000,0.0,1.0
266,2019-09-03,25.12,25.38,24.71,25.3,23.9425,3892500,0.0,1.0
267,2019-08-30,25.69,25.7,25.28,25.41,24.0466,3344500,0.0,1.0
268,2019-08-29,25.4,25.49,25.17,25.4,24.0372,2111900,0.0,1.0
269,2019-08-28,24.92,25.37,24.89,25.06,23.7154,3470900,0.0,1.0
270,2019-08-27,26.46,26.52,25.03,25.16,23.8101,3587800,0.0,1.0
271,2019-08-26,26.48,26.57,26.09,26.29,24.8794,1492500,0.0,1.0
272,2019-08-23,26.48,26.82,25.98,26.11,24.7091,3942000,0.0,1.0
273,2019-08-22,26.86,27.12,26.71,26.75,25.3147,1408700,0.0,1.0
274,2019-08-21,26.59,26.75,26.41,26.65,25.2201,937100,0.0,1.0
275,2019-08-20,26.77,26.81,26.32,26.36,24.9457,1197400,0.0,1.0
276,2019-08-19,27.2,27.3,26.94,26.96,25.5135,1579000,0.0,1.0
277,2019-08-16,26.04,26.76,25.98,26.69,25.258,1654900,0.0,1.0
278,2019-08-15,26.47,26.59,25.69,25.76,24.3779,2147000,0.0,1.0
279,2019-08-14,27.13,27.29,26.4,26.46,25.0403,1741500,0.0,1.0
280,2019-08-13,27.36,28.39,27.2,27.93,26.4314,2458600,0.0,1.0
281,2019-08-12,27.89,28.01,27.34,27.44,25.9677,1240400,0.0,1.0
282,2019-08-09,28.76,28.87,28.22,28.32,26.8005,1650800,0.0,1.0
283,2019-08-08,28.44,28.96,28.35,28.91,27.3588,1661400,0.0,1.0
284,2019-08-07,27.9,28.2,27.42,28.13,26.6207,2374800,0.0,1.0
285,2019-08-06,28.85,28.96,28.19,28.65,27.1128,3083200,0.0,1.0
286,2019-08-05,28.94,29.2,28.44,28.69,27.1507,1953500,0.0,1.0
287,2019-08-02,29.79,30.07,29.49,29.69,28.097,1744900,0.0,1.0
288,2019-08-01,31.97,31.97,29.66,29.91,28.3052,3420600,0.0,1.0
289,2019-07-31,33.0,33.2,31.58,31.95,30.2357,2350500,0.0,1.0
290,2019-07-30,32.25,32.8,31.98,32.8,31.0401,1291000,0.0,1.0
291,2019-07-29,32.83,32.95,32.33,32.5,30.7562,1216100,0.0,1.0
292,2019-07-26,32.58,33.07,32.31,32.98,31.2105,1438600,0.285,1.0
293,2019-07-25,33.11,33.11,32.64,32.81,30.7836,2279200,0.0,1.0
294,2019-07-24,32.96,33.32,32.92,33.13,31.0838,1823500,0.0,1.0
295,2019-07-23,32.57,33.07,32.48,33.03,30.99,2580000,0.0,1.0
296,2019-07-22,32.96,33.05,32.38,32.44,30.4364,1329500,0.0,1.0
