,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,194.34,197.99,194.215,197.32,197.32,1855571,0.0,1.0
1,2020-09-21,196.0,196.91,190.73,194.0,194.0,2980608,0.0,1.0
2,2020-09-18,201.21,204.53,199.69,199.8,199.8,4164677,0.0,1.0
3,2020-09-17,198.64,203.32,196.82,201.65,201.65,2611372,0.0,1.0
4,2020-09-16,203.74,205.78,201.11,201.42,201.42,2994852,0.0,1.0
5,2020-09-15,199.52,202.85,199.52,202.37,202.37,2328163,0.0,1.0
6,2020-09-14,197.23,199.85,195.9,198.84,198.84,1663564,0.0,1.0
7,2020-09-11,194.01,197.33,193.87,195.94,195.94,1912911,0.0,1.0
8,2020-09-10,193.79,194.64,192.04,193.08,193.08,2084678,0.0,1.0
9,2020-09-09,190.19,194.9495,190.13,192.86,192.86,2750744,0.0,1.0
10,2020-09-08,190.65,191.46,188.5,188.66,188.66,2692800,0.0,1.0
11,2020-09-04,191.99,194.12,188.67,191.14,191.14,3624556,0.0,1.0
12,2020-09-03,197.75,197.955,189.3026,190.55,190.55,4180796,0.0,1.0
13,2020-09-02,196.09,197.56,194.415,196.28,196.28,3394473,0.0,1.0
14,2020-09-01,192.24,195.89,191.09,195.8,195.8,1888153,0.0,1.0
15,2020-08-31,195.0,196.19,192.04,192.44,192.44,2061672,0.0,1.0
16,2020-08-28,193.52,195.64,192.85,195.13,195.13,1849554,0.97,1.0
17,2020-08-27,195.08,195.8,194.28,194.44,193.4782,1536106,0.0,1.0
18,2020-08-26,193.75,195.34,192.3101,194.32,193.3588,1513532,0.0,1.0
19,2020-08-25,193.7,195.09,192.78,194.9,193.9359,2062037,0.0,1.0
20,2020-08-24,192.05,193.06,191.1,192.56,191.6075,2045215,0.0,1.0
21,2020-08-21,190.46,191.79,188.76,191.57,190.6224,2059319,0.0,1.0
22,2020-08-20,189.32,190.7501,188.08,189.92,188.9806,2082319,0.0,1.0
23,2020-08-19,191.63,192.1799,190.73,190.95,190.0055,1702050,0.0,1.0
24,2020-08-18,194.0,194.39,190.6,190.7,189.7567,1688553,0.0,1.0
25,2020-08-17,193.0,195.09,192.36,193.87,192.911,2928297,0.0,1.0
26,2020-08-14,189.59,193.63,189.145,191.92,190.9707,2502713,0.0,1.0
27,2020-08-13,190.0,191.68,189.09,189.72,188.7816,2248782,0.0,1.0
28,2020-08-12,191.86,193.5,190.765,191.83,190.8811,2870840,0.0,1.0
29,2020-08-11,189.67,193.89,188.66,190.35,189.4084,4215562,0.0,1.0
30,2020-08-10,183.75,187.2743,183.45,186.85,185.9258,3368586,0.0,1.0
31,2020-08-07,179.68,182.96,179.15,182.93,182.0251,2192502,0.0,1.0
32,2020-08-06,177.73,180.57,177.2,179.61,178.7216,1971414,0.0,1.0
33,2020-08-05,174.47,177.99,174.28,177.47,176.5922,3051316,0.0,1.0
34,2020-08-04,171.88,173.7,171.445,173.68,172.8209,1696644,0.0,1.0
35,2020-08-03,173.86,174.44,171.66,172.06,171.2089,1982798,0.0,1.0
36,2020-07-31,172.41,173.69,167.57,173.35,172.4925,5089596,0.0,1.0
37,2020-07-30,175.87,176.42,172.37,172.8,171.9453,2775547,0.0,1.0
38,2020-07-29,174.44,178.38,174.29,177.98,177.0996,2736755,0.0,1.0
39,2020-07-28,176.36,177.28,174.085,174.41,173.5473,1965764,0.0,1.0
40,2020-07-27,175.57,179.24,175.06,176.82,175.9454,2738207,0.0,1.0
41,2020-07-24,175.64,177.07,174.72,176.12,175.2488,2720326,0.0,1.0
42,2020-07-23,178.77,179.52,172.84,175.0,174.1344,4010599,0.0,1.0
43,2020-07-22,177.34,180.49,177.17,179.38,178.4927,2951347,0.0,1.0
44,2020-07-21,177.83,180.4,177.83,178.66,177.7763,2230700,0.0,1.0
45,2020-07-20,180.27,181.04,176.29,177.39,176.5125,2885700,0.0,1.0
46,2020-07-17,177.84,182.52,176.89,181.25,180.3535,6132900,0.0,1.0
47,2020-07-16,174.22,178.38,173.97,176.87,175.9951,3319700,0.0,1.0
48,2020-07-15,174.77,175.48,173.42,174.39,173.5274,2493000,0.0,1.0
49,2020-07-14,168.26,172.59,168.01,171.89,171.0398,3015300,0.0,1.0
50,2020-07-13,168.23,170.96,166.71,169.17,168.3332,2975900,0.0,1.0
51,2020-07-10,166.0,167.26,164.67,166.39,165.567,2300300,0.0,1.0
52,2020-07-09,169.49,169.49,164.72,165.99,165.1689,2977500,0.0,1.0
53,2020-07-08,169.59,172.28,168.79,169.04,168.2039,3362600,0.0,1.0
54,2020-07-07,170.4,172.2,169.25,169.78,168.9402,2380800,0.0,1.0
55,2020-07-06,171.08,172.36,170.11,172.16,171.3084,2498100,0.0,1.0
56,2020-07-02,169.18,170.69,167.89,169.08,168.2437,2270800,0.0,1.0
57,2020-07-01,169.49,170.73,166.23,166.88,166.0545,2914100,0.0,1.0
58,2020-06-30,164.58,170.21,164.36,169.07,168.2337,4068600,0.0,1.0
59,2020-06-29,163.84,165.94,162.2,165.51,164.6913,2658856,0.0,1.0
60,2020-06-26,167.04,168.14,162.13,162.64,161.8355,8491200,0.0,1.0
61,2020-06-25,165.15,167.24,162.78,167.02,166.1938,3441100,0.0,1.0
62,2020-06-24,167.71,168.95,165.03,165.55,164.7311,3206300,0.0,1.0
63,2020-06-23,170.37,171.26,169.24,169.36,168.5223,2881400,0.0,1.0
64,2020-06-22,167.06,168.85,165.9,168.2,167.368,2647600,0.0,1.0
65,2020-06-19,173.53,173.53,166.8,167.85,167.0197,7119600,0.0,1.0
66,2020-06-18,170.03,171.89,169.72,170.85,170.0049,2714800,0.0,1.0
67,2020-06-17,172.2,173.55,170.67,171.17,170.3233,3449800,0.0,1.0
68,2020-06-16,173.29,174.48,168.36,170.97,170.1243,3554000,0.0,1.0
69,2020-06-15,161.72,169.14,161.41,167.93,167.0993,2948600,0.0,1.0
70,2020-06-12,168.21,168.56,162.46,166.18,165.358,3373000,0.0,1.0
71,2020-06-11,170.0,170.14,163.21,163.29,162.4823,6234700,0.0,1.0
72,2020-06-10,177.85,178.76,174.95,175.43,174.5622,3321200,0.0,1.0
73,2020-06-09,178.06,180.42,177.0,178.16,177.2787,3569700,0.0,1.0
74,2020-06-08,183.96,185.99,179.86,181.66,180.7614,3436600,0.0,1.0
75,2020-06-05,183.11,187.83,182.43,184.83,183.9157,5608600,0.0,1.0
76,2020-06-04,176.38,177.69,175.26,176.43,175.5573,2933300,0.0,1.0
77,2020-06-03,173.64,178.85,173.02,178.05,177.1693,3897900,0.0,1.0
