,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,160.34,162.14,159.5723,161.89,161.89,3048759,0.0,1.0
1,2020-09-21,161.42,162.95,157.38,161.06,161.06,3894369,0.0,1.0
2,2020-09-18,160.14,163.75,159.42,159.66,159.66,7274026,0.0,1.0
3,2020-09-17,157.04,160.2675,156.965,159.75,159.75,3002230,0.0,1.0
4,2020-09-16,166.8,167.36,159.53,159.87,159.87,5737965,0.0,1.0
5,2020-09-15,160.58,161.77,158.37,161.53,161.53,3238544,0.0,1.0
6,2020-09-14,160.9,162.16,159.03,160.14,160.14,3617868,0.0,1.0
7,2020-09-11,158.49,160.61,157.43,158.87,158.87,2466753,0.0,1.0
8,2020-09-10,160.99,161.26,157.08,157.89,157.89,2450935,0.0,1.0
9,2020-09-09,158.05,160.96,158.05,159.8,159.8,2317590,0.0,1.0
10,2020-09-08,160.03,160.06,155.96,156.45,156.45,3176440,0.0,1.0
11,2020-09-04,160.24,161.845,154.63,160.78,160.78,3601254,0.0,1.0
12,2020-09-03,162.27,163.4499,156.95,158.02,158.02,4759929,0.0,1.0
13,2020-09-02,163.25,166.2,162.2,165.78,165.78,3778036,0.0,1.0
14,2020-09-01,163.13,164.14,161.55,162.65,162.65,3097988,0.0,1.0
15,2020-08-31,161.73,165.22,161.26,163.62,163.62,3960911,0.0,1.0
16,2020-08-28,160.52,162.61,159.34,162.36,162.36,2979753,0.0,1.0
17,2020-08-27,159.74,160.97,158.715,160.21,160.21,2913417,0.0,1.0
18,2020-08-26,159.01,159.97,157.86,158.9,158.9,2761697,0.0,1.0
19,2020-08-25,161.56,162.4,158.05,159.04,159.04,2931507,0.0,1.0
20,2020-08-24,159.72,161.06,159.07,160.35,160.35,4083973,0.0,1.0
21,2020-08-21,158.76,160.24,157.52,159.03,159.03,4420781,1.01,1.0
22,2020-08-20,159.16,160.26,157.31,159.55,158.5431,2296675,0.0,1.0
23,2020-08-19,160.55,161.8899,159.86,160.34,159.3281,2691647,0.0,1.0
24,2020-08-18,160.39,161.345,159.05,159.99,158.9803,2606620,0.0,1.0
25,2020-08-17,161.11,162.1399,159.75,160.3,159.2884,2399896,0.0,1.0
26,2020-08-14,158.73,162.43,158.38,160.74,159.7256,3479442,0.0,1.0
27,2020-08-13,156.77,159.72,156.4801,159.29,158.2847,2848426,0.0,1.0
28,2020-08-12,157.25,160.25,156.4,157.79,156.7942,4248347,0.0,1.0
29,2020-08-11,160.66,161.26,154.8784,155.85,154.8664,6071886,0.0,1.0
30,2020-08-10,157.47,162.7,157.0,159.59,158.5828,7396436,0.0,1.0
31,2020-08-07,145.68,156.9,145.59,156.9,155.9098,10074185,0.0,1.0
32,2020-08-06,144.97,145.66,144.435,145.47,144.552,2420884,0.0,1.0
33,2020-08-05,145.35,146.0,143.28,145.08,144.1644,3949624,0.0,1.0
34,2020-08-04,141.63,145.94,141.34,144.72,143.8067,4841713,0.0,1.0
35,2020-08-03,143.47,143.5,140.535,142.18,141.2827,4317457,0.0,1.0
36,2020-07-31,141.82,144.13,139.7,142.76,141.8591,7430530,0.0,1.0
37,2020-07-30,137.66,145.5,135.15,141.46,140.5673,30970862,0.0,1.0
38,2020-07-29,120.58,124.3,120.43,123.68,122.8995,6769558,0.0,1.0
39,2020-07-28,120.22,120.74,119.2305,119.62,118.8651,2497558,0.0,1.0
40,2020-07-27,118.12,121.78,117.54,121.01,120.2463,4446332,0.0,1.0
41,2020-07-24,118.16,119.48,117.56,118.35,117.6031,2539333,0.0,1.0
42,2020-07-23,118.71,119.4,117.9486,118.14,117.3944,2349242,0.0,1.0
43,2020-07-22,118.75,119.25,117.9,118.72,117.9708,3508335,0.0,1.0
44,2020-07-21,119.0,120.3,118.82,119.04,118.2887,2055300,0.0,1.0
45,2020-07-20,118.42,118.72,117.06,118.35,117.6031,2365900,0.0,1.0
46,2020-07-17,120.0,120.68,118.46,118.55,117.8018,2782400,0.0,1.0
47,2020-07-16,118.8,119.85,118.17,119.74,118.9843,2528200,0.0,1.0
48,2020-07-15,116.72,119.71,116.11,119.21,118.4577,4841800,0.0,1.0
49,2020-07-14,113.57,115.65,113.05,115.33,114.6022,2538000,0.0,1.0
50,2020-07-13,115.62,115.76,113.72,113.76,113.0421,2301700,0.0,1.0
51,2020-07-10,114.7,115.66,113.99,115.07,114.3438,2281800,0.0,1.0
52,2020-07-09,114.5,115.04,113.71,114.45,113.7277,2366200,0.0,1.0
53,2020-07-08,114.52,115.27,113.98,114.47,113.7476,3051600,0.0,1.0
54,2020-07-07,114.16,115.45,113.87,114.45,113.7277,2194700,0.0,1.0
55,2020-07-06,115.67,115.79,114.61,115.36,114.632,3445900,0.0,1.0
