,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,36.26,36.4,35.32,35.59,35.59,7138872,0.0,1.0
1,2020-09-21,36.68,37.179,35.62,36.16,36.16,8109093,0.0,1.0
2,2020-09-18,37.55,38.045,37.39,37.62,37.62,7800060,0.0,1.0
3,2020-09-17,37.68,38.15,37.45,37.89,37.89,6422635,0.0,1.0
4,2020-09-16,37.32,38.72,37.17,38.16,38.16,5697366,0.0,1.0
5,2020-09-15,37.89,38.08,37.11,37.32,37.32,7353460,0.0,1.0
6,2020-09-14,37.02,38.24,36.93,37.87,37.87,5797340,0.0,1.0
7,2020-09-11,35.8,36.75,35.65,36.68,36.68,6330342,0.0,1.0
8,2020-09-10,36.74,37.18,35.74,35.78,35.78,7381976,0.0,1.0
9,2020-09-09,37.01,37.08,36.432,36.53,36.53,5718943,0.0,1.0
10,2020-09-08,37.61,37.95,36.43,36.72,36.72,9781708,0.0,1.0
11,2020-09-04,38.32,38.75,37.54,38.31,38.31,8407141,0.0,1.0
12,2020-09-03,37.97,38.94,37.27,37.46,37.46,9892636,0.0,1.0
13,2020-09-02,36.64,37.77,36.51,37.61,37.61,8346377,0.0,1.0
14,2020-09-01,36.16,36.8967,35.95,36.69,36.69,5984403,0.0,1.0
15,2020-08-31,36.97,37.06,36.24,36.4,36.4,6037318,0.0,1.0
16,2020-08-28,37.35,37.35,36.67,37.2,37.2,4666612,0.0,1.0
17,2020-08-27,36.22,37.28,36.19,36.94,36.94,5601040,0.0,1.0
18,2020-08-26,36.47,36.68,36.19,36.22,36.22,4649005,0.0,1.0
19,2020-08-25,37.12,37.405,36.4,36.61,36.61,4890760,0.0,1.0
20,2020-08-24,35.4,36.76,35.325,36.75,36.75,5276270,0.0,1.0
21,2020-08-21,35.6,35.726,35.03,35.21,35.21,5999992,0.0,1.0
22,2020-08-20,35.74,35.94,35.35,35.61,35.61,4373523,0.0,1.0
23,2020-08-19,36.34,36.9,36.04,36.16,36.16,4218660,0.0,1.0
24,2020-08-18,36.9,37.03,36.27,36.33,36.33,4335488,0.0,1.0
25,2020-08-17,37.57,37.62,36.845,36.93,36.93,5518290,0.0,1.0
26,2020-08-14,37.01,37.96,36.86,37.78,37.78,3971953,0.0,1.0
27,2020-08-13,37.45,37.8,37.07,37.37,37.37,4084767,0.0,1.0
28,2020-08-12,39.11,39.16,37.395,37.81,37.81,4865092,0.0,1.0
29,2020-08-11,38.44,39.345,38.06,38.27,38.27,7526971,0.0,1.0
30,2020-08-10,37.73,37.99,37.24,37.47,37.47,7739729,0.0,1.0
31,2020-08-07,36.36,37.47,36.1,37.46,37.46,7818928,0.0,1.0
32,2020-08-06,36.64,37.15,36.54,36.79,36.79,3227174,0.0,1.0
33,2020-08-05,36.5,36.95,36.48,36.86,36.86,4588608,0.0,1.0
34,2020-08-04,36.63,36.75,36.155,36.23,36.23,4098944,0.0,1.0
35,2020-08-03,36.79,37.09,36.37,36.8,36.8,4683668,0.0,1.0
36,2020-07-31,36.65,36.87,36.0826,36.84,36.84,7707372,0.0,1.0
37,2020-07-30,36.66,37.04,36.02,36.91,36.91,6202331,0.0,1.0
38,2020-07-29,36.27,37.83,36.01,37.71,37.71,6527713,0.0,1.0
39,2020-07-28,35.99,36.51,35.92,36.32,36.32,7658925,0.0,1.0
40,2020-07-27,36.6,36.62,35.59,36.16,36.16,6452291,0.0,1.0
41,2020-07-24,36.91,37.4799,36.78,36.92,36.92,7385792,0.0,1.0
42,2020-07-23,36.09,36.905,36.0,36.77,36.77,5988336,0.0,1.0
43,2020-07-22,36.41,36.78,36.02,36.26,36.26,6305860,0.0,1.0
44,2020-07-21,35.82,36.97,35.77,36.6,36.6,9232076,0.0,1.0
45,2020-07-20,35.84,36.13,35.49,35.57,35.57,7232637,0.0,1.0
46,2020-07-17,37.52,37.57,36.01,36.03,36.03,9154500,0.0,1.0
47,2020-07-16,37.17,38.47,37.02,37.56,37.56,6105600,0.0,1.0
48,2020-07-15,38.17,38.36,37.11,37.64,37.64,7798200,0.0,1.0
49,2020-07-14,36.54,37.08,35.74,36.29,36.29,7960000,0.0,1.0
50,2020-07-13,36.75,37.27,35.85,36.83,36.83,6707900,0.0,1.0
51,2020-07-10,34.42,36.49,34.25,36.44,36.44,8973400,0.0,1.0
52,2020-07-09,35.31,35.53,34.01,34.22,34.22,6103400,0.0,1.0
53,2020-07-08,35.53,35.93,34.89,35.51,35.51,5969300,0.0,1.0
54,2020-07-07,36.33,36.36,35.47,35.58,35.58,6683800,0.0,1.0
55,2020-07-06,36.73,37.65,36.4,36.83,36.83,6069300,0.0,1.0
56,2020-07-02,36.99,37.22,35.78,35.89,35.89,5765300,0.0,1.0
57,2020-07-01,36.92,37.13,35.8,35.98,35.98,6903400,0.0,1.0
58,2020-06-30,35.92,37.11,35.8,36.82,36.82,7709300,0.0,1.0
59,2020-06-29,36.23,36.83,35.87,36.35,36.35,5351500,0.42,1.0
60,2020-06-26,37.01,37.25,35.95,36.06,35.6481,13958500,0.0,1.0
61,2020-06-25,36.71,38.17,36.56,38.05,37.6154,6021300,0.0,1.0
62,2020-06-24,38.08,38.14,36.66,36.87,36.4489,7349300,0.0,1.0
63,2020-06-23,38.9,39.45,38.34,38.6,38.1591,6545800,0.0,1.0
64,2020-06-22,38.46,38.71,37.89,38.22,37.7834,8320500,0.0,1.0
65,2020-06-19,39.36,39.36,37.9,38.87,38.426,42484600,0.0,1.0
66,2020-06-18,38.05,39.29,37.89,38.57,38.1294,5387500,0.0,1.0
67,2020-06-17,39.4,39.62,38.45,38.51,38.0701,7153000,0.0,1.0
68,2020-06-16,40.42,40.5,38.38,39.34,38.8906,9407700,0.0,1.0
69,2020-06-15,35.83,39.02,35.66,38.78,38.337,11284100,0.0,1.0
70,2020-06-12,38.16,38.27,36.59,37.51,37.0815,9327600,0.0,1.0
71,2020-06-11,36.65,37.69,36.06,36.14,35.7272,16092400,0.0,1.0
72,2020-06-10,41.55,41.76,39.18,39.32,38.8709,11587500,0.0,1.0
73,2020-06-09,41.88,42.55,41.34,42.1,41.6191,7569400,0.0,1.0
74,2020-06-08,42.95,43.94,42.42,43.51,43.013,10445100,0.0,1.0
75,2020-06-05,43.5,44.26,41.74,42.37,41.886,12586300,0.0,1.0
76,2020-06-04,38.68,40.09,38.05,40.07,39.6123,9141600,0.0,1.0
77,2020-06-03,37.65,38.87,37.53,38.68,38.2382,9654700,0.0,1.0
78,2020-06-02,37.3,37.52,36.34,36.62,36.2017,6595600,0.0,1.0
79,2020-06-01,35.79,37.05,35.61,36.69,36.2709,6594300,0.0,1.0
80,2020-05-29,35.86,36.49,35.42,35.56,35.1538,18241700,0.0,1.0
81,2020-05-28,38.09,38.16,36.39,36.51,36.093,9029800,0.0,1.0
82,2020-05-27,37.99,38.65,36.7,37.62,37.1903,9936900,0.0,1.0
83,2020-05-26,34.49,36.28,34.42,35.83,35.4207,11155500,0.0,1.0
84,2020-05-22,32.9,33.01,32.21,32.93,32.5539,5534000,0.0,1.0
85,2020-05-21,32.85,33.35,32.73,32.92,32.544,5888300,0.0,1.0
86,2020-05-20,32.6,33.26,32.57,33.06,32.6824,10120500,0.0,1.0
87,2020-05-19,32.57,32.85,31.81,31.99,31.6246,7529300,0.0,1.0
88,2020-05-18,32.12,33.17,31.84,32.96,32.5835,9197800,0.0,1.0
89,2020-05-15,30.79,31.13,30.12,30.68,30.3296,12087500,0.0,1.0
90,2020-05-14,28.86,31.27,28.36,31.17,30.814,14769100,0.0,1.0
91,2020-05-13,31.4,31.47,29.05,29.45,29.1136,15292200,0.0,1.0
92,2020-05-12,33.53,33.53,31.61,31.65,31.2885,11625500,0.0,1.0
93,2020-05-11,34.06,34.16,33.03,33.35,32.9691,7153900,0.0,1.0
94,2020-05-08,35.0,35.42,34.41,34.75,34.3531,5617700,0.0,1.0
