,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,172.51,172.71,172.24,172.5,172.5,853686,0.0,1.0
1,2020-09-21,172.69,172.99,172.01,172.74,172.74,1464944,0.0,1.0
2,2020-09-18,173.2,173.63,172.62,172.86,172.86,2341882,0.0,1.0
3,2020-09-17,173.02,173.54,172.71,173.5,173.5,1612489,0.0,1.0
4,2020-09-16,173.4,173.54,173.25,173.28,173.28,1329428,0.0,1.0
5,2020-09-15,173.35,173.57,173.17,173.17,173.17,1156096,0.0,1.0
6,2020-09-14,173.48,173.65,173.15,173.15,173.15,1228698,0.0,1.0
7,2020-09-11,173.07,173.54,173.04,173.33,173.33,1157255,0.0,1.0
8,2020-09-10,173.34,173.6,172.89,172.96,172.96,1567008,0.0,1.0
9,2020-09-09,173.57,173.63,173.09,173.2,173.2,1376897,0.0,1.0
10,2020-09-08,173.95,174.18,173.28,173.31,173.31,2419642,0.0,1.0
11,2020-09-04,174.51,174.63,173.5001,173.85,173.85,2070636,0.0,1.0
12,2020-09-03,174.5,174.9,173.89,174.38,174.38,1964715,0.0,1.0
13,2020-09-02,173.69,174.97,173.6,174.66,174.66,1240226,0.0,1.0
14,2020-09-01,173.25,173.85,173.25,173.8,173.8,1294906,0.0,1.0
15,2020-08-31,173.11,173.99,173.0,173.67,173.67,1850567,0.0,1.0
16,2020-08-28,172.4,172.83,172.1659,172.75,172.75,1040060,0.0,1.0
17,2020-08-27,172.25,172.48,172.04,172.15,172.15,1731405,0.0,1.0
18,2020-08-26,172.4,172.6,172.25,172.25,172.25,2144126,0.0,1.0
19,2020-08-25,172.82,172.9,172.5,172.59,172.59,1181365,0.0,1.0
20,2020-08-24,172.75,173.0,172.63,172.74,172.74,918962,0.0,1.0
21,2020-08-21,172.96,173.04,172.45,172.5,172.5,1787983,0.0,1.0
22,2020-08-20,172.85,173.11,172.75,172.75,172.75,1773535,0.0,1.0
23,2020-08-19,173.02,173.32,172.6,172.97,172.97,1150890,0.0,1.0
