,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,69.01,69.99,68.15,69.28,69.28,2023047,0.0,1.0
1,2020-09-21,70.85,71.12,68.23,68.69,68.69,2207051,0.0,1.0
2,2020-09-18,73.81,74.57,71.97,72.13,72.13,5273734,0.0,1.0
3,2020-09-17,75.61,76.81,74.08,74.59,74.59,2672595,0.0,1.0
4,2020-09-16,75.0,77.3,74.58,76.44,76.44,2769206,0.0,1.0
5,2020-09-15,75.61,76.24,73.63,74.79,74.79,3607199,0.0,1.0
6,2020-09-14,70.94,73.58,70.35,73.21,73.21,2422418,0.0,1.0
7,2020-09-11,69.18,70.705,67.89,70.03,70.03,2377706,0.0,1.0
8,2020-09-10,68.65,69.6696,67.87,68.39,68.39,2004350,0.0,1.0
9,2020-09-09,67.76,69.21,66.71,68.0,68.0,2503361,0.48,1.0
10,2020-09-08,67.45,69.48,67.19,68.38,67.9007,2446537,0.0,1.0
11,2020-09-04,69.35,69.81,67.69,68.22,67.7418,1988545,0.0,1.0
12,2020-09-03,68.73,70.5615,68.17,68.54,68.0596,3054290,0.0,1.0
13,2020-09-02,67.31,68.66,66.65,68.41,67.9305,2013188,0.0,1.0
14,2020-09-01,65.25,66.93,65.05,66.56,66.0935,1799480,0.0,1.0
15,2020-08-31,67.88,67.95,65.13,65.75,65.2891,2527115,0.0,1.0
16,2020-08-28,66.84,68.21,65.78,67.94,67.4638,3013403,0.0,1.0
17,2020-08-27,64.63,67.01,64.54,66.62,66.153,2785173,0.0,1.0
18,2020-08-26,64.18,64.87,63.62,64.06,63.611,1822235,0.0,1.0
19,2020-08-25,66.5,66.5,64.34,64.44,63.9883,1905464,0.0,1.0
20,2020-08-24,61.84,66.03,61.84,65.98,65.5175,2334435,0.0,1.0
21,2020-08-21,60.99,61.78,60.56,61.66,61.2278,1547751,0.0,1.0
22,2020-08-20,60.71,61.4,60.48,61.0,60.5724,1444250,0.0,1.0
23,2020-08-19,62.04,62.83,61.16,61.4,60.9696,1483953,0.0,1.0
24,2020-08-18,62.85,62.97,61.28,62.04,61.6051,2311805,0.0,1.0
25,2020-08-17,64.05,64.145,62.594,63.12,62.6776,1203043,0.0,1.0
26,2020-08-14,63.39,64.76,62.88,64.24,63.7897,1533969,0.0,1.0
27,2020-08-13,63.25,64.25,62.94,63.83,63.3826,1031319,0.0,1.0
28,2020-08-12,65.31,65.3285,62.83,63.72,63.2734,1233251,0.0,1.0
29,2020-08-11,65.39,66.58,64.24,64.46,64.0082,2263167,0.0,1.0
30,2020-08-10,61.3,64.525,61.3,64.01,63.5613,2048543,0.0,1.0
31,2020-08-07,59.85,61.295,58.915,61.28,60.8505,1674399,0.0,1.0
32,2020-08-06,60.99,61.5,59.9,59.98,59.5596,2456939,0.0,1.0
33,2020-08-05,59.81,62.17,59.78,61.94,61.5058,1863180,0.0,1.0
34,2020-08-04,59.36,59.995,58.95,59.48,59.0631,2117780,0.0,1.0
35,2020-08-03,60.33,60.33,57.59,59.81,59.3908,2450825,0.0,1.0
