,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,128.18,129.42,124.58,126.67,126.67,732439,0.0,1.0
1,2020-09-18,132.87,134.7,131.33,131.39,131.39,980409,0.0,1.0
2,2020-09-17,131.81,134.24,129.91,133.75,133.75,752342,0.0,1.0
3,2020-09-16,132.25,134.58,129.77,133.29,133.29,1135062,0.0,1.0
4,2020-09-15,130.91,134.14,130.69,131.42,131.42,830141,0.0,1.0
5,2020-09-14,126.5,130.8,126.36,130.34,130.34,740343,0.0,1.0
6,2020-09-11,123.46,129.41,123.01,125.98,125.98,995676,0.0,1.0
7,2020-09-10,122.26,124.76,121.68,123.33,123.33,593057,0.0,1.0
8,2020-09-09,122.03,122.91,119.68,121.66,121.66,846253,0.0,1.0
9,2020-09-08,124.66,124.66,121.76,122.37,122.37,1121203,0.0,1.0
10,2020-09-04,124.99,126.24,123.46,125.0,125.0,855674,0.0,1.0
11,2020-09-03,125.78,127.2,122.45,123.93,123.93,765964,0.0,1.0
12,2020-09-02,122.01,126.0045,120.37,125.4,125.4,892310,0.0,1.0
13,2020-09-01,119.54,122.27,119.28,122.22,122.22,957348,0.0,1.0
14,2020-08-31,122.87,122.94,119.95,120.0,120.0,915127,0.0,1.0
15,2020-08-28,124.42,124.46,121.45,122.89,122.89,655791,0.0,1.0
16,2020-08-27,123.85,125.625,123.7634,124.06,124.06,890445,0.0,1.0
17,2020-08-26,123.3,123.79,121.485,122.89,122.89,1157433,0.0,1.0
18,2020-08-25,125.25,125.62,122.52,124.51,124.51,1344600,0.0,1.0
19,2020-08-24,126.52,126.785,124.03,124.67,124.67,856566,0.0,1.0
20,2020-08-21,125.63,126.4,124.81,125.83,125.83,560019,0.0,1.0
21,2020-08-20,126.01,126.69,125.33,126.11,126.11,389214,0.0,1.0
22,2020-08-19,128.54,129.2279,126.7075,127.03,127.03,526199,0.0,1.0
23,2020-08-18,130.32,130.83,128.24,128.64,128.64,452312,0.34,1.0
24,2020-08-17,129.75,131.09,129.48,130.03,129.6872,585606,0.0,1.0
25,2020-08-14,129.02,130.89,128.55,129.74,129.398,313543,0.0,1.0
26,2020-08-13,130.5,131.81,128.98,129.64,129.2983,484409,0.0,1.0
27,2020-08-12,133.57,134.28,130.74,131.89,131.5423,908384,0.0,1.0
28,2020-08-11,133.53,136.14,132.7,133.24,132.8888,760493,0.0,1.0
29,2020-08-10,131.1,132.65,130.465,132.06,131.7119,1028352,0.0,1.0
30,2020-08-07,126.39,130.69,125.84,130.08,129.7371,1163558,0.0,1.0
31,2020-08-06,125.08,127.42,125.0,126.4,126.0668,1059535,0.0,1.0
32,2020-08-05,125.22,128.55,123.02,126.54,126.2064,1445693,0.0,1.0
33,2020-08-04,118.09,124.92,118.09,124.33,124.0023,2278140,0.0,1.0
34,2020-08-03,118.0,119.14,115.62,117.53,117.2202,1254454,0.0,1.0
35,2020-07-31,119.53,119.97,114.835,117.42,117.1105,1499953,0.0,1.0
36,2020-07-30,119.69,121.0,118.585,119.68,119.3645,702418,0.0,1.0
37,2020-07-29,121.07,122.08,119.97,121.08,120.7608,870319,0.0,1.0
38,2020-07-28,127.58,127.61,120.27,120.5,120.1824,1748548,0.0,1.0
39,2020-07-27,126.46,128.29,125.8337,128.13,127.7922,836430,0.0,1.0
40,2020-07-24,127.07,127.71,125.63,127.28,126.9445,926362,0.0,1.0
41,2020-07-23,127.1,128.36,126.25,127.13,126.7949,576341,0.0,1.0
42,2020-07-22,127.79,128.88,126.6237,127.15,126.8148,565373,0.0,1.0
43,2020-07-21,125.5,128.21,125.43,126.96,126.6253,525700,0.0,1.0
44,2020-07-20,124.37,125.4,123.29,125.11,124.7802,571600,0.0,1.0
45,2020-07-17,125.02,126.16,124.05,124.95,124.6206,518900,0.0,1.0
46,2020-07-16,122.82,124.4,122.53,124.23,123.9025,577100,0.0,1.0
47,2020-07-15,122.61,125.35,122.61,123.53,123.2044,879400,0.0,1.0
48,2020-07-14,119.25,121.14,118.28,120.83,120.5115,612300,0.0,1.0
49,2020-07-13,120.0,122.14,118.45,119.16,118.8459,705000,0.0,1.0
50,2020-07-10,117.0,119.44,116.78,118.79,118.4769,657400,0.0,1.0
51,2020-07-09,118.85,119.49,114.44,117.1,116.7913,1243200,0.0,1.0
52,2020-07-08,122.28,123.63,118.87,119.12,118.806,1087100,0.0,1.0
53,2020-07-07,122.29,123.07,122.04,122.67,122.3466,1716200,0.0,1.0
54,2020-07-06,123.0,123.89,122.25,123.73,123.4038,1268400,0.0,1.0
55,2020-07-02,118.58,121.28,117.59,120.82,120.5015,1674100,0.0,1.0
56,2020-07-01,116.36,117.36,114.33,115.96,115.6543,1119000,0.0,1.0
57,2020-06-30,115.92,116.42,113.91,115.85,115.5446,1200300,0.0,1.0
58,2020-06-29,114.77,116.735,114.205,116.02,115.7142,1169548,0.0,1.0
59,2020-06-26,115.98,116.64,111.51,112.8,112.5027,3678100,0.0,1.0
60,2020-06-25,116.96,117.47,114.91,116.91,116.6018,1507100,0.0,1.0
61,2020-06-24,117.88,119.66,116.64,118.06,117.7488,1299300,0.0,1.0
62,2020-06-23,121.45,121.71,118.78,119.64,119.3246,818200,0.0,1.0
63,2020-06-22,118.76,119.94,117.74,119.71,119.3944,719200,0.0,1.0
64,2020-06-19,123.5,123.5,119.8,120.05,119.7335,1212900,0.0,1.0
65,2020-06-18,117.97,122.99,117.63,121.03,120.711,969500,0.0,1.0
66,2020-06-17,123.0,123.62,118.36,118.99,118.6763,1014500,0.0,1.0
67,2020-06-16,125.28,128.24,120.53,123.15,122.8254,3247700,0.0,1.0
68,2020-06-15,108.43,113.66,107.0,113.23,112.9315,801200,0.0,1.0
69,2020-06-12,113.4,115.8,110.17,112.09,111.7945,1026900,0.0,1.0
70,2020-06-11,111.81,114.44,108.89,109.09,108.8024,1936700,0.0,1.0
71,2020-06-10,116.58,117.83,114.49,116.07,115.764,710900,0.0,1.0
72,2020-06-09,121.5,122.72,117.62,118.03,117.7189,1190600,0.0,1.0
73,2020-06-08,125.04,127.01,122.61,124.06,123.733,1021700,0.0,1.0
74,2020-06-05,125.27,128.79,123.23,124.13,123.8028,1135100,0.0,1.0
75,2020-06-04,117.56,122.6,117.53,120.64,120.322,1461400,0.0,1.0
76,2020-06-03,112.14,119.42,111.8,118.33,118.0181,2469900,0.0,1.0
