,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,59.73,60.37,59.515,59.82,59.82,12178384,0.0,1.0
1,2020-09-21,60.0,60.08,59.02,59.61,59.61,15871367,0.0,1.0
2,2020-09-18,60.18,60.94,60.1519,60.35,60.35,22584518,0.0,1.0
3,2020-09-17,60.6,60.99,60.1,60.59,60.59,14996157,0.0,1.0
4,2020-09-16,60.53,60.93,60.315,60.37,60.37,12700861,0.0,1.0
5,2020-09-15,60.11,61.1,60.1,60.6,60.6,9444313,0.0,1.0
6,2020-09-14,60.02,60.78,60.0,60.32,60.32,11932525,0.0,1.0
7,2020-09-11,59.58,59.96,59.3601,59.79,59.79,13924836,0.0,1.0
8,2020-09-10,60.23,60.25,59.41,59.53,59.53,15811194,0.0,1.0
9,2020-09-09,60.12,60.7476,59.97,60.04,60.04,15896198,0.0,1.0
10,2020-09-08,60.8,60.8,59.62,59.96,59.96,18469724,0.0,1.0
11,2020-09-04,60.48,61.5,60.06,60.48,60.48,22250107,0.0,1.0
12,2020-09-03,60.83,61.28,60.14,60.61,60.61,23126843,0.0,1.0
13,2020-09-02,59.15,60.74,59.0,60.53,60.53,21711851,0.0,1.0
14,2020-09-01,59.12,59.295,58.78,59.16,59.16,13359389,0.0,1.0
15,2020-08-31,59.04,59.44,59.02,59.27,59.27,14555477,0.0,1.0
16,2020-08-28,59.41,59.41,58.82,59.26,59.26,11873883,0.0,1.0
17,2020-08-27,59.6,59.79,59.41,59.43,59.43,11405256,0.0,1.0
18,2020-08-26,59.3,59.5,58.9,59.46,59.46,15096368,0.0,1.0
19,2020-08-25,59.7,59.75,59.18,59.42,59.42,11316837,0.0,1.0
20,2020-08-24,59.1,59.61,59.0,59.57,59.57,10931471,0.0,1.0
21,2020-08-21,59.0,59.04,58.535,58.99,58.99,11059276,0.0,1.0
22,2020-08-20,58.6,59.09,58.59,58.96,58.96,8061476,0.0,1.0
23,2020-08-19,59.36,59.44,58.93,59.05,59.05,10816317,0.0,1.0
24,2020-08-18,58.86,59.47,58.78,59.18,59.18,10130832,0.0,1.0
25,2020-08-17,58.73,58.93,58.545,58.78,58.78,8313684,0.0,1.0
26,2020-08-14,58.48,58.94,58.25,58.79,58.79,8715886,0.0,1.0
27,2020-08-13,58.3,58.6,58.19,58.52,58.52,7428615,0.0,1.0
28,2020-08-12,58.6,58.97,58.52,58.6,58.6,10804024,0.0,1.0
29,2020-08-11,59.3,59.6083,58.25,58.51,58.51,12833071,0.0,1.0
30,2020-08-10,58.65,59.15,58.465,58.99,58.99,12114527,0.0,1.0
31,2020-08-07,57.82,58.55,57.65,58.53,58.53,12783922,0.0,1.0
32,2020-08-06,57.5,57.945,57.45,57.83,57.83,10369912,0.0,1.0
33,2020-08-05,58.16,58.19,57.405,57.54,57.54,9811687,0.0,1.0
34,2020-08-04,57.2,58.14,57.18,57.91,57.91,11600950,0.0,1.0
35,2020-08-03,57.87,57.87,57.12,57.24,57.24,13494539,0.0,1.0
36,2020-07-31,56.85,57.5,56.65,57.48,57.48,16195136,0.0,1.0
37,2020-07-30,57.21,57.46,57.14,57.3,57.3,12635807,0.0,1.0
38,2020-07-29,57.37,57.686,57.16,57.45,57.45,9341803,0.0,1.0
39,2020-07-28,57.05,57.7,56.97,57.48,57.48,13454716,0.0,1.0
40,2020-07-27,57.0,57.33,56.51,56.87,56.87,12306672,0.0,1.0
41,2020-07-24,56.35,57.57,56.14,56.85,56.85,17981683,0.0,1.0
42,2020-07-23,55.81,56.09,55.4,55.85,55.85,16718749,0.0,1.0
43,2020-07-22,55.84,55.945,55.37,55.75,55.75,11223546,0.0,1.0
44,2020-07-21,55.84,56.5,55.8,55.84,55.84,12619921,0.0,1.0
45,2020-07-20,56.28,56.28,55.66,55.87,55.87,10568767,0.0,1.0
46,2020-07-17,56.0,56.6,55.89,56.3,56.3,13506100,0.0,1.0
47,2020-07-16,54.87,55.83,54.76,55.78,55.78,13471800,0.0,1.0
48,2020-07-15,55.61,55.72,55.02,55.06,55.06,13898500,0.0,1.0
49,2020-07-14,54.43,55.65,54.27,55.44,55.44,15677800,0.0,1.0
50,2020-07-13,54.75,54.77,54.14,54.45,54.45,15280500,0.0,1.0
51,2020-07-10,53.84,54.58,53.84,54.49,54.49,15650800,0.0,1.0
52,2020-07-09,54.65,54.65,53.75,53.94,53.94,17614900,0.615,1.0
53,2020-07-08,55.11,55.44,54.82,55.38,54.7557,15312900,0.0,1.0
54,2020-07-07,54.92,55.33,54.8,55.04,54.4195,13313600,0.0,1.0
55,2020-07-06,55.35,55.43,54.91,55.24,54.6173,11225700,0.0,1.0
56,2020-07-02,55.05,55.41,54.74,54.79,54.1724,15807300,0.0,1.0
57,2020-07-01,55.09,55.33,54.58,54.67,54.0537,12841200,0.0,1.0
58,2020-06-30,54.92,55.29,54.36,55.13,54.5085,17413000,0.0,1.0
59,2020-06-29,53.31,54.71,53.31,54.69,54.0735,15920800,0.0,1.0
60,2020-06-26,54.04,54.06,52.85,53.16,52.5607,30204000,0.0,1.0
61,2020-06-25,53.91,54.39,53.34,54.28,53.6681,17118400,0.0,1.0
62,2020-06-24,54.54,54.56,53.46,53.93,53.322,24787000,0.0,1.0
63,2020-06-23,55.75,55.85,54.91,54.94,54.3207,20709000,0.0,1.0
64,2020-06-22,55.91,56.26,55.61,55.66,55.0325,12320700,0.0,1.0
65,2020-06-19,57.35,57.47,56.0,56.16,55.5269,28868200,0.0,1.0
66,2020-06-18,56.5,56.96,56.37,56.89,56.2487,9012400,0.0,1.0
67,2020-06-17,57.14,57.17,56.51,56.65,56.0114,10649800,0.0,1.0
68,2020-06-16,56.83,57.32,56.24,56.92,56.2783,15020700,0.0,1.0
69,2020-06-15,55.73,56.54,55.28,56.15,55.517,14826600,0.0,1.0
70,2020-06-12,56.63,56.81,55.79,56.53,55.8927,17128900,0.0,1.0
71,2020-06-11,57.48,57.94,56.4,56.45,55.8136,23404700,0.0,1.0
72,2020-06-10,57.9,58.23,57.7,58.05,57.3956,13615700,0.0,1.0
73,2020-06-09,57.75,58.13,57.37,57.86,57.2077,14526900,0.0,1.0
74,2020-06-08,57.65,58.2,57.27,58.09,57.4351,14953800,0.0,1.0
75,2020-06-05,57.75,58.12,57.08,57.74,57.0891,17102300,0.0,1.0
76,2020-06-04,56.74,57.37,56.51,57.22,56.575,16144400,0.0,1.0
77,2020-06-03,56.52,56.98,56.3,56.83,56.1894,16082600,0.0,1.0
78,2020-06-02,55.82,56.46,55.54,56.4,55.7642,17293400,0.0,1.0
79,2020-06-01,56.7,56.9,55.75,55.78,55.1512,18155800,0.0,1.0
80,2020-05-29,55.33,57.79,54.89,57.38,56.7332,34226200,0.0,1.0
81,2020-05-28,55.58,55.79,55.16,55.72,55.0919,15427200,0.0,1.0
82,2020-05-27,54.61,55.22,54.43,55.14,54.5184,17062400,0.0,1.0
83,2020-05-26,54.9,55.25,54.18,54.3,53.6879,20824000,0.0,1.0
84,2020-05-22,53.96,54.29,53.67,54.1,53.4901,19954800,0.0,1.0
85,2020-05-21,54.43,54.64,53.86,53.97,53.3616,18192700,0.0,1.0
86,2020-05-20,54.54,54.9,54.05,54.26,53.6483,21348600,0.0,1.0
87,2020-05-19,55.43,55.55,54.32,54.38,53.767,18459300,0.0,1.0
88,2020-05-18,55.65,56.2,55.04,55.72,55.0919,15735600,0.0,1.0
89,2020-05-15,54.63,54.76,54.21,54.71,54.0933,10172500,0.0,1.0
90,2020-05-14,54.5,54.93,53.85,54.91,54.291,15852200,0.0,1.0
91,2020-05-13,55.16,55.55,54.56,54.85,54.2317,20601300,0.0,1.0
92,2020-05-12,56.75,56.75,55.45,55.46,54.8348,13112800,0.0,1.0
93,2020-05-11,56.87,56.91,56.24,56.4,55.7642,12635700,0.0,1.0
94,2020-05-08,56.22,57.03,56.03,57.0,56.3574,11097900,0.0,1.0
95,2020-05-07,56.1,56.15,55.18,55.58,54.9534,14082900,0.0,1.0
96,2020-05-06,56.36,56.66,55.54,55.64,55.0128,12455000,0.0,1.0
97,2020-05-05,56.0,56.94,56.0,56.51,55.873,10901000,0.0,1.0
98,2020-05-04,56.85,57.03,55.8,56.24,55.606,11827900,0.0,1.0
99,2020-05-01,57.76,57.79,56.53,56.83,56.1894,13855000,0.0,1.0
100,2020-04-30,57.83,57.96,57.21,57.45,56.8024,17527200,0.0,1.0
101,2020-04-29,58.38,58.6,57.7,58.12,57.4648,17813900,0.0,1.0
102,2020-04-28,57.82,58.38,57.62,57.83,57.1781,13390300,0.0,1.0
103,2020-04-27,57.93,58.29,57.2,57.81,57.1583,16048500,0.0,1.0
104,2020-04-24,57.64,57.99,56.83,57.93,57.277,15371000,0.0,1.0
105,2020-04-23,58.12,58.66,57.47,57.59,56.9408,15679000,0.0,1.0
106,2020-04-22,57.41,58.57,57.23,57.99,57.3363,12699900,0.0,1.0
107,2020-04-21,57.39,58.04,56.72,56.82,56.1795,14227300,0.0,1.0
108,2020-04-20,58.1,58.91,57.96,58.13,57.4747,14000500,0.0,1.0
109,2020-04-17,58.06,58.68,57.74,58.46,57.801,15047600,0.0,1.0
110,2020-04-16,57.29,58.0,56.85,57.66,57.01,17787600,0.0,1.0
111,2020-04-15,57.56,58.01,56.71,56.93,56.2882,18368200,0.0,1.0
112,2020-04-14,57.31,58.4,56.96,58.14,57.4846,16761700,0.0,1.0
113,2020-04-13,57.39,57.6,56.36,56.67,56.0312,12972600,0.0,1.0
114,2020-04-09,56.91,58.1,56.88,57.44,56.7925,19687500,0.615,1.0
115,2020-04-08,57.26,58.02,56.62,57.8,56.543,18223500,0.0,1.0
116,2020-04-07,57.04,57.88,56.41,56.98,55.7409,21779300,0.0,1.0
117,2020-04-06,55.77,56.94,54.98,56.7,55.4669,20272600,0.0,1.0
118,2020-04-03,55.0,55.24,54.28,54.7,53.5104,17601400,0.0,1.0
119,2020-04-02,53.56,55.5,53.09,55.25,54.0485,20186800,0.0,1.0
120,2020-04-01,52.5,53.45,52.16,52.92,51.7691,18668400,0.0,1.0
121,2020-03-31,54.07,54.54,53.55,53.73,52.5615,21238800,0.0,1.0
122,2020-03-30,53.49,55.03,52.94,54.77,53.5789,20653300,0.0,1.0
123,2020-03-27,52.15,53.84,51.54,52.77,51.6224,25360300,0.0,1.0
124,2020-03-26,49.59,53.9,49.51,53.54,52.3757,32608100,0.0,1.0
125,2020-03-25,49.36,51.91,48.84,49.94,48.854,38538000,0.0,1.0
126,2020-03-24,51.96,51.96,49.18,49.99,48.9029,40583900,0.0,1.0
127,2020-03-23,50.61,53.27,49.13,50.31,49.2159,39190700,0.0,1.0
128,2020-03-20,52.72,53.04,50.71,51.8,50.6735,46009800,0.0,1.0
129,2020-03-19,53.76,54.92,52.78,53.62,52.4539,32927700,0.0,1.0
130,2020-03-18,53.99,55.93,50.88,54.32,53.1387,38394300,0.0,1.0
131,2020-03-17,51.5,55.48,51.49,54.31,53.1289,33883100,0.0,1.0
132,2020-03-16,50.9,53.2,49.02,50.99,49.8811,36970200,0.0,1.0
133,2020-03-13,53.0,54.37,51.45,54.17,52.992,45727200,0.0,1.0
134,2020-03-12,51.95,54.0,50.75,51.2,50.0866,45286400,0.0,1.0
135,2020-03-11,55.36,55.53,54.19,54.83,53.6376,21136200,0.0,1.0
136,2020-03-10,56.07,56.89,53.92,56.52,55.2909,34323700,0.0,1.0
137,2020-03-09,54.37,57.58,54.01,55.83,54.6159,31849600,0.0,1.0
138,2020-03-06,55.29,57.21,55.1,56.87,55.6332,22509500,0.0,1.0
139,2020-03-05,56.87,57.52,56.49,57.16,55.9169,21247700,0.0,1.0
140,2020-03-04,56.61,58.25,56.11,58.12,56.8561,17624000,0.0,1.0
141,2020-03-03,57.21,58.05,55.22,55.7,54.4887,27490200,0.0,1.0
142,2020-03-02,55.16,57.54,54.88,57.32,56.0735,30724300,0.0,1.0
143,2020-02-28,53.74,54.18,52.18,54.16,52.9822,45827500,0.0,1.0
144,2020-02-27,56.78,57.38,55.03,55.06,53.8626,25895000,0.0,1.0
145,2020-02-26,57.38,57.87,56.9,57.14,55.8974,16802400,0.0,1.0
146,2020-02-25,58.04,58.4,56.86,57.12,55.8778,19377200,0.0,1.0
147,2020-02-24,58.17,58.69,57.98,57.99,56.7289,18518800,0.0,1.0
148,2020-02-21,57.91,58.25,57.8,58.2,56.9343,15702900,0.0,1.0
149,2020-02-20,58.09,58.36,57.94,58.09,56.8267,16747600,0.0,1.0
150,2020-02-19,58.13,58.58,57.76,58.22,56.9539,13640700,0.0,1.0
151,2020-02-18,58.76,58.76,57.81,57.91,56.6506,12427300,0.0,1.0
152,2020-02-14,58.7,58.81,58.28,58.51,57.2376,9137700,0.0,1.0
153,2020-02-13,58.37,58.83,57.95,58.65,57.3745,19458300,0.0,1.0
154,2020-02-12,58.58,58.86,58.12,58.23,56.9637,20927700,0.0,1.0
155,2020-02-11,60.19,60.35,58.26,58.69,57.4137,22482700,0.0,1.0
156,2020-02-10,59.93,60.24,59.77,60.24,58.93,8218500,0.0,1.0
