,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,35.78,35.97,35.39,35.72,35.72,4393952,0.0,1.0
1,2020-09-21,36.75,36.87,35.59,35.79,35.79,7484713,0.0,1.0
2,2020-09-18,37.21,37.25,36.44,36.93,36.93,12824105,0.0,1.0
3,2020-09-17,35.71,37.28,35.51,37.21,37.21,7251331,0.0,1.0
4,2020-09-16,35.39,36.89,35.2165,36.28,36.28,8224335,0.0,1.0
5,2020-09-15,35.2,35.7,34.87,35.27,35.27,8488407,0.0,1.0
6,2020-09-14,34.85,35.17,34.595,35.11,35.11,5742070,0.0,1.0
7,2020-09-11,34.71,35.25,33.88,34.7,34.7,9634509,0.0,1.0
8,2020-09-10,35.7,35.7,34.505,34.67,34.67,7892708,0.0,1.0
9,2020-09-09,36.09,36.27,35.23,35.35,35.35,9506332,0.0,1.0
10,2020-09-08,36.8974,37.22,36.03,36.1,36.1,8261242,0.0,1.0
11,2020-09-04,37.12,37.54,36.55,36.89,36.89,6994406,0.0,1.0
12,2020-09-03,37.27,38.33,36.74,37.09,37.09,8278005,0.0,1.0
13,2020-09-02,36.9,37.57,36.68,37.17,37.17,7672365,0.0,1.0
14,2020-09-01,37.89,37.96,36.5,36.76,36.76,10735745,0.0,1.0
15,2020-08-31,38.61,38.7121,38.0,38.02,38.02,7940058,0.0,1.0
16,2020-08-28,39.36,39.4,38.63,38.76,38.76,6035619,0.0,1.0
17,2020-08-27,38.65,39.45,38.46,39.34,39.34,6072537,0.0,1.0
18,2020-08-26,39.19,39.38,38.36,38.67,38.67,7776630,0.0,1.0
19,2020-08-25,39.94,40.1,39.13,39.5,39.5,5564667,0.0,1.0
20,2020-08-24,39.62,40.19,38.99,39.74,39.74,5500901,0.0,1.0
21,2020-08-21,39.53,39.915,39.3,39.46,39.46,5629466,0.0,1.0
22,2020-08-20,40.0,40.14,39.61,39.71,39.71,3645106,0.0,1.0
23,2020-08-19,40.7689,40.89,40.13,40.25,40.25,4973215,0.0,1.0
24,2020-08-18,40.65,41.54,40.4418,40.76,40.76,4835865,0.4675,1.0
25,2020-08-17,41.91,41.9694,40.81,41.175,40.7081,5251133,0.0,1.0
26,2020-08-14,40.8,41.95,40.78,41.91,41.4348,5687326,0.0,1.0
27,2020-08-13,41.33,41.61,40.82,41.0,40.5351,5689956,0.0,1.0
28,2020-08-12,42.3,42.64,41.57,41.82,41.3458,4930113,0.0,1.0
29,2020-08-11,43.38,44.05,41.715,41.85,41.3754,6482621,0.0,1.0
30,2020-08-10,41.63,42.9,41.52,42.86,42.374,4891874,0.0,1.0
31,2020-08-07,40.67,41.61,40.52,41.52,41.0492,4538665,0.0,1.0
32,2020-08-06,40.83,41.4863,40.65,40.89,40.4263,4699427,0.0,1.0
33,2020-08-05,40.85,41.4,40.58,40.81,40.3472,6860335,0.0,1.0
34,2020-08-04,40.84,41.07,40.48,40.93,40.4659,5778496,0.0,1.0
35,2020-08-03,40.58,41.175,39.95,41.08,40.6142,4911763,0.0,1.0
36,2020-07-31,40.25,40.89,40.08,40.71,40.2484,11718126,0.0,1.0
37,2020-07-30,40.55,40.845,39.99,40.64,40.1792,4505618,0.0,1.0
38,2020-07-29,40.83,41.26,40.11,41.16,40.6933,4971298,0.0,1.0
39,2020-07-28,39.93,41.0099,39.84,40.68,40.2187,5540925,0.0,1.0
40,2020-07-27,40.61,40.95,39.225,39.84,39.3882,7974709,0.0,1.0
41,2020-07-24,40.37,41.285,40.3,40.51,40.0506,3987955,0.0,1.0
42,2020-07-23,40.9,40.98,40.0299,40.34,39.8826,4704022,0.0,1.0
43,2020-07-22,40.4,40.72,40.0,40.69,40.2286,4288531,0.0,1.0
44,2020-07-21,40.5,41.51,40.25,40.41,39.9518,6694200,0.0,1.0
45,2020-07-20,41.19,41.19,40.22,40.46,40.0012,4063100,0.0,1.0
46,2020-07-17,41.59,41.89,41.31,41.42,40.9503,3740700,0.0,1.0
47,2020-07-16,40.51,41.69,40.38,41.35,40.8811,4382700,0.0,1.0
