,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,23.98,24.36,23.53,23.65,23.65,39556241,0.0,1.0
1,2020-09-21,24.45,24.521,23.72,24.04,24.04,56188353,0.0,1.0
2,2020-09-18,24.94,25.4,24.9,25.13,25.13,115153221,0.0,1.0
3,2020-09-17,25.23,25.425,24.9,25.11,25.11,51531349,0.0,1.0
4,2020-09-16,24.87,26.0,24.75,25.71,25.71,51783223,0.0,1.0
5,2020-09-15,24.96,25.04,24.56,24.88,24.88,41954783,0.0,1.0
6,2020-09-14,24.38,24.97,24.23,24.81,24.81,49787143,0.0,1.0
7,2020-09-11,23.92,24.32,23.71,24.27,24.27,34861088,0.0,1.0
8,2020-09-10,24.03,24.67,23.86,23.95,23.95,54211678,0.0,1.0
9,2020-09-09,24.01,24.07,23.7,23.84,23.84,49427909,0.0,1.0
10,2020-09-08,24.28,24.55,23.735,23.97,23.97,49082908,0.0,1.0
11,2020-09-04,25.0,25.19,24.25,24.79,24.79,48745000,0.0,1.0
12,2020-09-03,24.8,25.36,24.3,24.52,24.52,42349263,0.0,1.0
13,2020-09-02,24.01,24.66,23.93,24.57,24.57,40334000,0.0,1.0
14,2020-09-01,24.02,24.335,23.74,24.05,24.05,30541866,0.0,1.0
15,2020-08-31,24.49,24.5118,24.09,24.15,24.15,27615501,0.0,1.0
16,2020-08-28,24.75,24.77,24.3453,24.69,24.69,25797331,0.0,1.0
17,2020-08-27,23.99,24.78,23.97,24.59,24.59,36706594,0.0,1.0
18,2020-08-26,24.51,24.58,24.04,24.04,24.04,28348206,0.0,1.0
19,2020-08-25,24.74,24.89,24.3,24.61,24.61,35077309,0.0,1.0
20,2020-08-24,23.8,24.51,23.61,24.49,24.49,36906689,0.0,1.0
21,2020-08-21,23.64,23.91,23.52,23.64,23.64,27197999,0.0,1.0
22,2020-08-20,23.74,23.94,23.6,23.75,23.75,36022144,0.0,1.0
23,2020-08-19,24.01,24.39,23.84,24.07,24.07,33667843,0.0,1.0
