,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,177.83,180.45,176.32,179.69,179.69,787724,0.0,1.0
1,2020-09-21,170.7,177.75,169.99,177.75,177.75,1182199,0.0,1.0
2,2020-09-18,176.25,177.75,173.4,174.27,174.27,1063004,0.0,1.0
3,2020-09-17,177.09,180.71,175.8,176.74,176.74,628161,0.0,1.0
4,2020-09-16,179.98,182.525,178.9,179.57,179.57,633456,0.0,1.0
5,2020-09-15,178.28,180.38,177.655,178.37,178.37,499112,0.0,1.0
6,2020-09-14,175.11,178.15,174.2,177.8,177.8,605667,0.0,1.0
7,2020-09-11,170.64,174.5,170.27,172.8,172.8,573616,0.0,1.0
8,2020-09-10,173.14,175.27,169.15,169.46,169.46,671696,0.0,1.0
9,2020-09-09,169.75,173.32,169.435,171.82,171.82,394771,0.0,1.0
10,2020-09-08,164.64,172.56,164.06,168.32,168.32,695851,0.0,1.0
11,2020-09-04,174.0,174.35,166.6,168.0,168.0,718306,0.0,1.0
12,2020-09-03,180.11,180.2,169.49,171.56,171.56,665440,0.0,1.0
13,2020-09-02,179.18,180.2,178.06,179.46,179.46,660308,0.0,1.0
14,2020-09-01,177.35,179.61,176.73,178.27,178.27,490208,0.0,1.0
15,2020-08-31,178.92,179.2,176.48,177.72,177.72,529180,0.0,1.0
16,2020-08-28,178.44,179.67,177.96,178.88,178.88,375140,0.0,1.0
17,2020-08-27,179.56,180.54,177.79,177.83,177.83,516721,1.2,1.0
18,2020-08-26,181.32,181.32,178.44,179.94,178.7339,388166,0.0,1.0
19,2020-08-25,182.71,182.71,178.81,180.53,179.3199,547929,0.0,1.0
20,2020-08-24,182.22,182.575,179.9,181.38,180.1642,593777,0.0,1.0
21,2020-08-21,181.49,182.81,180.02,180.78,179.5683,890092,0.0,1.0
22,2020-08-20,182.27,184.98,181.17,182.92,181.6939,396563,0.0,1.0
23,2020-08-19,181.64,185.96,181.4699,184.37,183.1342,521693,0.0,1.0
24,2020-08-18,182.18,183.89,180.295,182.0,180.7801,441084,0.0,1.0
25,2020-08-17,180.87,182.1592,179.58,181.94,180.7205,476911,0.0,1.0
26,2020-08-14,179.12,183.03,178.435,180.93,179.7173,550602,0.0,1.0
27,2020-08-13,177.39,180.2,176.5,178.46,177.2638,281910,0.0,1.0
28,2020-08-12,178.72,179.0,175.86,178.58,177.383,423997,0.0,1.0
