,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,20.3,20.71,20.025,20.67,20.67,13688733,0.0,1.0
1,2020-09-18,21.01,21.18,20.525,20.74,20.74,20268107,0.0,1.0
2,2020-09-17,21.06,21.34,20.83,21.31,21.31,14878506,0.0,1.0
3,2020-09-16,21.05,21.64,20.93,21.42,21.42,15080546,0.0,1.0
4,2020-09-15,20.92,21.22,20.76,20.87,20.87,11783268,0.0,1.0
5,2020-09-14,20.35,20.99,20.1605,20.85,20.85,9825107,0.0,1.0
6,2020-09-11,20.29,20.62,20.105,20.23,20.23,8056288,0.0,1.0
7,2020-09-10,20.64,20.665,20.17,20.18,20.18,8165866,0.4,1.0
8,2020-09-09,20.71,21.315,20.71,21.02,20.6114,10455399,0.0,1.0
9,2020-09-08,20.47,20.75,20.22,20.48,20.0819,8801079,0.0,1.0
10,2020-09-04,21.0,21.12,20.4,20.69,20.2879,5648698,0.0,1.0
11,2020-09-03,21.24,21.4,20.725,20.9,20.4938,7085137,0.0,1.0
12,2020-09-02,20.96,21.35,20.86,21.28,20.8664,7580207,0.0,1.0
13,2020-09-01,20.6,21.05,20.44,20.96,20.5526,6669850,0.0,1.0
14,2020-08-31,21.16,21.21,20.74,20.76,20.3565,7016760,0.0,1.0
15,2020-08-28,21.04,21.265,20.799,21.07,20.6605,5386235,0.0,1.0
16,2020-08-27,21.01,21.29,20.735,20.96,20.5526,8595980,0.0,1.0
17,2020-08-26,21.35,21.39,20.89,21.05,20.6409,6302836,0.0,1.0
18,2020-08-25,21.85,21.85,21.11,21.39,20.9743,6430332,0.0,1.0
19,2020-08-24,21.51,21.69,21.175,21.68,21.2586,7129954,0.0,1.0
20,2020-08-21,21.41,21.46,21.12,21.41,20.9939,4976874,0.0,1.0
21,2020-08-20,21.41,21.58,21.185,21.4,20.9841,5617895,0.0,1.0
22,2020-08-19,21.85,22.09,21.62,21.65,21.2292,4776482,0.0,1.0
23,2020-08-18,22.26,22.31,21.725,21.8,21.3763,5900319,0.0,1.0
24,2020-08-17,22.13,22.425,21.92,22.34,21.9058,6199313,0.0,1.0
25,2020-08-14,21.49,22.325,21.41,22.13,21.6999,6429549,0.0,1.0
26,2020-08-13,21.52,21.785,21.37,21.57,21.1508,4896218,0.0,1.0
27,2020-08-12,21.69,21.855,21.47,21.61,21.19,6549421,0.0,1.0
28,2020-08-11,21.77,21.855,21.37,21.42,21.0037,9427786,0.0,1.0
29,2020-08-10,20.81,21.67,20.81,21.54,21.1213,6601124,0.0,1.0
30,2020-08-07,20.57,20.86,20.46,20.85,20.4448,7112987,0.0,1.0
31,2020-08-06,21.22,21.28,20.71,20.82,20.4153,10073176,0.0,1.0
