,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,35.01,35.38,33.715,34.38,34.38,2670814,0.0,1.0
1,2020-09-21,35.36,35.74,34.55,35.19,35.19,3690052,0.0,1.0
2,2020-09-18,37.43,39.24,35.66,36.21,36.21,10270457,0.0,1.0
3,2020-09-17,35.73,38.5,35.08,37.64,37.64,7490507,0.0,1.0
4,2020-09-16,36.14,37.08,35.36,36.35,36.35,4340480,0.0,1.0
5,2020-09-15,34.53,35.96,34.4993,35.95,35.95,4463762,0.0,1.0
6,2020-09-14,32.79,34.53,32.68,34.34,34.34,3797175,0.0,1.0
7,2020-09-11,32.03,32.63,31.7,32.5,32.5,1554022,0.0,1.0
8,2020-09-10,32.4,32.73,31.705,31.87,31.87,1905518,0.0,1.0
9,2020-09-09,32.36,32.99,32.22,32.4,32.4,1617859,0.0,1.0
10,2020-09-08,32.31,32.93,31.64,31.94,31.94,2227974,0.0,1.0
11,2020-09-04,32.49,32.96,31.71,32.54,32.54,2926922,0.0,1.0
12,2020-09-03,32.69,33.04,31.39,31.9,31.9,2291520,0.0,1.0
13,2020-09-02,32.05,32.78,31.54,32.68,32.68,2475270,0.0,1.0
14,2020-09-01,30.38,32.08,30.04,32.07,32.07,2599922,0.0,1.0
15,2020-08-31,31.01,31.01,30.31,30.33,30.33,2069765,0.0,1.0
16,2020-08-28,30.94,31.24,30.67,31.06,31.06,1294336,0.0,1.0
17,2020-08-27,30.61,31.21,30.6,30.84,30.84,1861746,0.0,1.0
18,2020-08-26,30.65,30.65,30.05,30.54,30.54,1293528,0.0,1.0
19,2020-08-25,31.45,31.74,30.14,30.59,30.59,2202065,0.0,1.0
20,2020-08-24,29.0,31.33,28.92,31.28,31.28,4025559,0.0,1.0
21,2020-08-21,28.7,28.91,28.145,28.46,28.46,1766132,0.0,1.0
22,2020-08-20,28.74,29.07,28.54,28.79,28.79,1331297,0.0,1.0
23,2020-08-19,29.41,29.89,29.145,29.25,29.25,1395505,0.0,1.0
24,2020-08-18,29.63,29.75,29.02,29.1,29.1,1264891,0.0,1.0
25,2020-08-17,30.42,30.53,29.69,29.76,29.76,1421323,0.0,1.0
26,2020-08-14,29.57,30.7201,29.395,30.29,30.29,2292568,0.0,1.0
27,2020-08-13,29.6,30.035,29.44,29.69,29.69,1819315,0.2,1.0
28,2020-08-12,31.53,31.65,30.11,30.3,30.0973,1500009,0.0,1.0
29,2020-08-11,31.37,32.05,30.87,30.9,30.6932,3556601,0.0,1.0
30,2020-08-10,29.31,30.68,29.29,30.65,30.4449,2459228,0.0,1.0
31,2020-08-07,27.52,29.07,27.511,29.07,28.8755,3496089,0.0,1.0
32,2020-08-06,29.88,30.26,29.46,29.49,29.2927,1785799,0.0,1.0
33,2020-08-05,29.8,30.3,29.69,29.84,29.6403,2304926,0.0,1.0
34,2020-08-04,27.5,29.67,27.25,29.27,29.0741,3937643,0.0,1.0
35,2020-08-03,27.03,28.16,26.91,27.82,27.6339,3586142,0.0,1.0
36,2020-07-31,28.2,28.25,26.56,26.86,26.6803,6312169,0.0,1.0
37,2020-07-30,29.64,29.8,27.99,28.26,28.0709,3403503,0.0,1.0
38,2020-07-29,29.62,30.27,29.38,30.26,30.0575,1826866,0.0,1.0
39,2020-07-28,30.22,30.35,29.425,29.47,29.2728,2021042,0.0,1.0
40,2020-07-27,30.14,30.35,29.63,30.21,30.0079,1402624,0.0,1.0
41,2020-07-24,30.26,30.55,29.99,30.21,30.0079,2008444,0.0,1.0
42,2020-07-23,29.76,30.34,29.56,30.15,29.9483,1808528,0.0,1.0
43,2020-07-22,29.53,30.0,29.36,29.86,29.6602,1157062,0.0,1.0
44,2020-07-21,29.48,30.01,29.48,29.72,29.5211,1328300,0.0,1.0
45,2020-07-20,29.74,30.19,29.275,29.37,29.1735,1191300,0.0,1.0
46,2020-07-17,30.87,30.87,29.84,29.97,29.7695,1751500,0.0,1.0
47,2020-07-16,30.19,31.245,30.0,30.72,30.5144,3324000,0.0,1.0
48,2020-07-15,29.85,30.37,29.35,30.15,29.9483,3330100,0.0,1.0
49,2020-07-14,27.93,29.3,27.82,29.15,28.955,4177100,0.0,1.0
50,2020-07-13,28.0,28.43,27.6,27.85,27.6637,2053300,0.0,1.0
51,2020-07-10,26.35,27.785,26.269,27.75,27.5643,2499400,0.0,1.0
52,2020-07-09,27.32,27.35,26.05,26.22,26.0446,2496300,0.0,1.0
53,2020-07-08,27.94,28.23,27.11,27.47,27.2862,2387200,0.0,1.0
54,2020-07-07,28.3,28.47,27.84,28.06,27.8722,2035900,0.0,1.0
55,2020-07-06,28.89,29.14,28.27,28.78,28.5874,2119800,0.0,1.0
56,2020-07-02,28.12,28.39,27.91,28.2,28.0113,2282200,0.0,1.0
57,2020-07-01,28.28,28.35,27.21,27.66,27.4749,2662000,0.0,1.0
58,2020-06-30,27.49,28.465,27.07,28.26,28.0709,2186100,0.0,1.0
59,2020-06-29,27.05,28.06,26.96,27.75,27.5643,2255997,0.0,1.0
60,2020-06-26,26.38,26.74,25.91,26.72,26.5412,3751300,0.0,1.0
61,2020-06-25,25.93,26.67,25.44,26.61,26.4319,2355800,0.0,1.0
62,2020-06-24,27.14,27.23,26.16,26.2,26.0247,2466300,0.0,1.0
63,2020-06-23,27.67,27.92,27.37,27.47,27.2862,2080600,0.0,1.0
64,2020-06-22,28.22,28.22,27.15,27.38,27.1968,2719500,0.0,1.0
65,2020-06-19,29.04,29.04,28.05,28.32,28.1305,5039500,0.0,1.0
66,2020-06-18,28.35,28.9,28.12,28.35,28.1603,2713800,0.0,1.0
67,2020-06-17,29.12,29.22,28.22,28.77,28.5775,2818900,0.0,1.0
68,2020-06-16,29.76,29.98,28.335,28.93,28.7364,2244200,0.0,1.0
69,2020-06-15,27.0,28.56,26.63,28.26,28.0709,2721700,0.0,1.0
70,2020-06-12,28.99,29.31,27.17,28.21,28.0212,2459800,0.0,1.0
71,2020-06-11,28.54,29.37,27.07,27.64,27.4551,2853000,0.0,1.0
72,2020-06-10,31.54,31.79,30.33,30.38,30.1767,2531800,0.0,1.0
73,2020-06-09,32.31,32.47,31.642,31.91,31.6965,2326400,0.0,1.0
74,2020-06-08,32.19,33.29,32.12,33.0,32.7792,2527400,0.0,1.0
75,2020-06-05,32.84,33.715,31.84,32.05,31.8355,3727200,0.0,1.0
76,2020-06-04,29.66,30.69,29.37,30.69,30.4846,2762100,0.0,1.0
77,2020-06-03,28.83,30.21,28.69,29.87,29.6701,3036000,0.0,1.0
78,2020-06-02,28.82,29.09,28.27,28.36,28.1702,2362800,0.0,1.0
79,2020-06-01,28.05,29.03,28.01,28.58,28.3888,2284000,0.0,1.0
80,2020-05-29,28.5,28.73,27.58,28.06,27.8722,3787500,0.0,1.0
81,2020-05-28,29.38,29.38,28.05,28.87,28.6768,3523000,0.0,1.0
82,2020-05-27,28.07,29.17,27.74,29.16,28.9649,4577400,0.0,1.0
83,2020-05-26,26.42,27.37,26.41,27.0,26.8193,6127700,0.0,1.0
84,2020-05-22,25.17,25.44,24.98,25.35,25.1804,2243700,0.0,1.0
85,2020-05-21,25.33,25.89,25.07,25.15,24.9817,2071000,0.0,1.0
86,2020-05-20,25.52,25.85,25.25,25.43,25.2598,3930400,0.0,1.0
87,2020-05-19,25.81,25.88,24.95,24.97,24.8029,2382400,0.0,1.0
88,2020-05-18,25.12,26.08,24.96,25.88,25.7068,3376100,0.2,1.0
89,2020-05-15,24.74,25.13,24.115,24.21,23.8636,3502200,0.0,1.0
90,2020-05-14,23.84,25.25,23.22,25.23,24.869,3322900,0.0,1.0
91,2020-05-13,25.0,25.08,23.46,24.16,23.8143,3261300,0.0,1.0
92,2020-05-12,25.69,26.2,25.17,25.2,24.8394,2655300,0.0,1.0
93,2020-05-11,26.54,26.54,25.645,25.97,25.5984,2345800,0.0,1.0
94,2020-05-08,25.6,27.13,25.5,27.0,26.6137,3535300,0.0,1.0
95,2020-05-07,25.11,26.2,24.91,25.09,24.731,3906000,0.0,1.0
96,2020-05-06,25.22,25.74,24.41,24.7,24.3466,5385400,0.0,1.0
97,2020-05-05,28.29,28.3,24.755,25.06,24.7014,11078300,0.0,1.0
98,2020-05-04,30.73,30.74,29.81,30.31,29.8763,1686300,0.0,1.0
99,2020-05-01,31.58,31.66,30.43,30.84,30.3987,1453500,0.0,1.0
100,2020-04-30,33.2,33.22,31.95,32.19,31.7294,2181700,0.0,1.0
101,2020-04-29,33.5,34.57,33.5,34.15,33.6614,2408000,0.0,1.0
102,2020-04-28,31.84,33.19,31.62,32.9,32.4292,3078400,0.0,1.0
103,2020-04-27,29.06,30.66,29.01,30.49,30.0537,2216400,0.0,1.0
104,2020-04-24,29.28,29.39,28.44,28.88,28.4668,1929000,0.0,1.0
105,2020-04-23,28.84,29.44,28.56,28.88,28.4668,2282200,0.0,1.0
106,2020-04-22,28.76,29.37,27.96,28.47,28.0626,3881300,0.0,1.0
107,2020-04-21,28.79,29.71,28.69,29.07,28.654,1388800,0.0,1.0
108,2020-04-20,30.0,30.545,29.34,29.66,29.2356,1677000,0.0,1.0
109,2020-04-17,29.75,30.93,29.75,30.69,30.2509,2156700,0.0,1.0
110,2020-04-16,30.4,30.51,28.33,28.82,28.4076,2407200,0.0,1.0
111,2020-04-15,30.74,30.78,29.57,30.31,29.8763,1924800,0.0,1.0
112,2020-04-14,32.98,33.25,31.335,31.91,31.4534,2630100,0.0,1.0
113,2020-04-13,32.0,32.52,30.76,32.44,31.9758,2714500,0.0,1.0
114,2020-04-09,31.22,32.86,31.152,32.16,31.6998,3579400,0.0,1.0
115,2020-04-08,29.29,30.96,29.01,30.69,30.2509,2617000,0.0,1.0
116,2020-04-07,30.31,30.75,28.88,28.94,28.5259,3851500,0.0,1.0
117,2020-04-06,27.13,29.26,26.97,28.97,28.5555,3445900,0.0,1.0
118,2020-04-03,26.41,27.64,25.46,25.68,25.3126,2741200,0.0,1.0
119,2020-04-02,26.36,27.68,26.17,26.79,26.4067,3782100,0.0,1.0
120,2020-04-01,26.97,28.12,26.51,26.71,26.3278,2848700,0.0,1.0
121,2020-03-31,28.73,29.33,28.0,28.26,27.8556,3346500,0.0,1.0
122,2020-03-30,28.0,29.13,27.78,29.0,28.5851,1993200,0.0,1.0
123,2020-03-27,27.28,28.77,26.87,27.89,27.4909,2620500,0.0,1.0
124,2020-03-26,26.45,28.69,26.32,28.39,27.9838,3203900,0.0,1.0
125,2020-03-25,26.44,28.245,25.21,26.35,25.973,3983200,0.0,1.0
126,2020-03-24,26.9,27.76,25.09,26.24,25.8645,3398700,0.0,1.0
