,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,22.06,22.125,21.75,22.04,22.04,2033329,0.0,1.0
1,2020-09-21,22.36,22.51,21.71,21.93,21.93,3879743,0.0,1.0
2,2020-09-18,22.59,22.98,22.58,22.65,22.65,4762605,0.0,1.0
3,2020-09-17,22.11,22.62,21.91,22.61,22.61,3072893,0.0,1.0
4,2020-09-16,22.5,22.785,22.36,22.39,22.39,3509225,0.0,1.0
5,2020-09-15,22.64,22.9,22.37,22.43,22.43,3687009,0.225,1.0
6,2020-09-14,22.32,22.73,22.26,22.57,22.3458,3783183,0.0,1.0
7,2020-09-11,22.29,22.29,21.84,22.12,21.9003,3161733,0.0,1.0
8,2020-09-10,22.8,22.865,22.145,22.19,21.9696,3791575,0.0,1.0
9,2020-09-09,22.93,22.98,22.675,22.69,22.4647,3765485,0.0,1.0
10,2020-09-08,22.79,22.98,22.435,22.61,22.3854,3990772,0.0,1.0
11,2020-09-04,23.34,23.5,22.78,23.03,22.8013,2997881,0.0,1.0
12,2020-09-03,23.93,24.01,23.045,23.23,22.9993,3293246,0.0,1.0
13,2020-09-02,23.65,24.08,23.33,23.97,23.7319,3466902,0.0,1.0
14,2020-09-01,23.58,23.705,23.365,23.6,23.3656,2654375,0.0,1.0
15,2020-08-31,24.01,24.01,23.58,23.59,23.3557,4052961,0.0,1.0
16,2020-08-28,23.93,24.055,23.78,23.96,23.722,3042098,0.0,1.0
17,2020-08-27,24.01,24.12,23.585,23.85,23.6131,2464069,0.0,1.0
18,2020-08-26,23.98,24.1,23.7,23.9,23.6626,2036605,0.0,1.0
19,2020-08-25,23.98,24.16,23.79,23.9,23.6626,2007653,0.0,1.0
20,2020-08-24,23.69,23.945,23.62,23.92,23.6824,2506523,0.0,1.0
21,2020-08-21,23.44,23.57,23.29,23.49,23.2567,9316475,0.0,1.0
22,2020-08-20,23.55,23.725,23.34,23.37,23.1379,3515861,0.0,1.0
23,2020-08-19,23.78,23.955,23.56,23.7,23.4646,2818950,0.0,1.0
24,2020-08-18,23.98,23.98,23.63,23.78,23.5438,4223152,0.0,1.0
25,2020-08-17,23.7,24.145,23.57,23.96,23.722,5763571,0.0,1.0
26,2020-08-14,23.37,23.79,23.33,23.64,23.4052,3500787,0.0,1.0
27,2020-08-13,23.34,23.45,23.202,23.44,23.2072,2734659,0.0,1.0
28,2020-08-12,23.33,23.53,23.18,23.37,23.1379,3160367,0.0,1.0
29,2020-08-11,23.46,23.76,23.16,23.23,22.9993,3973756,0.0,1.0
30,2020-08-10,23.33,23.705,23.27,23.38,23.1478,4232611,0.0,1.0
31,2020-08-07,22.62,23.32,22.43,23.27,23.0389,5473897,0.0,1.0
32,2020-08-06,22.89,23.29,22.69,22.76,22.534,4993435,0.0,1.0
33,2020-08-05,24.36,25.13,22.47,22.88,22.6528,10570389,0.0,1.0
34,2020-08-04,24.19,24.365,23.87,24.19,23.9498,8043258,0.0,1.0
35,2020-08-03,24.32,24.46,23.46,24.21,23.9696,8182457,0.0,1.0
36,2020-07-31,24.3,24.43,24.0,24.28,24.0389,11752097,0.0,1.0
37,2020-07-30,23.92,24.4,23.78,24.23,23.9894,7705352,0.0,1.0
38,2020-07-29,22.58,24.16,22.56,24.15,23.9102,10695914,0.0,1.0
39,2020-07-28,22.73,22.8,22.42,22.46,22.2369,3167093,0.0,1.0
40,2020-07-27,22.46,22.855,22.33,22.75,22.5241,4881045,0.0,1.0
41,2020-07-24,22.7,22.91,22.335,22.47,22.2468,4746688,0.0,1.0
42,2020-07-23,22.7,23.14,22.67,22.72,22.4944,5508449,0.0,1.0
43,2020-07-22,21.92,23.06,21.92,22.67,22.4449,8044726,0.0,1.0
44,2020-07-21,22.03,22.23,21.73,21.84,21.6231,4714911,0.0,1.0
45,2020-07-20,21.9,21.98,21.65,21.9,21.6825,3315834,0.0,1.0
46,2020-07-17,22.07,22.1,21.75,21.99,21.7716,3474897,0.0,1.0
47,2020-07-16,22.01,22.21,21.89,21.95,21.732,2699503,0.0,1.0
48,2020-07-15,21.93,22.25,21.71,22.13,21.9102,3550018,0.0,1.0
49,2020-07-14,21.23,21.58,21.12,21.56,21.3459,4801103,0.0,1.0
50,2020-07-13,21.52,21.99,21.22,21.47,21.2568,5477514,0.0,1.0
51,2020-07-10,20.69,21.41,20.62,21.33,21.1182,5203563,0.0,1.0
