,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,26.98,27.815,26.81,27.72,27.72,4632789,0.0,1.0
1,2020-09-21,27.17,27.25,26.62,26.85,26.85,5139132,0.0,1.0
2,2020-09-18,28.32,28.83,27.725,27.73,27.73,6933914,0.0,1.0
3,2020-09-17,28.55,28.885,28.21,28.68,28.68,3870523,0.0,1.0
4,2020-09-16,28.92,29.22,28.39,28.93,28.93,4938917,0.0,1.0
5,2020-09-15,29.0,29.155,28.505,28.76,28.76,4344912,0.0,1.0
6,2020-09-14,28.83,28.98,28.55,28.93,28.93,3168850,0.0,1.0
7,2020-09-11,28.66,28.82,28.17,28.43,28.43,3521639,0.0,1.0
8,2020-09-10,28.72,29.24,28.49,28.55,28.55,4394639,0.0,1.0
9,2020-09-09,28.39,29.125,28.24,28.69,28.69,4624572,0.0,1.0
10,2020-09-08,28.65,28.76,27.95,28.09,28.09,5727632,0.0,1.0
11,2020-09-04,29.97,30.1815,28.71,29.04,29.04,5325647,0.0,1.0
12,2020-09-03,30.99,31.0,29.535,29.78,29.78,7682724,0.0,1.0
13,2020-09-02,30.75,30.81,30.1605,30.78,30.78,7513170,0.0,1.0
14,2020-09-01,30.16,30.87,29.85,30.78,30.78,3424036,0.0,1.0
15,2020-08-31,30.89,30.9,30.085,30.31,30.31,5436878,0.0,1.0
16,2020-08-28,30.27,31.16,30.04,30.89,30.89,6167708,0.0,1.0
17,2020-08-27,29.55,30.2,29.48,30.16,30.16,6651465,0.0,1.0
18,2020-08-26,29.15,29.55,28.985,29.36,29.36,4157476,0.0,1.0
19,2020-08-25,29.33,29.34,28.7,29.15,29.15,4868233,0.0,1.0
20,2020-08-24,29.1,29.22,28.84,29.21,29.21,4933069,0.0,1.0
21,2020-08-21,29.06,29.175,28.82,28.82,28.82,4295516,0.0,1.0
22,2020-08-20,28.76,29.405,28.7,29.0,29.0,5168005,0.0,1.0
23,2020-08-19,28.92,29.42,28.91,28.97,28.97,5322749,0.0,1.0
24,2020-08-18,29.06,29.34,28.84,28.88,28.88,3022994,0.0,1.0
25,2020-08-17,28.39,29.235,28.26,28.96,28.96,4830109,0.0,1.0
26,2020-08-14,28.52,28.59,28.12,28.36,28.36,3547749,0.0,1.0
27,2020-08-13,29.06,29.1436,28.41,28.5,28.5,3021771,0.0,1.0
28,2020-08-12,29.08,29.33,28.925,29.2,29.2,2876722,0.0,1.0
29,2020-08-11,29.15,29.605,28.83,28.89,28.89,4798954,0.0,1.0
30,2020-08-10,28.39,28.85,28.28,28.81,28.81,6062522,0.0,1.0
31,2020-08-07,27.93,28.36,27.81,28.35,28.35,3187121,0.0,1.0
32,2020-08-06,28.12,28.455,27.765,28.01,28.01,3524434,0.0,1.0
33,2020-08-05,28.26,28.5,28.18,28.35,28.35,4134411,0.0,1.0
34,2020-08-04,27.8,27.95,27.49,27.83,27.83,6488205,0.0,1.0
35,2020-08-03,27.41,28.18,27.31,28.0,28.0,4839149,0.0,1.0
36,2020-07-31,28.77,29.03,27.41,27.81,27.81,11492037,0.0,1.0
37,2020-07-30,27.85,28.435,27.47,28.4,28.4,6535692,0.0,1.0
38,2020-07-29,27.44,28.44,27.28,28.35,28.35,5825434,0.0,1.0
39,2020-07-28,27.42,27.48,26.98,27.25,27.25,5673988,0.0,1.0
40,2020-07-27,26.29,27.64,26.12,27.48,27.48,6734656,0.0,1.0
41,2020-07-24,26.33,26.43,25.82,26.11,26.11,5207002,0.0,1.0
42,2020-07-23,25.98,26.73,25.9,26.41,26.41,4513149,0.0,1.0
43,2020-07-22,25.5,26.185,25.5,26.11,26.11,4188326,0.0,1.0
44,2020-07-21,25.86,26.03,25.58,25.68,25.68,4942393,0.0,1.0
45,2020-07-20,25.73,25.95,25.59,25.63,25.63,3437118,0.0,1.0
46,2020-07-17,25.42,25.99,25.28,25.95,25.95,5519300,0.0,1.0
47,2020-07-16,24.93,25.48,24.47,25.14,25.14,4317900,0.0,1.0
48,2020-07-15,24.93,25.19,24.68,25.06,25.06,6422500,0.0,1.0
49,2020-07-14,23.76,24.53,23.61,24.46,24.46,5215500,0.0,1.0
50,2020-07-13,23.96,24.43,23.7,23.75,23.75,6245500,0.0,1.0
51,2020-07-10,22.73,23.72,22.62,23.69,23.69,8283000,0.0,1.0
52,2020-07-09,22.54,22.83,22.32,22.61,22.61,5045600,0.0,1.0
53,2020-07-08,22.35,22.76,22.12,22.67,22.67,4239600,0.0,1.0
54,2020-07-07,22.25,22.5,22.03,22.2,22.2,4029900,0.0,1.0
55,2020-07-06,22.87,22.94,22.44,22.57,22.57,3773800,0.0,1.0
56,2020-07-02,22.66,23.23,22.16,22.24,22.24,4237500,0.0,1.0
57,2020-07-01,22.6,22.69,22.02,22.2,22.2,2809500,0.0,1.0
58,2020-06-30,22.21,22.61,22.08,22.46,22.46,4171200,0.0,1.0
59,2020-06-29,21.81,22.27,21.49,22.18,22.18,3249300,0.0,1.0
60,2020-06-26,21.76,21.92,21.285,21.49,21.49,6559371,0.0,1.0
61,2020-06-25,21.5,22.02,21.19,21.99,21.99,4290865,0.0,1.0
62,2020-06-24,22.38,22.6,21.625,21.75,21.75,6231089,0.0,1.0
63,2020-06-23,22.86,23.0,22.555,22.77,22.77,7201094,0.0,1.0
64,2020-06-22,22.54,22.745,22.07,22.52,22.52,7308900,0.0,1.0
65,2020-06-19,22.78,23.125,22.24,22.7,22.7,16745832,0.0,1.0
66,2020-06-18,22.03,22.55,21.9433,22.41,22.41,6391039,0.0,1.0
67,2020-06-17,23.14,23.19,22.35,22.38,22.38,7383621,0.0,1.0
68,2020-06-16,23.14,23.3,22.3,23.03,23.03,6497198,0.0,1.0
69,2020-06-15,20.86,22.38,20.77,22.1,22.1,5687475,0.0,1.0
70,2020-06-12,21.64,22.17,21.13,21.76,21.76,5595036,0.0,1.0
71,2020-06-11,21.33,21.84,20.525,20.67,20.67,7939891,0.0,1.0
72,2020-06-10,23.55,23.65,22.525,22.81,22.81,5035318,0.0,1.0
73,2020-06-09,23.39,23.95,23.07,23.75,23.75,5464452,0.0,1.0
74,2020-06-08,24.15,24.93,24.07,24.64,24.64,7837745,0.0,1.0
75,2020-06-05,23.48,23.79,23.12,23.42,23.42,5856400,0.0,1.0
76,2020-06-04,22.07,22.71,21.96,22.29,22.29,5030884,0.0,1.0
77,2020-06-03,22.17,22.41,22.04,22.12,22.12,4155066,0.0,1.0
78,2020-06-02,21.34,21.9,21.24,21.7,21.7,4757197,0.0,1.0
79,2020-06-01,20.22,21.37,20.13,21.05,21.05,5384356,0.0,1.0
80,2020-05-29,21.13,21.375,19.78,20.19,20.19,11299829,0.0,1.0
81,2020-05-28,22.13,22.13,21.15,21.44,21.44,5640014,0.0,1.0
82,2020-05-27,21.89,22.13,21.455,21.85,21.85,8324580,0.0,1.0
83,2020-05-26,21.0,21.29,20.855,21.1,21.1,8445653,0.0,1.0
84,2020-05-22,19.45,19.79,19.285,19.78,19.78,4152386,0.0,1.0
85,2020-05-21,19.36,19.935,19.33,19.45,19.45,3835007,0.0,1.0
86,2020-05-20,18.77,19.6,18.77,19.48,19.48,5274360,0.0,1.0
87,2020-05-19,19.04,19.36,18.44,18.52,18.52,5516096,0.0,1.0
88,2020-05-18,18.21,19.5,18.21,19.17,19.17,7345816,0.0,1.0
89,2020-05-15,17.16,17.69,16.82,17.33,17.33,5329106,0.0,1.0
90,2020-05-14,16.72,17.4,16.05,17.38,17.38,6867466,0.0,1.0
91,2020-05-13,18.05,18.1,17.015,17.05,17.05,8311315,0.0,1.0
92,2020-05-12,19.37,19.515,18.2,18.2,18.2,4732318,0.0,1.0
93,2020-05-11,19.56,19.59,18.9708,19.35,19.35,4936316,0.0,1.0
94,2020-05-08,19.14,19.87,19.05,19.85,19.85,5762961,0.0,1.0
