,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,45.5,45.55,43.81,44.71,44.71,1431694,0.0,1.0
1,2020-09-18,47.87,48.11,46.22,46.33,46.33,2139522,0.0,1.0
2,2020-09-17,47.02,47.9,46.26,47.72,47.72,1575702,0.0,1.0
3,2020-09-16,46.73,47.98,46.28,47.39,47.39,2119604,0.0,1.0
4,2020-09-15,46.0,46.54,45.67,46.36,46.36,1213460,0.0,1.0
5,2020-09-14,44.53,46.0,44.45,45.9,45.9,1176187,0.0,1.0
6,2020-09-11,43.98,44.3245,43.77,44.16,44.16,1287046,0.0,1.0
7,2020-09-10,44.34,45.0,43.71,43.72,43.72,927680,0.0,1.0
8,2020-09-09,43.91,44.39,43.49,44.23,44.23,994669,0.0,1.0
9,2020-09-08,44.63,44.63,43.385,43.67,43.67,930436,0.0,1.0
10,2020-09-04,44.92,45.4,43.94,44.76,44.76,1214877,0.0,1.0
11,2020-09-03,45.95,46.37,44.23,44.56,44.56,1379907,0.0,1.0
12,2020-09-02,44.73,45.93,44.21,45.73,45.73,1759680,0.0,1.0
13,2020-09-01,44.85,44.87,44.24,44.85,44.85,1221743,0.0,1.0
14,2020-08-31,45.31,45.31,44.61,44.87,44.87,1646957,0.0,1.0
15,2020-08-28,44.66,45.465,44.32,45.32,45.32,1082446,0.0,1.0
16,2020-08-27,43.77,44.865,43.6,44.73,44.73,1719472,0.0,1.0
17,2020-08-26,43.69,43.81,43.04,43.53,43.53,963142,0.0,1.0
18,2020-08-25,43.51,43.91,43.49,43.69,43.69,1216290,0.0,1.0
19,2020-08-24,43.26,44.09,42.975,43.45,43.45,1588505,0.0,1.0
20,2020-08-21,41.85,42.71,41.6,42.6,42.6,4204698,0.0,1.0
21,2020-08-20,42.26,42.63,41.65,42.0,42.0,1303744,0.0,1.0
22,2020-08-19,43.3,43.52,42.38,42.52,42.52,1581856,0.0,1.0
23,2020-08-18,43.65,43.79,43.17,43.24,43.24,1388676,0.0,1.0
24,2020-08-17,44.58,44.58,43.32,43.68,43.68,1601202,0.0,1.0
25,2020-08-14,44.54,44.94,44.09,44.52,44.52,1051783,0.0,1.0
26,2020-08-13,44.96,44.96,44.08,44.53,44.53,1768176,0.0,1.0
27,2020-08-12,46.12,46.29,44.86,44.96,44.96,1460913,0.0,1.0
28,2020-08-11,45.71,46.64,45.2303,45.81,45.81,1898310,0.0,1.0
29,2020-08-10,45.45,45.69,44.68,45.4,45.4,1574385,0.0,1.0
30,2020-08-07,43.42,45.36,43.35,45.36,45.36,2843473,0.0,1.0
31,2020-08-06,44.44,44.9862,42.32,43.26,43.26,5080750,0.0,1.0
32,2020-08-05,47.28,47.36,46.22,46.85,46.85,2169874,0.0,1.0
33,2020-08-04,44.67,47.49,44.5,46.69,46.69,2839806,0.0,1.0
34,2020-08-03,44.71,45.1,44.36,44.68,44.68,1110680,0.0,1.0
35,2020-07-31,44.92,45.34,43.965,44.6,44.6,1331958,0.0,1.0
36,2020-07-30,44.06,45.3,43.8,45.24,45.24,2120168,0.0,1.0
37,2020-07-29,43.59,45.33,43.245,44.79,44.79,983038,0.0,1.0
38,2020-07-28,43.47,43.87,43.38,43.5,43.5,1297812,0.0,1.0
39,2020-07-27,43.13,43.53,42.47,43.45,43.45,1009742,0.0,1.0
40,2020-07-24,44.12,44.12,42.98,43.24,43.24,1238521,0.0,1.0
41,2020-07-23,43.96,44.46,43.58,43.98,43.98,1188520,0.0,1.0
42,2020-07-22,43.97,44.59,43.66,44.07,44.07,1135549,0.0,1.0
43,2020-07-21,43.57,44.5,43.27,43.84,43.84,1372282,0.0,1.0
44,2020-07-20,44.69,45.12,43.33,43.48,43.48,1148838,0.0,1.0
45,2020-07-17,44.43,44.95,44.08,44.77,44.77,861900,0.0,1.0
46,2020-07-16,44.76,44.76,44.06,44.33,44.33,1006500,0.0,1.0
