,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,18.48,18.53,17.84,18.07,18.07,3427058,0.0,1.0
1,2020-09-18,19.45,19.565,18.78,18.92,18.92,6850264,0.0,1.0
2,2020-09-17,18.94,19.59,18.71,19.48,19.48,2682188,0.0,1.0
3,2020-09-16,19.0,19.565,18.871,19.24,19.24,2894938,0.0,1.0
4,2020-09-15,19.37,19.505,18.77,18.9,18.9,3906960,0.0,1.0
5,2020-09-14,19.11,19.529,19.095,19.23,19.23,4506547,0.0,1.0
6,2020-09-11,18.82,19.21,18.73,19.09,19.09,2811692,0.0,1.0
7,2020-09-10,19.33,19.52,18.58,18.63,18.63,3912532,0.0,1.0
8,2020-09-09,18.84,19.1,18.58,19.01,19.01,2308971,0.0,1.0
9,2020-09-08,18.33,19.02,18.27,18.65,18.65,4031988,0.0,1.0
10,2020-09-04,18.49,18.91,18.22,18.65,18.65,3576707,0.0,1.0
11,2020-09-03,18.83,19.16,18.25,18.37,18.37,2998554,0.0,1.0
12,2020-09-02,18.65,18.84,18.415,18.74,18.74,3133589,0.0,1.0
13,2020-09-01,18.75,18.89,18.43,18.51,18.51,3015737,0.0,1.0
14,2020-08-31,19.39,19.422,18.85,18.86,18.86,3775287,0.0,1.0
15,2020-08-28,19.11,19.57,19.09,19.53,19.53,3107937,0.0,1.0
16,2020-08-27,18.81,19.155,18.72,19.1,19.1,2853075,0.0,1.0
17,2020-08-26,18.75,19.21,18.73,18.79,18.79,2424437,0.0,1.0
18,2020-08-25,19.44,19.61,18.68,18.91,18.91,3012336,0.0,1.0
19,2020-08-24,18.9,19.53,18.88,19.3,19.3,3765112,0.0,1.0
20,2020-08-21,18.71,18.865,18.44,18.76,18.76,3508636,0.0,1.0
21,2020-08-20,18.26,18.97,18.168,18.75,18.75,3390838,0.0,1.0
22,2020-08-19,18.16,18.695,18.02,18.21,18.21,3324187,0.0,1.0
23,2020-08-18,18.0,18.23,17.85,18.19,18.19,2587251,0.0,1.0
24,2020-08-17,18.11,18.28,17.81,18.11,18.11,2919483,0.0,1.0
25,2020-08-14,17.24,17.85,17.15,17.79,17.79,1866365,0.0,1.0
26,2020-08-13,17.13,17.57,16.97,17.5,17.5,2711647,0.0,1.0
27,2020-08-12,17.89,17.95,17.01,17.3,17.3,4927843,0.0,1.0
28,2020-08-11,18.1,18.47,17.595,17.69,17.69,3338192,0.0,1.0
29,2020-08-10,17.21,17.855,17.2,17.83,17.83,6077647,0.0,1.0
30,2020-08-07,16.23,16.77,16.19,16.76,16.76,3621120,0.0,1.0
31,2020-08-06,15.93,16.36,15.91,16.35,16.35,2847665,0.0,1.0
32,2020-08-05,15.75,16.24,15.71,16.12,16.12,3799870,0.0,1.0
33,2020-08-04,16.01,16.405,15.6,15.68,15.68,2963241,0.0,1.0
34,2020-08-03,16.58,16.6,15.85,16.01,16.01,3809152,0.0,1.0
35,2020-07-31,16.11,16.675,15.555,16.65,16.65,8724549,0.0,1.0
36,2020-07-30,15.55,16.58,15.2,16.32,16.32,5656296,0.0,1.0
37,2020-07-29,15.11,15.985,14.82,15.86,15.86,5769989,0.0,1.0
38,2020-07-28,16.03,16.38,15.035,15.21,15.21,4701589,0.0,1.0
39,2020-07-27,15.69,15.82,15.3126,15.82,15.82,3714386,0.0,1.0
40,2020-07-24,16.2,16.67,15.58,15.65,15.65,5312222,0.0,1.0
41,2020-07-23,16.86,17.06,16.46,16.81,16.81,2686847,0.0,1.0
42,2020-07-22,16.77,17.18,16.62,16.94,16.94,1832782,0.0,1.0
43,2020-07-21,17.02,17.47,16.82,16.85,16.85,3005636,0.0,1.0
44,2020-07-20,17.16,17.35,16.83,16.85,16.85,2456813,0.0,1.0
45,2020-07-17,17.45,17.61,17.23,17.35,17.35,2329300,0.0,1.0
46,2020-07-16,17.01,17.58,16.86,17.33,17.33,3965100,0.0,1.0
47,2020-07-15,16.48,17.29,16.43,17.21,17.21,7019400,0.0,1.0
48,2020-07-14,15.67,16.16,15.46,16.15,16.15,4458800,0.0,1.0
49,2020-07-13,15.66,16.34,15.56,15.84,15.84,3885600,0.0,1.0
50,2020-07-10,14.52,15.5,14.52,15.49,15.49,3541100,0.0,1.0
51,2020-07-09,15.45,15.45,14.51,14.63,14.63,4128200,0.0,1.0
52,2020-07-08,15.2,15.55,15.02,15.42,15.42,5694700,0.0,1.0
53,2020-07-07,15.68,15.84,15.11,15.13,15.13,4169900,0.0,1.0
54,2020-07-06,16.14,16.23,15.56,15.89,15.89,5809200,0.0,1.0
55,2020-07-02,15.47,16.16,15.45,15.73,15.73,4470500,0.0,1.0
56,2020-07-01,15.35,15.68,15.05,15.15,15.15,4900400,0.0,1.0
57,2020-06-30,15.28,15.6,15.1,15.29,15.29,5371000,0.0,1.0
58,2020-06-29,15.04,15.47,14.76,15.3,15.3,3079400,0.25,1.0
59,2020-06-26,15.51,15.59,14.95,15.06,14.8179,4399600,0.0,1.0
60,2020-06-25,15.33,15.66,15.02,15.65,15.3984,3404600,0.0,1.0
61,2020-06-24,16.11,16.12,15.28,15.47,15.2213,4015300,0.0,1.0
62,2020-06-23,16.65,16.79,16.29,16.33,16.0675,2892300,0.0,1.0
63,2020-06-22,16.16,16.45,15.86,16.43,16.1659,3574700,0.0,1.0
64,2020-06-19,16.93,16.95,16.2,16.31,16.0478,4215800,0.0,1.0
65,2020-06-18,16.51,16.93,16.41,16.56,16.2938,2656900,0.0,1.0
66,2020-06-17,17.39,17.43,16.71,16.74,16.4709,2583000,0.0,1.0
67,2020-06-16,17.62,17.87,16.96,17.39,17.1104,4157400,0.0,1.0
68,2020-06-15,16.25,17.06,16.01,16.79,16.5201,5625200,0.0,1.0
69,2020-06-12,16.94,17.17,16.28,17.06,16.7857,4209600,0.0,1.0
70,2020-06-11,16.59,16.89,16.02,16.06,15.8018,4431200,0.0,1.0
71,2020-06-10,18.93,19.05,17.8,17.8,17.5138,3568400,0.0,1.0
72,2020-06-09,19.33,19.38,18.71,18.92,18.6158,4369000,0.0,1.0
73,2020-06-08,19.94,20.22,19.2,19.87,19.5505,4866600,0.0,1.0
74,2020-06-05,18.95,19.36,18.43,18.46,18.1632,5480800,0.0,1.0
75,2020-06-04,17.84,18.08,17.45,17.68,17.3958,3437500,0.0,1.0
76,2020-06-03,17.54,18.42,17.5,17.95,17.6614,3694700,0.0,1.0
77,2020-06-02,17.2,17.52,17.02,17.21,16.9333,4156300,0.0,1.0
78,2020-06-01,16.0,17.07,15.85,17.0,16.7267,4494500,0.0,1.0
79,2020-05-29,16.61,16.7,15.82,15.88,15.6247,20752600,0.0,1.0
80,2020-05-28,18.0,18.1,16.78,16.81,16.5397,4849200,0.0,1.0
81,2020-05-27,18.0,18.1,17.51,18.09,17.7992,2877100,0.0,1.0
82,2020-05-26,17.89,18.07,17.42,17.43,17.1498,3505900,0.0,1.0
83,2020-05-22,17.24,17.38,16.74,16.98,16.707,1624200,0.0,1.0
84,2020-05-21,17.19,17.65,17.02,17.24,16.9628,2337800,0.0,1.0
85,2020-05-20,17.64,18.05,17.14,17.24,16.9628,3668200,0.0,1.0
86,2020-05-19,16.65,17.6,16.26,17.38,17.1006,3571100,0.0,1.0
87,2020-05-18,15.66,16.9,15.63,16.78,16.5102,4389500,0.0,1.0
88,2020-05-15,14.98,15.1,14.61,14.89,14.6506,3363400,0.0,1.0
89,2020-05-14,14.96,15.4,14.22,15.39,15.1426,3114200,0.0,1.0
90,2020-05-13,16.67,16.69,15.17,15.37,15.1229,3950800,0.0,1.0
91,2020-05-12,17.67,17.98,16.9,16.9,16.6283,1985500,0.0,1.0
92,2020-05-11,17.88,17.88,17.13,17.58,17.2974,1892500,0.0,1.0
93,2020-05-08,17.62,18.27,17.57,18.13,17.8385,2005500,0.0,1.0
94,2020-05-07,16.95,17.62,16.85,17.33,17.0514,2033500,0.0,1.0
95,2020-05-06,17.29,17.49,16.57,16.7,16.4315,1698000,0.0,1.0
96,2020-05-05,17.2,17.72,17.01,17.03,16.7562,2134200,0.0,1.0
97,2020-05-04,16.82,16.93,16.28,16.82,16.5496,3258600,0.0,1.0
98,2020-05-01,17.74,17.98,16.69,17.03,16.7562,3942400,0.0,1.0
99,2020-04-30,18.93,18.98,18.01,18.29,17.9959,2647700,0.0,1.0
100,2020-04-29,18.47,19.55,18.22,19.29,18.9799,3279300,0.0,1.0
101,2020-04-28,17.82,18.43,17.1,17.74,17.4548,4737300,0.0,1.0
102,2020-04-27,17.78,18.13,16.8,17.82,17.5335,4940500,0.0,1.0
103,2020-04-24,17.7,18.23,17.37,17.97,17.6811,5861100,0.0,1.0
104,2020-04-23,17.18,17.49,17.09,17.39,17.1104,2242300,0.0,1.0
105,2020-04-22,17.09,17.37,16.9,17.09,16.8152,2046600,0.0,1.0
106,2020-04-21,17.29,17.76,16.73,16.77,16.5004,2558900,0.0,1.0
107,2020-04-20,17.65,18.52,17.15,17.83,17.5433,2513800,0.0,1.0
108,2020-04-17,17.33,18.27,17.14,18.12,17.8287,3528100,0.0,1.0
109,2020-04-16,17.56,17.59,16.5,16.91,16.6381,2229000,0.0,1.0
110,2020-04-15,18.2,18.39,17.05,17.27,16.9923,3637100,0.0,1.0
111,2020-04-14,18.69,19.24,18.38,19.0,18.6945,2669000,0.0,1.0
112,2020-04-13,19.5,19.5,17.8,18.19,17.8976,2931000,0.0,1.0
113,2020-04-09,19.83,20.56,19.1,19.36,19.0487,3925000,0.0,1.0
114,2020-04-08,18.96,19.69,18.71,19.26,18.9504,3280300,0.0,1.0
115,2020-04-07,20.0,20.76,18.4,18.61,18.3108,3662300,0.0,1.0
116,2020-04-06,18.0,18.89,17.85,18.71,18.4092,2869400,0.0,1.0
117,2020-04-03,18.21,18.83,16.66,16.9,16.6283,4968500,0.0,1.0
118,2020-04-02,17.45,19.17,16.9,18.48,18.1829,6637000,0.0,1.0
119,2020-04-01,17.74,18.98,17.3,17.6,17.317,4312700,0.0,1.0
120,2020-03-31,17.78,19.58,17.63,18.94,18.6355,4503300,0.0,1.0
121,2020-03-30,17.75,18.08,16.94,17.95,17.6614,2335300,0.0,1.0
122,2020-03-27,19.03,19.3,17.51,17.66,17.3761,3945300,0.25,1.0
123,2020-03-26,19.06,20.52,18.77,19.67,19.0836,4289600,0.0,1.0
124,2020-03-25,17.69,19.65,15.88,18.62,18.0649,5421900,0.0,1.0
125,2020-03-24,17.48,18.14,17.01,17.53,17.0074,3171500,0.0,1.0
126,2020-03-23,16.33,17.0,15.45,16.11,15.6297,3102100,0.0,1.0
127,2020-03-20,17.88,18.52,16.31,16.45,15.9596,3262200,0.0,1.0
128,2020-03-19,15.81,18.25,15.01,17.46,16.9395,2828700,0.0,1.0
129,2020-03-18,18.17,18.71,15.31,15.98,15.5036,3430900,0.0,1.0
130,2020-03-17,20.39,22.19,18.44,19.68,19.0933,4115000,0.0,1.0
131,2020-03-16,17.0,21.87,17.0,19.94,19.3456,2889800,0.0,1.0
132,2020-03-13,25.64,25.98,22.07,23.96,23.2457,3336100,0.0,1.0
133,2020-03-12,26.1,26.61,23.59,23.9,23.1875,2269800,0.0,1.0
134,2020-03-11,27.75,28.56,27.08,27.84,27.01,4413300,0.0,1.0
135,2020-03-10,28.54,29.04,27.07,28.7,27.8444,2751000,0.0,1.0
136,2020-03-09,29.3,29.74,27.41,27.5,26.6802,2124200,0.0,1.0
137,2020-03-06,30.6,31.47,30.41,31.29,30.3572,2078500,0.0,1.0
138,2020-03-05,32.42,32.67,31.3,31.66,30.7162,3017200,0.0,1.0
139,2020-03-04,32.32,33.75,31.7,33.69,32.6857,3264600,0.0,1.0
140,2020-03-03,33.52,34.1,30.94,31.87,30.9199,3121400,0.0,1.0
141,2020-03-02,32.35,33.52,32.06,33.51,32.511,4163200,0.0,1.0
142,2020-02-28,32.74,33.36,31.08,32.2,31.2401,5711900,0.0,1.0
143,2020-02-27,34.87,35.35,33.7,33.83,32.8215,3436400,0.0,1.0
144,2020-02-26,36.82,37.12,35.73,35.73,34.6648,3672800,0.0,1.0
145,2020-02-25,35.95,36.58,35.59,36.46,35.3731,8618200,0.0,1.0
