,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,83.21,84.09,82.72,83.93,83.93,821095,0.0,1.0
1,2020-09-21,83.72,84.0,82.31,83.46,83.46,1420663,0.0,1.0
2,2020-09-18,85.84,87.26,85.42,85.59,85.59,1915160,0.0,1.0
3,2020-09-17,84.29,86.27,83.315,85.85,85.85,1071743,0.0,1.0
4,2020-09-16,84.6,87.64,83.88,85.21,85.21,1228014,0.0,1.0
5,2020-09-15,84.5,85.6,84.07,84.41,84.41,792170,0.0,1.0
6,2020-09-14,85.07,85.35,83.49,84.21,84.21,1155076,0.0,1.0
7,2020-09-11,82.58,84.8725,82.07,84.55,84.55,781550,0.0,1.0
8,2020-09-10,83.5,83.86,81.75,82.02,82.02,854288,0.0,1.0
9,2020-09-09,82.01,84.47,81.73,83.41,83.41,800942,0.0,1.0
10,2020-09-08,81.52,82.5,80.05,81.35,81.35,827173,0.0,1.0
11,2020-09-04,82.74,83.08,81.27,81.87,81.87,891711,0.0,1.0
12,2020-09-03,83.58,83.92,80.88,81.66,81.66,954033,0.0,1.0
13,2020-09-02,81.94,83.59,81.513,83.18,83.18,912902,0.0,1.0
14,2020-09-01,80.38,81.79,79.72,81.73,81.73,633462,0.0,1.0
15,2020-08-31,81.98,81.99,80.1,80.18,80.18,890786,0.0,1.0
16,2020-08-28,81.36,82.06,80.555,81.98,81.98,484919,0.0,1.0
17,2020-08-27,80.97,81.73,80.4301,81.21,81.21,578706,0.0,1.0
18,2020-08-26,80.44,81.23,80.305,80.7,80.7,530972,0.26,1.0
19,2020-08-25,81.65,81.9356,80.25,80.94,80.6801,679954,0.0,1.0
20,2020-08-24,79.58,81.42,79.47,81.4,81.1386,635285,0.0,1.0
21,2020-08-21,79.5,79.89,78.84,79.4,79.145,536817,0.0,1.0
22,2020-08-20,78.64,79.535,78.405,79.38,79.1251,590391,0.0,1.0
23,2020-08-19,79.35,80.31,79.04,79.38,79.1251,555632,0.0,1.0
24,2020-08-18,79.2,79.91,78.86,79.33,79.0752,464632,0.0,1.0
25,2020-08-17,79.59,79.9,78.86,79.22,78.9656,458974,0.0,1.0
26,2020-08-14,78.77,80.05,78.77,79.62,79.3643,406143,0.0,1.0
27,2020-08-13,79.53,80.01,79.21,79.48,79.2248,510805,0.0,1.0
28,2020-08-12,80.95,81.47,79.88,80.1,79.8428,887058,0.0,1.0
29,2020-08-11,80.18,81.43,79.74,80.3,80.0421,942373,0.0,1.0
30,2020-08-10,77.54,79.24,77.3,79.0,78.7463,959190,0.0,1.0
31,2020-08-07,75.72,77.15,75.5001,77.15,76.9022,864848,0.0,1.0
32,2020-08-06,75.77,76.36,75.08,75.79,75.5466,731042,0.0,1.0
33,2020-08-05,74.01,76.17,74.01,76.03,75.7858,953782,0.0,1.0
34,2020-08-04,73.64,73.9,72.57,73.79,73.553,696378,0.0,1.0
35,2020-08-03,73.35,74.09,72.67,73.62,73.3836,858882,0.0,1.0
36,2020-07-31,74.1,74.72,71.87,72.98,72.7456,1391978,0.0,1.0
37,2020-07-30,76.29,77.01,73.2,74.67,74.4302,1304810,0.0,1.0
38,2020-07-29,74.92,77.36,74.86,77.17,76.9222,1196541,0.0,1.0
39,2020-07-28,75.11,75.505,74.12,74.34,74.1013,774831,0.0,1.0
40,2020-07-27,74.24,75.36,73.87,75.26,75.0183,935827,0.0,1.0
41,2020-07-24,73.87,75.01,73.87,74.25,74.0115,998597,0.0,1.0
42,2020-07-23,74.53,75.76,74.115,74.61,74.3704,872637,0.0,1.0
43,2020-07-22,74.65,75.46,74.305,74.42,74.181,780080,0.0,1.0
44,2020-07-21,74.24,75.47,74.15,74.43,74.191,960000,0.0,1.0
45,2020-07-20,74.24,74.63,73.72,74.17,73.9318,748400,0.0,1.0
46,2020-07-17,75.1,75.1,74.02,74.25,74.0115,1042700,0.0,1.0
47,2020-07-16,74.84,77.3,74.44,74.75,74.5099,1704100,0.0,1.0
48,2020-07-15,74.32,75.39,73.68,74.98,74.7392,1843800,0.0,1.0
49,2020-07-14,70.73,73.4,69.28,73.33,73.0945,2442100,0.0,1.0
50,2020-07-13,67.09,68.52,66.64,67.34,67.1237,1019900,0.0,1.0
51,2020-07-10,66.65,67.13,65.89,66.51,66.2964,1301500,0.0,1.0
52,2020-07-09,65.48,66.92,64.84,66.52,66.3064,1336300,0.0,1.0
53,2020-07-08,65.98,66.58,65.11,65.74,65.5289,1003200,0.0,1.0
54,2020-07-07,66.42,67.61,65.89,66.09,65.8778,1056200,0.0,1.0
55,2020-07-06,66.83,67.53,66.49,67.15,66.9344,1171300,0.0,1.0
56,2020-07-02,64.63,66.19,64.45,65.42,65.2099,1294500,0.0,1.0
57,2020-07-01,65.03,65.26,63.63,63.65,63.4456,873600,0.0,1.0
58,2020-06-30,63.95,65.34,63.92,64.96,64.7514,1183900,0.0,1.0
59,2020-06-29,63.68,64.42,63.065,64.26,64.0536,1007186,0.0,1.0
60,2020-06-26,62.09,63.18,61.7,63.16,62.9572,4669600,0.0,1.0
61,2020-06-25,62.0,62.22,60.92,62.16,61.9604,1797700,0.0,1.0
62,2020-06-24,63.62,63.78,61.98,62.45,62.2494,1979600,0.0,1.0
63,2020-06-23,66.07,66.2,64.21,64.25,64.0437,1318200,0.0,1.0
64,2020-06-22,64.96,65.72,63.67,65.33,65.1202,1214000,0.0,1.0
65,2020-06-19,67.72,67.96,65.25,65.29,65.0803,2111300,0.0,1.0
66,2020-06-18,66.33,66.86,65.65,66.41,66.1967,970300,0.0,1.0
67,2020-06-17,67.19,67.87,66.69,67.07,66.8546,952300,0.0,1.0
68,2020-06-16,67.51,68.32,66.11,66.9,66.6852,1422300,0.0,1.0
69,2020-06-15,62.21,65.06,61.88,64.52,64.3128,1443300,0.0,1.0
70,2020-06-12,65.59,66.09,62.37,64.16,63.954,1607500,0.0,1.0
71,2020-06-11,66.2,66.2,63.67,63.8,63.5951,2020800,0.0,1.0
72,2020-06-10,70.01,70.19,67.86,68.51,68.29,1184200,0.0,1.0
73,2020-06-09,70.82,70.98,69.6,70.27,70.0443,1174600,0.0,1.0
74,2020-06-08,72.37,73.51,71.82,72.3,72.0678,874400,0.0,1.0
75,2020-06-05,73.05,73.93,71.81,72.75,72.5164,1188600,0.0,1.0
76,2020-06-04,69.39,70.38,68.61,70.38,70.154,1051000,0.0,1.0
77,2020-06-03,68.9,70.58,68.4,70.08,69.8549,989400,0.0,1.0
78,2020-06-02,66.7,68.34,66.25,67.9,67.6819,1187700,0.0,1.0
79,2020-06-01,66.34,66.93,65.99,66.0,65.788,824200,0.0,1.0
80,2020-05-29,67.43,67.82,65.35,66.34,66.127,1624600,0.0,1.0
81,2020-05-28,69.26,69.44,67.5,68.16,67.9411,1306200,0.0,1.0
82,2020-05-27,66.67,69.34,66.2,68.86,68.6389,2397400,0.26,1.0
83,2020-05-26,64.12,65.87,63.67,65.25,64.7958,1510400,0.0,1.0
84,2020-05-22,61.91,62.25,61.5,62.22,61.7869,735600,0.0,1.0
85,2020-05-21,61.72,62.95,61.72,61.97,61.5386,870300,0.0,1.0
86,2020-05-20,61.46,62.87,61.33,62.08,61.6479,806400,0.0,1.0
87,2020-05-19,61.63,62.29,60.51,60.57,60.1484,1113400,0.0,1.0
88,2020-05-18,60.11,62.45,59.85,62.02,61.5883,1052500,0.0,1.0
89,2020-05-15,58.6,59.72,57.81,58.19,57.7849,985200,0.0,1.0
90,2020-05-14,57.38,59.04,56.63,58.95,58.5397,1627700,0.0,1.0
91,2020-05-13,58.92,59.15,57.16,58.21,57.8048,1387400,0.0,1.0
92,2020-05-12,62.82,63.23,59.07,59.07,58.6588,1199700,0.0,1.0
93,2020-05-11,62.28,63.03,60.47,62.53,62.0947,1357300,0.0,1.0
94,2020-05-08,64.78,65.43,62.78,63.0,62.5615,1320000,0.0,1.0
95,2020-05-07,64.07,65.18,63.42,63.55,63.1076,1570500,0.0,1.0
96,2020-05-06,65.14,65.89,63.05,63.06,62.621,1760200,0.0,1.0
97,2020-05-05,64.36,65.76,63.0,65.05,64.5972,2797600,0.0,1.0
98,2020-05-04,68.71,69.06,67.83,68.55,68.0728,1106700,0.0,1.0
99,2020-05-01,70.88,71.19,68.67,69.29,68.8077,926200,0.0,1.0
100,2020-04-30,72.79,73.06,71.39,71.9,71.3995,1213500,0.0,1.0
101,2020-04-29,74.91,75.43,73.28,73.79,73.2764,1613800,0.0,1.0
102,2020-04-28,72.01,73.86,71.5,73.46,72.9486,1102800,0.0,1.0
103,2020-04-27,69.08,71.5,68.75,70.77,70.2774,1143200,0.0,1.0
104,2020-04-24,68.42,68.81,67.14,68.52,68.043,1346400,0.0,1.0
105,2020-04-23,69.58,70.58,67.89,68.0,67.5267,1288900,0.0,1.0
106,2020-04-22,69.72,70.25,68.28,69.18,68.6984,1067100,0.0,1.0
107,2020-04-21,67.54,68.91,67.1,68.08,67.6061,939800,0.0,1.0
108,2020-04-20,68.34,70.29,67.87,69.26,68.7779,1122900,0.0,1.0
109,2020-04-17,68.73,70.09,68.35,69.59,69.1056,1856900,0.0,1.0
110,2020-04-16,66.76,67.28,65.26,66.58,66.1165,1442500,0.0,1.0
111,2020-04-15,68.53,69.05,66.22,67.12,66.6528,1175400,0.0,1.0
112,2020-04-14,69.83,71.07,69.3,70.4,69.9099,1140200,0.0,1.0
113,2020-04-13,68.87,69.33,66.9,68.19,67.7153,779000,0.0,1.0
114,2020-04-09,69.68,70.49,68.74,69.34,68.8573,1350000,0.0,1.0
115,2020-04-08,65.4,69.76,65.0,69.09,68.6091,1295600,0.0,1.0
116,2020-04-07,67.31,67.87,65.24,66.19,65.7293,1361600,0.0,1.0
117,2020-04-06,63.39,65.67,62.63,65.19,64.7362,1802800,0.0,1.0
118,2020-04-03,63.12,65.41,59.67,60.5,60.0789,1842700,0.0,1.0
119,2020-04-02,59.18,64.1,59.18,63.4,62.9587,2030600,0.0,1.0
120,2020-04-01,61.97,64.86,57.75,59.77,59.3539,1881700,0.0,1.0
121,2020-03-31,65.25,66.36,63.01,65.13,64.6766,1841100,0.0,1.0
122,2020-03-30,66.98,68.24,65.45,66.24,65.7789,1323400,0.0,1.0
123,2020-03-27,63.1,67.46,62.12,65.5,65.0441,1059500,0.0,1.0
124,2020-03-26,64.62,68.57,63.63,68.01,67.5366,1412500,0.0,1.0
125,2020-03-25,61.43,66.16,60.04,63.86,63.4155,1722300,0.0,1.0
126,2020-03-24,58.65,62.24,58.26,62.0,61.5684,1954900,0.0,1.0
127,2020-03-23,59.19,60.27,54.62,56.64,56.2457,1578400,0.0,1.0
128,2020-03-20,64.6,65.04,59.26,59.89,59.4731,1884200,0.0,1.0
129,2020-03-19,64.78,65.34,61.41,64.46,64.0113,1524500,0.0,1.0
130,2020-03-18,66.48,69.19,60.87,65.49,65.0341,2197100,0.0,1.0
131,2020-03-17,66.71,71.85,64.47,71.82,71.3201,1879800,0.0,1.0
132,2020-03-16,62.79,66.96,62.79,65.05,64.5972,1706400,0.0,1.0
133,2020-03-13,68.02,72.21,64.0,72.12,71.618,1517600,0.0,1.0
134,2020-03-12,68.49,68.99,61.0,64.82,64.3688,1955000,0.0,1.0
135,2020-03-11,74.5,75.94,72.13,73.24,72.7302,1742200,0.0,1.0
136,2020-03-10,73.34,76.8,71.87,76.79,76.2555,2743100,0.0,1.0
137,2020-03-09,75.68,78.17,73.57,75.94,75.4114,1944900,0.0,1.0
138,2020-03-06,80.46,81.44,78.85,81.22,80.6546,1610100,0.0,1.0
139,2020-03-05,82.3,84.07,81.8,82.46,81.886,1495700,0.0,1.0
140,2020-03-04,81.63,85.69,80.91,85.32,84.7261,1921100,0.0,1.0
141,2020-03-03,82.06,84.28,79.74,79.88,79.324,1490400,0.0,1.0
142,2020-03-02,77.95,82.42,77.5,82.29,81.7172,2012100,0.0,1.0
143,2020-02-28,77.79,78.9,75.54,77.34,76.8016,2786700,0.0,1.0
